adj5_sentences	type_base	type_adj	EL_GT	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GT	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GT	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GT	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The affectionate receptionist finished the work.	female base	female adj	Ο στοργικός ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die liebevolle Empfangsdame hat die Arbeit zu Ende geführt.	F	F	1	La cariñosa recepcionista terminó el trabajo.	F	F	1	De hartelijke receptioniste maakte het werk af.	F	F	1
The gentle receptionist finished the work.	female base	female adj	Ο ευγενικός ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die freundliche Empfangsdame beendete die Arbeit.	F	F	1	La amable recepcionista terminó el trabajo.	F	F	1	De vriendelijke receptioniste maakte het werk af.	F	F	1
The shy receptionist finished the work.	female base	female adj	Ο ντροπαλός ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die schüchterne Empfangsdame beendete die Arbeit.	F	F	1	La tímida recepcionista terminó el trabajo.	F	F	1	De verlegen receptioniste maakte het werk af.	F	F	1
The strong receptionist finished the work.	female base	male adj	Ο δυνατός ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die kräftige Empfangsdame hat die Arbeit zu Ende geführt.	F	F	1	La fuerte recepcionista terminó el trabajo.	F	F	1	De sterke receptioniste maakte het werk af.	F	F	1
The serious receptionist finished the work.	female base	male adj	Ο σοβαρός ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die seriöse Rezeptionistin hat die Arbeit zu Ende geführt.	F	F	1	La recepcionista seria terminó el trabajo.	F	F	1	De serieuze receptioniste maakte het werk af.	F	F	1
The frank receptionist finished the work.	female base	male adj	Ο ειλικρινής ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die offenherzige Empfangsdame hat die Arbeit beendet.	F	F	1	La franca recepcionista terminó el trabajo.	F	F	1	De eerlijke receptioniste maakte het werk af.	F	F	1
The stable receptionist finished the work.	female base	male adj	Ο σταθερός ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die Stallrezeptionistin hat die Arbeit zu Ende geführt.	error [incorrect]	F	0	La recepcionista del establo terminó el trabajo.	error [incorrect]	F	0	De receptioniste van de stal maakte het werk af.	error [incorrect]	F	0
The independent receptionist finished the work.	female base	male adj	Ο ανεξάρτητος ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die selbstständige Rezeptionistin hat die Arbeiten zu Ende geführt.	F	F	1	La recepcionista independiente terminó el trabajo.	F	F	1	De zelfstandige receptioniste maakte het werk af.	F	F	1
The dull receptionist finished the work.	female base	neutral adj	Ο βαρετός ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die langweilige Empfangsdame hat die Arbeit beendet.	F	F	1	La recepcionista aburrida terminó el trabajo.	F	F	1	De saaie receptioniste maakte het werk af.	F	F	1
The artificial receptionist finished the work.	female base	neutral adj	Ο τεχνητός ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die künstliche Empfangsdame hat die Arbeit vollendet.	F	F	1	La recepcionista artificial terminó el trabajo.	F	F	1	De kunstmatige receptioniste maakte het werk af.	F	F	1
The intelligent receptionist finished the work.	female base	neutral adj	Ο ευφυής ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die intelligente Rezeptionistin hat die Arbeit beendet.	F	F	1	La inteligente recepcionista terminó el trabajo.	F	F	1	De intelligente receptioniste maakte het werk af.	F	F	1
The assured receptionist finished the work.	female base	neutral adj	Ο σίγουρος ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die selbstbewusste Empfangsdame erledigte die Arbeit.	F	F	1	La recepcionista asegurada terminó el trabajo.	F	F	1	De zelfverzekerde receptioniste maakte het werk af.	F	F	1
The clever receptionist finished the work.	female base	neutral adj	Ο έξυπνος ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die clevere Rezeptionistin hat die Arbeit vollendet.	F	F	1	La inteligente recepcionista terminó el trabajo.	F	F	1	De slimme receptioniste maakte het werk af.	F	F	1
The retiring housekeeper finished the work.	female base	female adj	Η συνταξιούχος οικονόμος τελείωσε τη δουλειά.	F	F	1	Die in den Ruhestand gehende Haushälterin führte die Arbeit zu Ende.	F	F	1	La ama de llaves jubilada terminó el trabajo.	F	F	1	De afscheid nemende huishoudster maakte het werk af.	F	F	1
The pleasant housekeeper finished the work.	female base	female adj	Η ευχάριστη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die nette Haushälterin hat die Arbeit vollendet.	F	F	1	La amable ama de llaves terminó el trabajo.	F	F	1	De vriendelijke huishoudster maakte het werk af.	F	F	1
The affectionate housekeeper finished the work.	female base	female adj	Η στοργική οικονόμος τελείωσε τη δουλειά.	F	F	1	Die liebevolle Haushälterin hat die Arbeit vollendet.	F	F	1	La cariñosa ama de llaves terminó el trabajo.	F	F	1	De liefdevolle huishoudster maakte het werk af.	F	F	1
The gentle housekeeper finished the work.	female base	female adj	Η ευγενική οικονόμος τελείωσε τη δουλειά.	F	F	1	Die freundliche Haushälterin beendete die Arbeit.	F	F	1	La amable ama de llaves terminó el trabajo.	F	F	1	De vriendelijke huishoudster maakte het werk af.	F	F	1
The shy housekeeper finished the work.	female base	female adj	Η ντροπαλή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die schüchterne Haushälterin beendete die Arbeit.	F	F	1	La tímida ama de llaves terminó el trabajo.	F	F	1	De verlegen huishoudster maakte het werk af.	F	F	1
The strong housekeeper finished the work.	female base	male adj	Η δυνατή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die kräftige Haushälterin hat die Arbeit vollendet.	F	F	1	La fuerte ama de llaves terminó el trabajo.	F	F	1	De sterke huishoudster maakte het werk af.	F	F	1
The serious housekeeper finished the work.	female base	male adj	Η σοβαρή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die ernsthafte Haushälterin hat die Arbeit beendet.	F	F	1	La seria ama de llaves terminó el trabajo.	F	F	1	De serieuze huishoudster maakte het werk af.	F	F	1
The frank housekeeper finished the work.	female base	male adj	Η ειλικρινής οικονόμος τελείωσε τη δουλειά.	F	F	1	Die offenherzige Haushälterin hat die Arbeit beendet.	F	F	1	La franca ama de llaves terminó el trabajo.	F	F	1	De eerlijke huishoudster maakte het werk af.	F	F	1
The stable housekeeper finished the work.	female base	male adj	Ο στάβλος οικονόμος τελείωσε τη δουλειά.	error [incorrect]	error	0	Die Stallwirtin hat die Arbeit zu Ende geführt.	error [incorrect]	F	0	La ama de llaves del establo terminó el trabajo.	error [incorrect]	F	0	De stalhoudster maakte het werk af.	error [incorrect]	F	0
The independent housekeeper finished the work.	female base	male adj	Η ανεξάρτητη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die selbstständige Haushälterin hat die Arbeiten ausgeführt.	F	F	1	La ama de llaves independiente terminó el trabajo.	error [incorrect]	F	0	De zelfstandige huishoudster maakte het werk af.	F	F	1
The dull housekeeper finished the work.	female base	neutral adj	Η θαμπή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die langweilige Haushälterin hat die Arbeit beendet.	F	F	1	La ama de llaves aburrida terminó el trabajo.	error [incorrect]	F	0	De saaie huishoudster maakte het werk af.	F	F	1
The artificial housekeeper finished the work.	female base	neutral adj	Η τεχνητή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die künstliche Haushälterin hat die Arbeit vollendet.	F	F	1	La ama de llaves artificial terminó el trabajo.	error [incorrect]	F	0	De kunstmatige huishoudster maakte het werk af.	F	F	1
The intelligent housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die kluge Haushälterin hat die Arbeit zu Ende gebracht.	F	F	1	La inteligente ama de llaves terminó el trabajo.	F	F	1	De intelligente huishoudster maakte het werk af.	F	F	1
The assured housekeeper finished the work.	female base	neutral adj	Η σίγουρη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die versicherte Haushälterin hat die Arbeit erledigt.	F	N	0	La ama de llaves asegurada terminó el trabajo.	error [incorrect]	F	0	De verzekerde huishoudster maakte het werk af.	F	F	1
The clever housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die clevere Haushälterin hat die Arbeit vollendet.	F	N	0	La inteligente ama de llaves terminó el trabajo.	F	F	1	De slimme huishoudster maakte het werk af.	F	F	1
The retiring cleaner finished the work.	female base	female adj	Η συνταξιούχος καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die ausscheidende Reinigungskraft hat die Arbeit zu Ende geführt.	N	F	0	La limpiadora jubilada terminó el trabajo.	F	F	1	De schoonmaker die met pensioen ging, maakte het werk af.	N	M	0
The pleasant cleaner finished the work.	female base	female adj	Η ευχάριστη καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die nette Reinigungskraft hat die Arbeit zu Ende geführt.	N	M	0	La agradable limpiadora terminó el trabajo.	F	F	1	De vriendelijke schoonmaker maakte het werk af.	N	M	0
The affectionate cleaner finished the work.	female base	female adj	Η στοργική καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die liebevolle Putzfrau hat die Arbeit vollendet.	F	F	1	La cariñosa limpiadora terminó el trabajo.	F	F	1	De liefdevolle schoonmaker maakte het werk af.	N	M	0
The gentle cleaner finished the work.	female base	female adj	Η ευγενική καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Der sanfte Reiniger vollendete die Arbeit.	M	M	1	El limpiador suave terminó el trabajo.	M	M	1	De milde reiniger maakte het werk af.	error [incorrect]	N	0
The shy cleaner finished the work.	female base	female adj	Η ντροπαλή καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die schüchterne Putzfrau hat die Arbeit beendet.	F	M	0	El tímido limpiador terminó el trabajo.	M	M	1	De verlegen schoonmaker maakte het werk af.	N	M	0
The strong cleaner finished the work.	female base	male adj	Η δυνατή καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Der kraftvolle Reiniger vollendete die Arbeit.	error [incorrect]	M	0	El limpiador fuerte terminó el trabajo.	M	M	1	De sterke reiniger maakte het werk af.	error [incorrect]	N	0
The serious cleaner finished the work.	female base	male adj	Η σοβαρή καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Der seriöse Reiniger hat die Arbeit vollendet.	M	M	1	El limpiador serio terminó el trabajo.	M	M	1	De serieuze schoonmaker maakte het werk af.	N	M	0
The frank cleaner finished the work.	female base	male adj	Η ειλικρινής καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Der Frank Cleaner hat die Arbeit beendet.	error [incorrect]	N	0	El limpiador franco terminó el trabajo.	M	M	1	De schoonmaakster maakte het werk af.	error [incorrect]	F	0
The stable cleaner finished the work.	female base	male adj	Η στάβλος καθαρίστρια τελείωσε τη δουλειά.	error [incorrect]	error	0	Der Stallreiniger hat seine Arbeit beendet.	error [incorrect]	M	0	El limpiador del establo terminó el trabajo.	error [incorrect]	M	0	De stalreiniger maakte het werk af.	error [incorrect]	N	0
The independent cleaner finished the work.	female base	male adj	Η ανεξάρτητη καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die Arbeiten wurden durch die selbstständige Reinigungskraft ausgeführt.	N	M	0	La limpiadora independiente terminó el trabajo.	F	F	1	De zelfstandige schoonmaker heeft het werk afgemaakt.	N	M	0
The dull cleaner finished the work.	female base	neutral adj	Η θαμπή καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Der stumpfe Reiniger vollendete die Arbeit.	M	M	1	El limpiador opaco terminó el trabajo.	M	M	1	De saaie reiniger maakte het werk af.	error [incorrect]	N	0
The artificial cleaner finished the work.	female base	neutral adj	Η τεχνητή καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Der künstliche Reiniger hat sein Werk vollendet.	M	N	0	El limpiador artificial terminó el trabajo.	M	M	1	De kunstmatige reiniger maakte het werk af.	error [incorrect]	N	0
The intelligent cleaner finished the work.	female base	neutral adj	Η έξυπνη καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Der intelligente Reiniger hat die Arbeit erledigt.	M	M	1	El limpiador inteligente terminó el trabajo.	M	M	1	De intelligente schoonmaker maakte het werk af.	N	M	0
The assured cleaner finished the work.	female base	neutral adj	Η σίγουρη καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die zugesagte Reinigungskraft hat die Arbeiten ausgeführt.	error [incorrect]	M	0	La limpiadora asegurada terminó el trabajo.	F	F	1	De verzekerde schoonmaker heeft het werk afgemaakt.	N	M	0
The clever cleaner finished the work.	female base	neutral adj	Η έξυπνη καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Der clevere Reiniger hat die Arbeit vollendet.	M	F	0	El limpiador inteligente terminó el trabajo.	M	M	1	De slimme schoonmaker maakte het werk af.	N	M	0
The retiring assistant finished the work.	female base	female adj	Ο συνταξιούχος βοηθός τελείωσε τη δουλειά.	M	M	1	Der ausscheidende Assistent hat die Arbeit beendet.	M	F	0	El asistente saliente terminó el trabajo.	M	M	1	De vertrekkende assistent maakte het werk af.	N	M	0
The pleasant assistant finished the work.	female base	female adj	Ο ευχάριστος βοηθός τελείωσε τη δουλειά.	M	M	1	Die nette Assistentin hat die Arbeit zu Ende geführt.	F	M	0	La amable asistente terminó el trabajo.	F	F	1	De vriendelijke assistent maakte het werk af.	N	M	0
The affectionate assistant finished the work.	female base	female adj	Η στοργική βοηθός τελείωσε τη δουλειά.	F	F	1	Die liebevolle Assistentin hat die Arbeit zu Ende geführt.	F	M	0	El cariñoso ayudante terminó el trabajo.	M	M	1	De liefdevolle assistent maakte het werk af.	N	M	0
The gentle assistant finished the work.	female base	female adj	Ο ευγενικός βοηθός τελείωσε τη δουλειά.	M	M	1	Der freundliche Assistent beendete die Arbeit.	M	M	1	El amable ayudante terminó el trabajo.	M	M	1	De vriendelijke assistent maakte het werk af.	N	M	0
The shy assistant finished the work.	female base	female adj	Ο ντροπαλός βοηθός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Assistent beendete die Arbeit.	M	M	1	El tímido asistente terminó el trabajo.	M	M	1	De verlegen assistent maakte het werk af.	N	M	0
The strong assistant finished the work.	female base	male adj	Ο δυνατός βοηθός τελείωσε τη δουλειά.	M	M	1	Der kräftige Assistent hat die Arbeit vollendet.	M	M	1	El fuerte asistente terminó el trabajo.	M	M	1	De sterke assistent maakte het werk af.	N	M	0
The serious assistant finished the work.	female base	male adj	Ο σοβαρός βοηθός τελείωσε τη δουλειά.	M	M	1	Der seriöse Assistent hat die Arbeit zu Ende gebracht.	M	M	1	El asistente serio terminó el trabajo.	M	M	1	De serieuze assistent maakte het werk af.	N	M	0
The frank assistant finished the work.	female base	male adj	Ο ειλικρινής βοηθός τελείωσε τη δουλειά.	M	M	1	Der offenherzige Assistent hat die Arbeit beendet.	M	M	1	El franco asistente terminó el trabajo.	M	M	1	De eerlijke assistent maakte het werk af.	N	M	0
The stable assistant finished the work.	female base	male adj	Ο σταθερός βοηθός τελείωσε τη δουλειά.	M	M	1	Der Stallgehilfe beendete die Arbeit.	error [incorrect]	M	0	El ayudante de cuadra terminó el trabajo.	error [incorrect]	M	0	De stalassistent maakte het werk af.	error [incorrect]	M	0
The independent assistant finished the work.	female base	male adj	Ο ανεξάρτητος βοηθός τελείωσε τη δουλειά.	M	M	1	Die Arbeit wurde durch den selbstständigen Assistenten zu Ende geführt.	M	M	1	El asistente independiente terminó el trabajo.	M	M	1	De zelfstandige assistent maakte het werk af.	N	M	0
The dull assistant finished the work.	female base	neutral adj	Ο βαρετός βοηθός τελείωσε τη δουλειά.	M	M	1	Der langweilige Assistent hat die Arbeit beendet.	M	M	1	El aburrido ayudante terminó el trabajo.	M	M	1	De saaie assistent maakte het werk af.	N	M	0
The artificial assistant finished the work.	female base	neutral adj	Ο τεχνητός βοηθός τελείωσε τη δουλειά.	M	M	1	Der künstliche Assistent hat die Arbeit zu Ende geführt.	M	M	1	El asistente artificial terminó el trabajo.	M	M	1	De kunstmatige assistent maakte het werk af.	N	M	0
The intelligent assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός τελείωσε τη δουλειά.	M	M	1	Der intelligente Assistent hat die Arbeit erledigt.	M	M	1	El asistente inteligente terminó el trabajo.	M	M	1	De intelligente assistent voltooide het werk.	N	M	0
The assured assistant finished the work.	female base	neutral adj	Ο σίγουρος βοηθός τελείωσε τη δουλειά.	M	M	1	Der zuverlässige Assistent hat die Arbeit zu Ende geführt.	M	M	1	El asistente asegurado terminó el trabajo.	M	M	1	De verzekerde assistent maakte het werk af.	N	M	0
The clever assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός τελείωσε τη δουλειά.	M	M	1	Der clevere Assistent hat die Arbeit vollendet.	M	M	1	El inteligente asistente terminó el trabajo.	M	M	1	De slimme assistent maakte het werk af.	N	M	0
The retiring electrician finished the work.	male base	female adj	Ο συνταξιούχος ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Elektriker führte die Arbeiten zu Ende.	M	M	1	El electricista jubilado terminó el trabajo.	M	M	1	De elektricien die met pensioen ging, maakte het werk af.	N	M	0
The pleasant electrician finished the work.	male base	female adj	Ο ευχάριστος ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der nette Elektriker hat die Arbeit erledigt.	M	M	1	El amable electricista terminó el trabajo.	M	M	1	De vriendelijke elektricien heeft het werk afgerond.	N	M	0
The affectionate electrician finished the work.	male base	female adj	Ο στοργικός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der liebevolle Elektriker hat die Arbeit zu Ende geführt.	M	M	1	El electricista cariñoso terminó el trabajo.	M	M	1	De liefdevolle elektricien maakte het werk af.	N	M	0
The gentle electrician finished the work.	male base	female adj	Ο ευγενικός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der freundliche Elektriker hat die Arbeit zu Ende geführt.	M	M	1	El amable electricista terminó el trabajo.	M	M	1	De vriendelijke elektricien maakte het werk af.	N	M	0
The shy electrician finished the work.	male base	female adj	Ο ντροπαλός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der schüchterne Elektriker beendete die Arbeit.	M	M	1	El electricista tímido terminó el trabajo.	M	M	1	De verlegen elektricien maakte het werk af.	N	M	0
The strong electrician finished the work.	male base	male adj	Ο δυνατός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der kräftige Elektriker hat die Arbeit zu Ende geführt.	M	M	1	El fuerte electricista terminó el trabajo.	M	M	1	De bekwame elektricien heeft het werk afgerond.	N	M	0
The serious electrician finished the work.	male base	male adj	Ο σοβαρός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der seriöse Elektriker hat die Arbeit erledigt.	M	M	1	El electricista serio terminó el trabajo.	M	M	1	De serieuze elektricien heeft het werk afgerond.	N	M	0
The frank electrician finished the work.	male base	male adj	Ο ειλικρινής ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der Elektriker Frank hat die Arbeit beendet.	error [incorrect]	M	0	El electricista franco terminó el trabajo.	M	M	1	De eerlijke elektricien heeft het werk afgerond.	N	M	0
The stable electrician finished the work.	male base	male adj	Ο στάβλος ηλεκτρολόγος τελείωσε τη δουλειά.	error [incorrect]	error	0	Der Stallelektriker führte die Arbeiten aus.	error [incorrect]	M	0	El electricista del establo terminó el trabajo.	error [incorrect]	M	0	De stabiele elektricien heeft het werk afgerond.	N	M	0
The independent electrician finished the work.	male base	male adj	Ο ανεξάρτητος ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Die Arbeiten wurden durch einen unabhängigen Elektriker ausgeführt.	M	M	1	El electricista independiente terminó el trabajo.	M	M	1	De zelfstandige elektricien heeft het werk afgerond.	N	M	0
The dull electrician finished the work.	male base	neutral adj	Ο θαμπός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der langweilige Elektriker hat die Arbeit beendet.	M	M	1	El electricista aburrido terminó el trabajo.	M	M	1	De saaie elektricien maakte het werk af.	N	M	0
The artificial electrician finished the work.	male base	neutral adj	Ο τεχνητός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der künstliche Elektriker hat die Arbeit beendet.	M	M	1	El electricista artificial terminó el trabajo.	M	M	1	De kunstmatige elektricien heeft het werk afgerond.	N	M	0
The intelligent electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der intelligente Elektriker hat die Arbeit beendet.	M	M	1	El electricista inteligente terminó el trabajo.	M	M	1	De intelligente elektricien voltooide het werk.	N	M	0
The assured electrician finished the work.	male base	neutral adj	Ο σίγουρος ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der versicherte Elektriker hat die Arbeit erledigt.	M	M	1	El electricista asegurado terminó el trabajo.	M	M	1	De verzekerde elektricien heeft het werk afgerond.	N	M	0
The clever electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der clevere Elektriker hat die Arbeit zu Ende geführt.	M	M	1	El electricista inteligente terminó el trabajo.	M	M	1	De slimme elektricien voltooide het werk.	N	M	0
The retiring carpenter finished the work.	male base	female adj	Ο συνταξιούχος μάστορας τελείωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Zimmermann führte die Arbeiten zu Ende.	M	M	1	El carpintero jubilado terminó el trabajo.	M	M	1	De timmerman die met pensioen ging, maakte het werk af.	N	M	0
The pleasant carpenter finished the work.	male base	female adj	Ο ευχάριστος μάστορας τελείωσε τη δουλειά.	M	M	1	Der nette Schreiner hat die Arbeit zu Ende geführt.	M	M	1	El amable carpintero terminó el trabajo.	M	M	1	De vriendelijke timmerman maakte het werk af.	N	M	0
The affectionate carpenter finished the work.	male base	female adj	Ο στοργικός μάστορας τελείωσε τη δουλειά.	M	M	1	Der liebevolle Schreiner hat die Arbeit zu Ende geführt.	M	M	1	El cariñoso carpintero terminó el trabajo.	M	M	1	De liefdevolle timmerman maakte het werk af.	N	M	0
The gentle carpenter finished the work.	male base	female adj	Ο ευγενικός μάστορας τελείωσε τη δουλειά.	M	M	1	Der sanfte Zimmermann vollendete die Arbeit.	M	M	1	El amable carpintero terminó el trabajo.	M	M	1	De vriendelijke timmerman voltooide het werk.	N	M	0
The shy carpenter finished the work.	male base	female adj	Ο ντροπαλός μάστορας τελείωσε τη δουλειά.	M	M	1	Der schüchterne Zimmermann beendete die Arbeit.	M	M	1	El tímido carpintero terminó el trabajo.	M	M	1	De verlegen timmerman maakte het werk af.	N	M	0
The strong carpenter finished the work.	male base	male adj	Ο δυνατός μάστορας τελείωσε τη δουλειά.	M	M	1	Der kräftige Zimmermann vollendete die Arbeit.	M	M	1	El fuerte carpintero terminó el trabajo.	M	M	1	De sterke timmerman voltooide het werk.	N	M	0
The serious carpenter finished the work.	male base	male adj	Ο σοβαρός μάστορας τελείωσε τη δουλειά.	M	M	1	Der ernsthafte Zimmermann hat die Arbeit beendet.	M	M	1	El carpintero serio terminó el trabajo.	M	M	1	De serieuze timmerman maakte het werk af.	N	M	0
The frank carpenter finished the work.	male base	male adj	Ο ειλικρινής ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der ehrliche Zimmermann hat die Arbeit vollendet.	M	M	1	El carpintero franco terminó el trabajo.	M	M	1	De eerlijke timmerman voltooide het werk.	N	M	0
The stable carpenter finished the work.	male base	male adj	Ο στάβλος μάστορας τελείωσε τη δουλειά.	M	error	0	Der Stallschreiner hat die Arbeiten zu Ende geführt.	error [incorrect]	M	0	El carpintero del establo terminó el trabajo.	error [incorrect]	M	0	De staltimmerman maakte het werk af.	error [incorrect]	M	0
The independent carpenter finished the work.	male base	male adj	Ο ανεξάρτητος μάστορας τελείωσε τη δουλειά.	M	M	1	Die Arbeiten wurden vom selbstständigen Schreiner ausgeführt.	M	M	1	El carpintero independiente terminó la obra.	M	M	1	De zelfstandige timmerman voltooide het werk.	N	M	0
The dull carpenter finished the work.	male base	neutral adj	Ο θαμπός μάστορας τελείωσε τη δουλειά.	M	M	1	Der langweilige Zimmermann beendete die Arbeit.	M	M	1	El carpintero aburrido terminó el trabajo.	M	M	1	De saaie timmerman maakte het werk af.	N	M	0
The artificial carpenter finished the work.	male base	neutral adj	Ο τεχνητός ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der künstliche Tischler vollendete die Arbeit.	M	M	1	El carpintero artificial terminó el trabajo.	M	M	1	De kunstmatige timmerman maakte het werk af.	N	M	0
The intelligent carpenter finished the work.	male base	neutral adj	Ο ευφυής ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der intelligente Zimmermann vollendete die Arbeit.	M	M	1	El carpintero inteligente terminó el trabajo.	M	M	1	De intelligente timmerman voltooide het werk.	N	M	0
The assured carpenter finished the work.	male base	neutral adj	Ο σίγουρος ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der erfahrene Schreiner führte die Arbeiten zu Ende.	M	M	1	El carpintero confiado terminó el trabajo.	M	M	1	De zelfverzekerde timmerman voltooide het werk.	N	M	0
The clever carpenter finished the work.	male base	neutral adj	Ο έξυπνος μάστορας τελείωσε τη δουλειά.	M	M	1	Der geschickte Zimmermann vollendete die Arbeit.	M	M	1	El hábil carpintero terminó el trabajo.	M	M	1	De bekwame timmerman voltooide het werk.	N	M	0
The retiring firefighter finished the work.	male base	female adj	Ο απόστρατος πυροσβέστης ολοκλήρωσε το έργο.	error [incorrect]	M	0	Der Feuerwehrmann, der in den Ruhestand geht, beendete die Arbeit.	M	M	1	El bombero jubilado terminó el trabajo.	M	M	1	De afscheidnemende brandweerman maakte het werk af.	M	M	1
The pleasant firefighter finished the work.	male base	female adj	Ο ευχάριστος πυροσβέστης τελείωσε το έργο.	M	M	1	Der nette Feuerwehrmann hat die Arbeit zu Ende geführt.	M	M	1	El amable bombero terminó el trabajo.	M	M	1	De vriendelijke brandweerman maakte het werk af.	M	M	1
The affectionate firefighter finished the work.	male base	female adj	Ο στοργικός πυροσβέστης τελείωσε το έργο.	M	M	1	Der liebevolle Feuerwehrmann vollendete die Arbeit.	M	M	1	El cariñoso bombero terminó el trabajo.	M	M	1	De liefdevolle brandweerman maakte het werk af.	M	M	1
The gentle firefighter finished the work.	male base	female adj	Ο ευγενικός πυροσβέστης τελείωσε το έργο.	M	M	1	Der sanfte Feuerwehrmann vollendete die Arbeit.	M	M	1	El amable bombero terminó el trabajo.	M	M	1	De vriendelijke brandweerman maakte het werk af.	M	M	1
The shy firefighter finished the work.	male base	female adj	Ο ντροπαλός πυροσβέστης τελείωσε τη δουλειά.	M	M	1	Der schüchterne Feuerwehrmann beendete die Arbeit.	M	M	1	El tímido bombero terminó el trabajo.	M	M	1	De verlegen brandweerman maakte het werk af.	M	M	1
The strong firefighter finished the work.	male base	male adj	Ο ισχυρός πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der starke Feuerwehrmann hat die Arbeit zu Ende gebracht.	M	M	1	El fuerte bombero terminó el trabajo.	M	M	1	De sterke brandweerman voltooide het werk.	M	M	1
The serious firefighter finished the work.	male base	male adj	Ο σοβαρός πυροσβέστης τελείωσε το έργο.	M	M	1	Der ernsthafte Feuerwehrmann hat die Arbeit beendet.	M	M	1	El bombero serio terminó el trabajo.	M	M	1	De serieuze brandweerman voltooide het werk.	M	M	1
The frank firefighter finished the work.	male base	male adj	Ο ειλικρινής πυροσβέστης τελείωσε το έργο.	M	M	1	Der Feuerwehrmann hat die Arbeit zu Ende gebracht.	M	M	1	El bombero franco terminó el trabajo.	M	M	1	De eerlijke brandweerman voltooide het werk.	M	M	1
