adj5_sentences	type_base	type_adj	EL_DeepL	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_DeepL	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_DeepL	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_DeepL	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The strong receptionist finished the work.	female base	male adj	Η ισχυρή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die starke Empfangsdame beendete die Arbeit.	F	F	1	La recepcionista fuerte terminó el trabajo.	F	F	1	De sterke receptioniste maakte het werk af.	F	F	1
The serious receptionist finished the work.	female base	male adj	Η σοβαρή ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die seriöse Empfangsdame beendete ihre Arbeit.	F	F	1	La recepcionista, muy seria, terminó el trabajo.	error [incorrect]	F	0	De serieuze receptioniste maakte het werk af.	F	F	1
The frank receptionist finished the work.	female base	male adj	Η ειλικρινής ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die freundliche Empfangsdame beendete die Arbeit.	error [incorrect]	F	0	La recepcionista franca terminó el trabajo.	F	F	1	De openhartige receptioniste maakte het werk af.	F	F	1
The stable receptionist finished the work.	female base	male adj	Η σταθερή ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die stabile Empfangsdame beendete die Arbeit.	F	F	1	La recepcionista del establo terminó el trabajo.	error [incorrect]	F	0	De stalreceptionist maakte het werk af.	error [incorrect]	M	0
The independent receptionist finished the work.	female base	male adj	Η ανεξάρτητη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die unabhängige Empfangsdame beendete ihre Arbeit.	F	F	1	La recepcionista independiente terminó el trabajo.	F	F	1	De onafhankelijke receptioniste maakte het werk af.	F	F	1
The dull receptionist finished the work.	female base	neutral adj	Η βαρετή ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die langweilige Empfangsdame beendete die Arbeit.	F	F	1	La aburrida recepcionista terminó el trabajo.	F	F	1	De saaie receptioniste maakte het werk af.	F	F	1
The artificial receptionist finished the work.	female base	neutral adj	Η τεχνητή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die künstliche Empfangsdame beendete die Arbeit.	F	F	1	La recepcionista artificial terminó el trabajo.	F	F	1	De kunstmatige receptioniste maakte het werk af.	F	F	1
The intelligent receptionist finished the work.	female base	neutral adj	Η έξυπνη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die intelligente Empfangsdame beendete ihre Arbeit.	F	F	1	La inteligente recepcionista terminó el trabajo.	F	F	1	De intelligente receptioniste maakte het werk af.	F	F	1
The assured receptionist finished the work.	female base	neutral adj	Η σίγουρη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die versicherte Empfangsdame beendete die Arbeit.	F	F	1	La recepcionista, muy segura, terminó el trabajo.	error [incorrect]	F	0	De verzekerde receptioniste maakte het werk af.	F	F	1
The clever receptionist finished the work.	female base	neutral adj	Η έξυπνη ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die kluge Empfangsdame beendete die Arbeit.	F	F	1	La inteligente recepcionista terminó el trabajo.	F	F	1	De slimme receptioniste maakte het werk af.	F	F	1
The retiring housekeeper finished the work.	female base	female adj	Η συνταξιοδοτούμενη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die scheidende Haushälterin beendete die Arbeit.	F	F	1	El ama de llaves jubilada terminó el trabajo.	F	F	1	De aftredende huishoudster maakte het werk af.	F	F	1
The pleasant housekeeper finished the work.	female base	female adj	Η ευχάριστη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die nette Haushälterin beendete die Arbeit.	F	F	1	La agradable ama de llaves terminó el trabajo.	F	F	1	De vriendelijke huishoudster maakte het werk af.	F	F	1
The affectionate housekeeper finished the work.	female base	female adj	Η στοργική οικονόμος τελείωσε τη δουλειά.	F	F	1	Die liebevolle Haushälterin beendete die Arbeit.	F	F	1	La cariñosa ama de llaves terminó el trabajo.	F	F	1	De liefdevolle huishoudster maakte het werk af.	F	F	1
The gentle housekeeper finished the work.	female base	female adj	Η ευγενική οικονόμος τελείωσε τη δουλειά.	F	F	1	Die freundliche Haushälterin beendete die Arbeit.	F	F	1	La gentil ama de llaves terminó el trabajo.	F	F	1	De zachtaardige huishoudster maakte het werk af.	F	F	1
The shy housekeeper finished the work.	female base	female adj	Η ντροπαλή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die schüchterne Haushälterin beendete die Arbeit.	F	F	1	La tímida ama de llaves terminó el trabajo.	F	F	1	De verlegen huishoudster maakte het werk af.	F	F	1
The strong housekeeper finished the work.	female base	male adj	Η ισχυρή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die starke Haushälterin beendete die Arbeit.	F	F	1	La fuerte ama de llaves terminó el trabajo.	F	F	1	De sterke huishoudster maakte het werk af.	F	F	1
The serious housekeeper finished the work.	female base	male adj	Η σοβαρή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die seriöse Haushälterin beendete die Arbeit.	F	F	1	El serio ama de llaves terminó el trabajo.	error [mixed]	M	0	De serieuze huishoudster maakte het werk af.	F	F	1
The frank housekeeper finished the work.	female base	male adj	Η ειλικρινής οικονόμος τελείωσε τη δουλειά.	F	F	1	Die offene Haushälterin beendete die Arbeit.	F	F	1	El ama de llaves franca terminó el trabajo.	F	F	1	De openhartige huishoudster maakte het werk af.	F	F	1
The stable housekeeper finished the work.	female base	male adj	Η οικονόμος του στάβλου τελείωσε τη δουλειά.	error [incorrect]	F	0	Die Haushälterin des Stalls beendete die Arbeit.	error [incorrect]	F	0	El ama de llaves del establo terminó el trabajo.	error [incorrect]	F	0	De stalmeester maakte het werk af.	error [incorrect]	M	0
The independent housekeeper finished the work.	female base	male adj	Η ανεξάρτητη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die unabhängige Haushälterin beendete die Arbeit.	F	F	1	El ama de llaves independiente terminó el trabajo.	F	F	1	De onafhankelijke huishoudster maakte het werk af.	F	F	1
The dull housekeeper finished the work.	female base	neutral adj	Η βαρετή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die langweilige Haushälterin beendete die Arbeit.	F	F	1	La aburrida ama de llaves terminó el trabajo.	F	F	1	De saaie huishoudster maakte het werk af.	F	F	1
The artificial housekeeper finished the work.	female base	neutral adj	Η τεχνητή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die künstliche Haushälterin beendete die Arbeit.	F	F	1	El ama de llaves artificial terminó el trabajo.	F	F	1	De kunstmatige huishoudster maakte het werk af.	F	F	1
The intelligent housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die intelligente Haushälterin beendete die Arbeit.	F	F	1	La inteligente ama de llaves terminó el trabajo.	F	F	1	De intelligente huishoudster maakte het werk af.	F	F	1
The assured housekeeper finished the work.	female base	neutral adj	Η σίγουρη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die versicherte Haushälterin beendete die Arbeit.	F	F	1	El seguro ama de llaves terminó el trabajo.	error [mixed]	M	0	De verzekerde huishoudster maakte het werk af.	F	F	1
The clever housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die kluge Haushälterin beendete die Arbeit.	F	F	1	La inteligente ama de llaves terminó el trabajo.	F	F	1	De slimme huishoudster maakte het werk af.	F	F	1
The retiring cleaner finished the work.	female base	female adj	Η καθαρίστρια που αποσύρθηκε τελείωσε τη δουλειά.	F	F	1	Die scheidende Reinigungskraft beendete die Arbeit.	N	F	0	El limpiador jubilado terminó el trabajo.	M	M	1	De schoonmaakster met pensioen maakte het werk af.	F	F	1
The pleasant cleaner finished the work.	female base	female adj	Η ευχάριστη καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die angenehme Reinigungskraft beendete die Arbeit.	N	F	0	La agradable limpiadora terminó el trabajo.	F	F	1	De aangename schoonmaakster maakte het werk af.	F	F	1
The affectionate cleaner finished the work.	female base	female adj	Η στοργική καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die liebevolle Putzfrau beendete die Arbeit.	F	F	1	La afectuosa limpiadora terminó el trabajo.	F	F	1	De liefdevolle schoonmaakster maakte het werk af.	F	M	0
The gentle cleaner finished the work.	female base	female adj	Το απαλό καθαριστικό τελείωσε τη δουλειά.	error [incorrect]	error	0	Der sanfte Reiniger beendete die Arbeit.	M	M	1	El limpiador suave terminó el trabajo.	M	M	1	De zachte reiniger maakte het werk af.	error [incorrect]	F	0
The shy cleaner finished the work.	female base	female adj	Η ντροπαλή καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die schüchterne Putzfrau beendete die Arbeit.	F	F	1	El tímido limpiador terminó el trabajo.	M	M	1	De verlegen schoonmaakster maakte het werk af.	F	M	0
The strong cleaner finished the work.	female base	male adj	Ο ισχυρός καθαριστής τελείωσε τη δουλειά.	M	M	1	Der starke Reiniger beendete die Arbeit.	M	M	1	El fuerte limpiador terminó el trabajo.	M	M	1	De sterke reiniger maakte het werk af.	error [incorrect]	M	0
The serious cleaner finished the work.	female base	male adj	Η σοβαρή καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die seriöse Reinigungskraft beendete die Arbeit.	N	F	0	El limpiador serio terminó el trabajo.	M	M	1	De serieuze schoonmaker maakte het werk af.	N	M	0
The frank cleaner finished the work.	female base	male adj	Ο καθαριστής Frank ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Die Putzfrau hat die Arbeit beendet.	F	F	1	El limpiador franco terminó el trabajo.	M	M	1	De openhartige schoonmaker maakte het werk af.	N	M	0
The stable cleaner finished the work.	female base	male adj	Η καθαρίστρια του στάβλου τελείωσε τη δουλειά.	error [incorrect]	F	0	Der Stallreiniger hat die Arbeit beendet.	error [incorrect]	M	0	El limpiador de establos terminó el trabajo.	error [incorrect]	M	0	De stalreiniger maakte het werk af.	error [incorrect]	M	0
The independent cleaner finished the work.	female base	male adj	Η ανεξάρτητη καθαρίστρια ολοκλήρωσε την εργασία.	F	F	1	Die unabhängige Reinigungskraft hat die Arbeit beendet.	N	F	0	El limpiador independiente terminó el trabajo.	M	M	1	De onafhankelijke schoonmaker maakte het werk af.	N	M	0
The dull cleaner finished the work.	female base	neutral adj	Το θαμπό καθαριστικό τελείωσε τη δουλειά.	error [incorrect]	error	0	Der stumpfe Reiniger beendete die Arbeit.	M	M	1	El limpiador mate terminó el trabajo.	error [incorrect]	M	0	De doffe reiniger maakte het werk af.	error [incorrect]	M	0
The artificial cleaner finished the work.	female base	neutral adj	Ο τεχνητός καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der künstliche Reiniger hat die Arbeit beendet.	M	M	1	El limpiador artificial terminó el trabajo.	M	M	1	De kunstmatige reiniger maakte het werk af.	error [incorrect]	M	0
The intelligent cleaner finished the work.	female base	neutral adj	Η έξυπνη καθαρίστρια ολοκλήρωσε τη δουλειά.	F	F	1	Die intelligente Reinigungskraft hat die Arbeit beendet.	N	F	0	El limpiador inteligente terminó el trabajo.	M	M	1	De intelligente schoonmaker maakte het werk af.	N	M	0
The assured cleaner finished the work.	female base	neutral adj	Ο σίγουρος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Die versicherte Reinigungskraft beendete die Arbeit.	N	F	0	El limpiador asegurado terminó el trabajo.	M	M	1	De verzekerde schoonmaker maakte het werk af.	N	M	0
The clever cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής τελείωσε τη δουλειά.	M	M	1	Die clevere Reinigungskraft beendete die Arbeit.	N	F	0	El astuto limpiador terminó el trabajo.	M	M	1	De slimme schoonmaker maakte het werk af.	N	M	0
The retiring assistant finished the work.	female base	female adj	Ο συνταξιοδοτούμενος βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der scheidende Assistent beendete die Arbeit.	M	M	1	El asistente que se jubilaba terminó el trabajo.	M	M	1	De aftredende assistent maakte het werk af.	N	F	0
The pleasant assistant finished the work.	female base	female adj	Ο ευχάριστος βοηθός τελείωσε τη δουλειά.	M	M	1	Die angenehme Assistentin beendete die Arbeit.	F	F	1	El agradable ayudante terminó el trabajo.	M	M	1	De aangename assistente maakte het werk af.	F	M	0
The affectionate assistant finished the work.	female base	female adj	Ο στοργικός βοηθός τελείωσε τη δουλειά.	M	M	1	Die liebevolle Assistentin beendete die Arbeit.	F	F	1	El afectuoso ayudante terminó el trabajo.	M	M	1	De liefhebbende assistent maakte het werk af.	N	F	0
The gentle assistant finished the work.	female base	female adj	Ο ευγενικός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Assistent beendete die Arbeit.	M	M	1	El amable ayudante terminó el trabajo.	M	M	1	De vriendelijke assistente maakte het werk af.	F	F	1
The shy assistant finished the work.	female base	female adj	Ο ντροπαλός βοηθός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Assistent beendete die Arbeit.	M	M	1	El tímido ayudante terminó el trabajo.	M	M	1	De verlegen assistente maakte het werk af.	F	M	0
The strong assistant finished the work.	female base	male adj	Ο ισχυρός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Assistent beendete die Arbeit.	M	M	1	El fornido ayudante terminó el trabajo.	M	M	1	De sterke assistent maakte het werk af.	N	M	0
The serious assistant finished the work.	female base	male adj	Ο σοβαρός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der seriöse Assistent beendete die Arbeit.	M	M	1	El serio ayudante terminó el trabajo.	M	M	1	De serieuze assistent maakte het werk af.	N	M	0
The frank assistant finished the work.	female base	male adj	Ο ειλικρινής βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der freie Mitarbeiter beendete die Arbeit.	M	M	1	El asistente franco terminó el trabajo.	M	M	1	De openhartige assistent maakte het werk af.	N	M	0
The stable assistant finished the work.	female base	male adj	Ο βοηθός του στάβλου τελείωσε τη δουλειά.	error [incorrect]	M	0	Der Stallknecht beendete die Arbeit.	error [incorrect]	M	0	El mozo de cuadra terminó el trabajo.	error [incorrect]	M	0	De stalassistent maakte het werk af.	error [incorrect]	M	0
The independent assistant finished the work.	female base	male adj	Ο ανεξάρτητος βοηθός ολοκλήρωσε την εργασία.	M	M	1	Der unabhängige Mitarbeiter beendete die Arbeit.	M	M	1	El asistente independiente terminó el trabajo.	M	M	1	De onafhankelijke assistent maakte het werk af.	N	M	0
The dull assistant finished the work.	female base	neutral adj	Ο βαρετός βοηθός τελείωσε τη δουλειά.	M	M	1	Der langweilige Assistent beendete die Arbeit.	M	M	1	El aburrido ayudante terminó el trabajo.	M	M	1	De saaie assistent maakte het werk af.	N	M	0
The artificial assistant finished the work.	female base	neutral adj	Ο τεχνητός βοηθός ολοκλήρωσε το έργο.	M	M	1	Der künstliche Assistent beendete die Arbeit.	M	M	1	El asistente artificial terminó el trabajo.	M	M	1	De kunstmatige assistent maakte het werk af.	N	M	0
The intelligent assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Assistent beendete die Arbeit.	M	M	1	El asistente inteligente terminó el trabajo.	M	M	1	De intelligente assistent maakte het werk af.	N	M	0
The assured assistant finished the work.	female base	neutral adj	Ο σίγουρος βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der versicherte Assistent beendete die Arbeit.	M	M	1	El asistente asegurado terminó el trabajo.	M	M	1	De verzekerde assistent maakte het werk af.	N	M	0
The clever assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der kluge Assistent beendete die Arbeit.	M	M	1	El inteligente ayudante terminó el trabajo.	M	M	1	De slimme assistent maakte het werk af.	N	M	0
The retiring electrician finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	M	M	1	Der pensionierte Elektriker beendete die Arbeit.	M	M	1	El electricista jubilado terminó el trabajo.	M	M	1	De aftredende elektricien maakte het werk af.	N	M	0
The pleasant electrician finished the work.	male base	female adj	Ο ευχάριστος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der nette Elektriker hat die Arbeit beendet.	M	M	1	El agradable electricista terminó el trabajo.	M	M	1	De vriendelijke elektricien heeft het werk afgemaakt.	N	M	0
The affectionate electrician finished the work.	male base	female adj	Ο στοργικός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der sympathische Elektriker beendete die Arbeit.	M	M	1	El afectuoso electricista terminó el trabajo.	M	M	1	De aanhankelijke elektricien maakte het werk af.	N	M	0
The gentle electrician finished the work.	male base	female adj	Ο ευγενικός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Elektriker beendete die Arbeit.	M	M	1	El amable electricista terminó el trabajo.	M	M	1	De vriendelijke elektricien maakte het werk af.	N	M	0
The shy electrician finished the work.	male base	female adj	Ο ντροπαλός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der schüchterne Elektriker hat die Arbeit beendet.	M	M	1	El tímido electricista terminó el trabajo.	M	M	1	De verlegen elektricien maakte het werk af.	N	M	0
The strong electrician finished the work.	male base	male adj	Ο ισχυρός ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	M	M	1	Der starke Elektriker beendete die Arbeit.	M	M	1	El electricista fuerte terminó el trabajo.	M	M	1	De sterke elektricien maakte het werk af.	N	M	0
The serious electrician finished the work.	male base	male adj	Ο σοβαρός ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	M	M	1	Der seriöse Elektriker hat die Arbeit beendet.	M	M	1	El electricista serio terminó el trabajo.	M	M	1	De serieuze elektricien maakte het werk af.	N	M	0
The frank electrician finished the work.	male base	male adj	Ο ειλικρινής ηλεκτρολόγος ολοκλήρωσε το έργο.	M	M	1	Der Elektriker von Frank hat die Arbeit beendet.	error [incorrect]	M	0	El electricista franco terminó el trabajo.	M	M	1	De openhartige elektricien heeft het werk afgemaakt.	N	M	0
The stable electrician finished the work.	male base	male adj	Ο σταθερός ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	M	M	1	Der Stallelektriker hat die Arbeit beendet.	error [incorrect]	M	0	El electricista del establo terminó el trabajo.	error [incorrect]	M	0	De stalelektricien heeft het werk afgemaakt.	error [incorrect]	M	0
The independent electrician finished the work.	male base	male adj	Ο ανεξάρτητος ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	M	M	1	Der unabhängige Elektriker beendete die Arbeit.	M	M	1	El electricista independiente terminó el trabajo.	M	M	1	De onafhankelijke elektricien heeft het werk afgemaakt.	N	M	0
The dull electrician finished the work.	male base	neutral adj	Ο βαρετός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der langweilige Elektriker hat die Arbeit beendet.	M	M	1	El electricista aburrido terminó el trabajo.	M	M	1	De saaie elektricien heeft het werk afgemaakt.	N	M	0
The artificial electrician finished the work.	male base	neutral adj	Ο τεχνητός ηλεκτρολόγος ολοκλήρωσε το έργο.	M	M	1	Der künstliche Elektriker hat die Arbeit beendet.	M	M	1	El electricista artificial terminó el trabajo.	M	M	1	De kunstmatige elektricien heeft het werk afgemaakt.	N	M	0
The intelligent electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Elektriker hat die Arbeit beendet.	M	M	1	El electricista inteligente terminó el trabajo.	M	M	1	De intelligente elektricien maakte het werk af.	N	M	0
The assured electrician finished the work.	male base	neutral adj	Ο σίγουρος ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	M	M	1	Der versicherte Elektriker beendete die Arbeit.	M	M	1	El electricista asegurado terminó el trabajo.	M	M	1	De verzekerde elektricien heeft het werk afgemaakt.	N	M	0
The clever electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der clevere Elektriker hat die Arbeit beendet.	M	M	1	El inteligente electricista terminó el trabajo.	M	M	1	De slimme elektricien maakte het werk af.	N	M	0
The retiring carpenter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ξυλουργός ολοκλήρωσε το έργο.	M	M	1	Der scheidende Schreiner beendete die Arbeit.	M	M	1	El carpintero jubilado terminó el trabajo.	M	M	1	De aftredende timmerman maakte het werk af.	N	M	0
The pleasant carpenter finished the work.	male base	female adj	Ο ευχάριστος ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der nette Schreiner beendete die Arbeit.	M	M	1	El agradable carpintero terminó el trabajo.	M	M	1	De aardige timmerman maakte het werk af.	N	M	0
The affectionate carpenter finished the work.	male base	female adj	Ο στοργικός ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Schreiner beendete die Arbeit.	M	M	1	El afectuoso carpintero terminó el trabajo.	M	M	1	De liefdevolle timmerman maakte het werk af.	N	M	0
The gentle carpenter finished the work.	male base	female adj	Ο ευγενικός ξυλουργός τελείωσε το έργο.	M	M	1	Der freundliche Zimmermann beendete die Arbeit.	M	M	1	El gentil carpintero terminó el trabajo.	M	M	1	De zachtaardige timmerman maakte het werk af.	N	M	0
The shy carpenter finished the work.	male base	female adj	Ο ντροπαλός ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Schreiner beendete die Arbeit.	M	M	1	El tímido carpintero terminó el trabajo.	M	M	1	De verlegen timmerman maakte het werk af.	N	M	0
The strong carpenter finished the work.	male base	male adj	Ο δυνατός ξυλουργός τελείωσε το έργο.	M	M	1	Der starke Zimmermann beendete das Werk.	M	M	1	El fuerte carpintero terminó el trabajo.	M	M	1	De sterke timmerman maakte het werk af.	N	M	0
The serious carpenter finished the work.	male base	male adj	Ο σοβαρός ξυλουργός τελείωσε το έργο.	M	M	1	Der seriöse Schreiner beendete die Arbeit.	M	M	1	El carpintero serio terminó el trabajo.	M	M	1	De serieuze timmerman maakte het werk af.	N	M	0
The frank carpenter finished the work.	male base	male adj	Ο ειλικρινής ξυλουργός τελείωσε το έργο.	M	M	1	Der Schreiner beendete die Arbeit.	M	M	1	El carpintero franco terminó el trabajo.	M	M	1	De openhartige timmerman maakte het werk af.	N	M	0
The stable carpenter finished the work.	male base	male adj	Ο ξυλουργός του στάβλου τελείωσε τη δουλειά.	error [incorrect]	M	0	Der Stallzimmermann beendete die Arbeit.	error [incorrect]	M	0	El carpintero del establo terminó el trabajo.	error [incorrect]	M	0	De staltimmerman maakte het werk af.	error [incorrect]	M	0
The independent carpenter finished the work.	male base	male adj	Ο ανεξάρτητος ξυλουργός ολοκλήρωσε το έργο.	M	M	1	Der unabhängige Schreiner beendete die Arbeit.	M	M	1	El carpintero independiente terminó el trabajo.	M	M	1	De onafhankelijke timmerman maakte het werk af.	N	M	0
The dull carpenter finished the work.	male base	neutral adj	Ο βαρετός ξυλουργός τελείωσε το έργο.	M	M	1	Der stumpfe Schreiner beendete die Arbeit.	M	M	1	El carpintero aburrido terminó el trabajo.	M	M	1	De saaie timmerman maakte het werk af.	N	M	0
The artificial carpenter finished the work.	male base	neutral adj	Ο τεχνητός ξυλουργός ολοκλήρωσε το έργο.	M	M	1	Der Kunsttischler beendete die Arbeit.	error [incorrect]	M	0	El carpintero artificial terminó el trabajo.	M	M	1	De kunsttimmerman maakte het werk af.	error [incorrect]	M	0
The intelligent carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός τελείωσε το έργο.	M	M	1	Der intelligente Zimmermann beendete die Arbeit.	M	M	1	El carpintero inteligente terminó el trabajo.	M	M	1	De intelligente timmerman maakte het werk af.	N	M	0
The assured carpenter finished the work.	male base	neutral adj	Ο σίγουρος ξυλουργός τελείωσε το έργο.	M	M	1	Der versicherte Zimmermann beendete die Arbeit.	M	M	1	El seguro carpintero terminó el trabajo.	M	M	1	De verzekerde timmerman maakte het werk af.	N	M	0
The clever carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός τελείωσε το έργο.	M	M	1	Der geschickte Zimmermann beendete das Werk.	M	M	1	El hábil carpintero terminó la obra.	M	M	1	De slimme timmerman maakte het werk af.	N	M	0
The retiring firefighter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der scheidende Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero jubilado terminó el trabajo.	M	M	1	De brandweerman die met pensioen ging, maakte het werk af.	M	M	1
The pleasant firefighter finished the work.	male base	female adj	Ο ευχάριστος πυροσβέστης τελείωσε το έργο.	M	M	1	Der nette Feuerwehrmann beendete die Arbeit.	M	M	1	El agradable bombero terminó el trabajo.	M	M	1	De aardige brandweerman maakte het werk af.	M	M	1
The affectionate firefighter finished the work.	male base	female adj	Ο στοργικός πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der liebevolle Feuerwehrmann beendete die Arbeit.	M	M	1	El cariñoso bombero terminó el trabajo.	M	M	1	De aanhankelijke brandweerman maakte het werk af.	M	M	1
The gentle firefighter finished the work.	male base	female adj	Ο ευγενικός πυροσβέστης τελείωσε το έργο.	M	M	1	Der freundliche Feuerwehrmann beendete die Arbeit.	M	M	1	El amable bombero terminó el trabajo.	M	M	1	De zachtaardige brandweerman maakte het werk af.	M	M	1
The shy firefighter finished the work.	male base	female adj	Ο ντροπαλός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Feuerwehrmann beendete die Arbeit.	M	M	1	El tímido bombero terminó el trabajo.	M	M	1	De verlegen brandweerman maakte het werk af.	M	M	1
The strong firefighter finished the work.	male base	male adj	Ο δυνατός πυροσβέστης τελείωσε το έργο.	M	M	1	Der starke Feuerwehrmann beendete die Arbeit.	M	M	1	El fuerte bombero terminó el trabajo.	M	M	1	De sterke brandweerman maakte het werk af.	M	M	1
The serious firefighter finished the work.	male base	male adj	Ο σοβαρός πυροσβέστης ολοκλήρωσε το έργο του.	M	M	1	Der seriöse Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero serio terminó el trabajo.	M	M	1	De serieuze brandweerman maakte het werk af.	M	M	1
The frank firefighter finished the work.	male base	male adj	Ο ειλικρινής πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der offene Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero franco terminó el trabajo.	M	M	1	De openhartige brandweerman maakte het werk af.	M	M	1
The stable firefighter finished the work.	male base	male adj	Ο σταθερός πυροσβέστης τελείωσε το έργο.	M	M	1	Der Stallfeuerwehrmann beendete die Arbeit.	error [incorrect]	M	0	El bombero del establo terminó el trabajo.	error [incorrect]	M	0	De stalbrandweerman maakte het werk af.	error [incorrect]	M	0
The independent firefighter finished the work.	male base	male adj	Ο ανεξάρτητος πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der unabhängige Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero independiente terminó el trabajo.	M	M	1	De onafhankelijke brandweerman maakte het werk af.	M	M	1
The dull firefighter finished the work.	male base	neutral adj	Ο θαμπός πυροσβέστης τελείωσε το έργο.	M	error	0	Der langweilige Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero aburrido terminó el trabajo.	M	M	1	De saaie brandweerman maakte het werk af.	M	M	1
The artificial firefighter finished the work.	male base	neutral adj	Ο τεχνητός πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der künstliche Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero artificial terminó el trabajo.	M	M	1	De kunstmatige brandweerman maakte het werk af.	M	M	1
The intelligent firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε το έργο.	M	M	1	Der intelligente Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero inteligente terminó el trabajo.	M	M	1	De intelligente brandweerman maakte het werk af.	M	M	1
