adj5_sentences	type_base	type_adj	EL_EuroLLM	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_EuroLLM	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_EuroLLM	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_EuroLLM	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The pleasant receptionist finished the work.	female base	female adj	Η ευχάριστη ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die freundliche Empfangsdame beendete die Arbeit.	F	M	0	La agradable recepcionista terminó su trabajo.	F	F	1	De vriendelijke receptioniste heeft haar werk afgerond.	error [incorrect]	F	0
The affectionate receptionist finished the work.	female base	female adj	Η συμπαθητική ρεσεψιονίστ ολοκλήρωσε την εργασία.	F	F	1	Die zuvorkommende Rezeptionistin hat die Arbeit beendet.	F	N	0	La recepcionista cariñosa terminó el trabajo.	F	F	1	De hartelijke receptioniste had het werk afgerond.	F	M	0
The gentle receptionist finished the work.	female base	female adj	Η ήσυχη ρεσεψιονίστς ολοκλήρωσε τις δουλειές του.	error [incorrect]	M	0	Die sanfte Rezeptionistin beendete die Arbeit.	F	M	0	La recepcionista amable terminó el trabajo.	F	F	1	De vriendelijke receptioniste heeft haar werk afgerond.	error [incorrect]	F	0
The shy receptionist finished the work.	female base	female adj	Η ντροπαλή ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die schüchterne Empfangsdame beendete ihre Arbeit.	F	N	0	La tímida recepcionista terminó el trabajo.	F	F	1	De verlegen receptioniste heeft het werk afgerond.	F	F	1
The strong receptionist finished the work.	female base	male adj	Η δυνατή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die starke Rezeptionistin beendete die Arbeit.	F	M	0	La recepcionista fuerte terminó el trabajo.	F	F	1	De sterke receptionist heeft het werk afgemaakt.	N	M	0
The serious receptionist finished the work.	female base	male adj	Η σοβαρή ρεσεψιονίστ τέλειωσε τη δουλειά της.	F	F	1	Der ernsthafte Empfangschef hat seine Arbeit beendet.	error [incorrect]	M	0	La recepcionista seria terminó el trabajo.	F	F	1	De serieuze receptioniste heeft het werk afgemaakt.	F	F	1
The frank receptionist finished the work.	female base	male adj	Ο ειλικρινής ρεσεψιονίστ ολοκλήρωσε τη δουλεία.	error [incorrect]	F	0	Der offene Empfangsmitarbeiter hat die Arbeit getan.	M	F	0	La recepcionista franca terminó el trabajo.	F	F	1	De directe receptioniste heeft het werk afgerond.	F	F	1
The stable receptionist finished the work.	female base	male adj	Η σταθερή ρεσεψιονίστ τέλειωσε τη δουλειά.	F	F	1	Die Rezeptionistin der Firma Stabil hat die Arbeit beendet.	error [incorrect]	N	0	La recepcionista a cargo concluyó el trabajo.	error [incorrect]	F	0	De vrolijke baliemedewerker deed zijn werk af.	error [incorrect]	F	0
The independent receptionist finished the work.	female base	male adj	Η ανεξάρτητη ρεσεψιονίστ τελείωσε τη δουλειά.	F	M	0	Die unabhängige Rezeptionistin beendete die Arbeit.	F	N	0	La recepcionista independiente terminó el trabajo.	F	F	1	De onafhankelijke receptioniste heeft het werk afgerond.	F	F	1
The dull receptionist finished the work.	female base	neutral adj	Η άχαρη ρεσεψιονίστ τελείωσε την εργασία.	F	F	1	Der mürrische Empfangsmitarbeiter beendete die Arbeit.	M	N	0	La torpe recepcionista terminó el trabajo.	F	F	1	De doffe receptioniste had het werk gedaan.	F	F	1
The artificial receptionist finished the work.	female base	neutral adj	Η τεχνητή τηλεφωνήτρια τελείωσε τη δουλειά.	F	F	1	Die künstliche Telefonist*in hat die Arbeit beendet.	error [mixed]	M	0	La recepcionista artificial terminó el trabajo.	F	F	1	De kunstmatige receptioniste heeft het werk afgerond.	F	F	1
The intelligent receptionist finished the work.	female base	neutral adj	Η ικανή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die intelligente Rezeptionistin hat die Arbeit beendet.	F	F	1	La recepcionista inteligente terminó el trabajo.	F	M	0	De intelligente receptioniste had het werk af.	F	F	1
The assured receptionist finished the work.	female base	neutral adj	Ο βέβαιος ρεσεψιονίστας ολοκλήρωσε την εργασία.	F	F	1	Die versicherte Rezeptionistin beendete die Arbeit.	F	F	1	El recepcionista respondió con seguridad el trabajo.	error [incorrect]	F	0	De verzekerde receptioniste maakte het werk af.	F	F	1
The clever receptionist finished the work.	female base	neutral adj	Η ικανή ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die clevere Empfangsdame hatte ihre Arbeit erledigt.	F	M	0	La recepcionista hábil terminó el trabajo.	F	F	1	De slimme receptioniste had het werk af.	F	F	1
The retiring housekeeper finished the work.	female base	female adj	Η αποχωρών σπιτονοικοκυρά τελείωσε τη δουλειά.	error [incorrect]	F	0	Die aus dem Dienst scheidende Haushälterin beendete die Arbeit.	F	F	1	La ama de casa que se jubilaba terminó el trabajo.	error [incorrect]	M	0	De vertrekkende huishoudster had haar werk af.	error [incorrect]	F	0
The pleasant housekeeper finished the work.	female base	female adj	Η φιλική οικονόμος τελείωσε τη δουλειά.	F	F	1	The housekeeper finished her pleasant work.	error [incorrect]	M	0	El agradable ama de llaves terminó el trabajo.	error [mixed]	M	0	De aangename huishoudster heeft het werk afgerond.	F	F	1
The affectionate housekeeper finished the work.	female base	female adj	Η αφοσιωμένη οικιακή βοηθός τελείωσε τη δουλειά.	F	F	1	Die liebevolle Haushälterin beendete die Arbeit.	F	F	1	El afectuoso ama de llaves terminó el trabajo.	error [mixed]	F	0	De gezellige huishoudster heeft haar werk voor de hele dag af.	error [incorrect]	F	0
The gentle housekeeper finished the work.	female base	female adj	Η ήρεμη οικονόμος τελείωσε το έργο.	F	F	1	Die sanfte Haushälterin beendete die Arbeit.	F	M	0	La dulce ama de llaves terminó el trabajo.	F	F	1	De zachte huishoudster heeft het werk afgemaakt.	F	M	0
The shy housekeeper finished the work.	female base	female adj	Η ντροπαλή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die schüchterne Haushaltshilfe beendete die Arbeit.	N	M	0	La tímida ama de llaves terminó el trabajo.	F	F	1	De verlegen huishoudster heeft het werk voltooid.	F	F	1
The strong housekeeper finished the work.	female base	male adj	Η δυνατή οικιακή βοηθός τελείωσε τη δουλειά.	F	F	1	Die starke Hausangestellte hat die Arbeit beendet.	F	M	0	La fuerte ama de llaves terminó el trabajo.	F	F	1	De krachtige huishoudster is klaar met het huishouden.	F	F	1
The serious housekeeper finished the work.	female base	male adj	Η έμπειρη οικονόμος ολοκλήρωσε την εργασία.	F	F	1	Die ernsthafte Haushaltshilfe hat ihre Arbeit beendet.	N	M	0	La severa ama de llaves finalizó el trabajo.	F	F	1	De strenge huishoudster maakte het werk af.	F	F	1
The frank housekeeper finished the work.	female base	male adj	Η ειλικρινής οικονόμος τελείωσε τη δουλειά.	F	F	1	Die offene Haushälterin beendete die Arbeit.	F	M	0	La franca ama de llaves terminó el trabajo.	F	F	1	De openhartige huishoudster had het werk voltooid.	F	F	1
The stable housekeeper finished the work.	female base	male adj	Η μόνιμη οικονόμος τελείωσε τη δουλειά.	F	F	1	Der Hausmeister hat die Arbeit erledigt.	M	M	1	La ama de llaves de la casa termino el trabajo.	error [incorrect]	F	0	De stabiele huishoudster heeft het werk afgemaakt.	F	M	0
The independent housekeeper finished the work.	female base	male adj	Η ανεξάρτητη οικονόμος ολοκλήρωσε το έργο.	F	F	1	Die unabhängige Haushaltsführerin hat die Arbeit beendet.	F	M	0	La empleada independiente terminó el trabajo.	error [incorrect]	F	0	De onafhankelijke huisknecht had het werk af.	M	M	1
The dull housekeeper finished the work.	female base	neutral adj	Η μουτρωμένη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die langweilige Haushälterin beendete die Arbeit.	F	M	0	La aburrida ama de llaves terminó el trabajo.	F	M	0	De saaie huishoudster was klaar met het karwei.	F	M	0
The artificial housekeeper finished the work.	female base	neutral adj	Η τεχνητή οικονόμος ολοκλήρωσε τη δουλειά.	F	M	0	Der künstliche Hausmeister beendete die Arbeit.	M	M	1	El ama de llaves artificial terminó el trabajo.	F	F	1	De robot huishoudster was klaar met werken.	error [incorrect]	M/F	0
The intelligent housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικιακή βοηθός τελείωσε τη δουλειά.	F	M	0	Die intelligente Hausfrau/der intelligente Haushälter hat/haben die Arbeit beendet.	error [mixed]	M	0	La sirvienta inteligente terminó el trabajo.	error [incorrect]	F	0	De slimme huishoudster heeft het werk voltooid.	F	M	0
The assured housekeeper finished the work.	female base	neutral adj	Η σίγουρη οικονόμος ολοκλήρωσε τη δουλειά.	F	M	0	Der zugesicherte Haushälter beendete die Arbeit.	M	M	1	La ama de llaves segura terminó el trabajo.	error [incorrect]	F	0	De betrouwbare huishoudster had het werk afgerond.	F	M	0
The clever housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος ολοκλήρωσε τη δουλειά.	F	M	0	Die kluge Haushälterin hat die Arbeit beendet.	F	M	0	La ingeniosa ama de llaves terminó el trabajo.	F	M	0	Het slimme huishoudster had de taken voltooid.	error [incorrect]	F	0
The retiring cleaner finished the work.	female base	female adj	Ο αποχωρών καθαριστής τελείωσε τη δουλειά.	M	F	0	Die pensionierte Putzfrau hat die Arbeit beendet.	F	M	0	El limpiador jubilado terminó el trabajo.	M	M	1	De vertrekkende schoonmaker maakte het werk af.	N	M	0
The pleasant cleaner finished the work.	female base	female adj	Ο ευχάριστος καθαριστής ολοκλήρωσε το έργο.	M	M	1	Der angenehme Reiniger beendete die Arbeit.	M	M	1	El agradable limpiador terminó el trabajo.	M	M	1	De prettige schoonmaker was klaar met het werk.	N	M	0
The affectionate cleaner finished the work.	female base	female adj	Ο ευγενικός καθαριστής ολοκλήρωσε τις δουλειές του.	M	M	1	Der liebevolle Putzmann hat die Arbeit beendet.	M	M	1	El afectuoso conserje terminó el trabajo.	M	M	1	De sympathieke schoonmaker had de klus geklaard.	N	M/F	0
The gentle cleaner finished the work.	female base	female adj	Ο ήπιος καθαριστής τελείωσε τη δουλειά.	M	M	1	Die sanfte Putzfrau hat die Arbeit beendet.	M	M	1	El limpiador gentil terminó el trabajo.	M	M	1	De zachte poetsdienst heeft het werk afgerond.	error [incorrect]	M	0
The shy cleaner finished the work.	female base	female adj	Η ντροπαλή υπάλληλος ολοκλήρωσε την εργασία.	F	M	0	Der schüchterne Reiniger hat die Arbeit beendet.	M	M	1	El tímido limpiador terminó el trabajo.	M	N	0	De verlegen schoonmaker heeft het werk afgemaakt.	N	Error	0
The strong cleaner finished the work.	female base	male adj	Ο ισχυρός καθαριστής τελείωσε την δουλειά.	M	F	0	Der starke Reiniger hat die Arbeit erledigt.	M	M	1	The strong cleaner finished the work.	error [incorrect]	F	0	De sterke reiniger heeft het werk af.	error [incorrect]	M	0
The serious cleaner finished the work.	female base	male adj	Ο έμπειρος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der ernsthafte Putzmann beendete die Arbeit.	M	M	1	La limpiadora eficiente terminó el trabajo.	error [incorrect]	M	0	De serieuze schoonmaakster heeft het werk afgemaakt.	F	M	0
The frank cleaner finished the work.	female base	male adj	Ο ειλικρινής καθαριστής είχε τελειώσει τη δουλειά.	M	M	1	Der fleißige Reinigungskraft hat die Arbeit erledigt.	error [mixed]	M	0	El limpiador sincero terminó el trabajo.	M	N	0	De kordate schone heeft het werk voltooid.	error [incorrect]	M	0
The stable cleaner finished the work.	female base	male adj	Ο εργάτης των στάβλων τέλειωσε τη δουλειά.	error [incorrect]	M	0	Der Stallreiniger beendete die Arbeit.	error [incorrect]	M	0	La persona encargada de la limpieza del establo terminó el trabajo.	error [incorrect]	M	0	De stalschoonmaker heeft het werk afgerond.	error [incorrect]	M	0
The independent cleaner finished the work.	female base	male adj	Η ανεξάρτητη καθαρίστρια τελείωσε τη δουλειά.	F	M	0	Der unabhängige Reinigungskraft hat die Arbeit beendet.	error [incorrect]	M	0	El limpiador independiente terminó el trabajo.	M	M	1	The freelancer finalized the work.	error [incorrect]	M	0
The dull cleaner finished the work.	female base	neutral adj	Ο μονότονος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der blasse Fensterputzer hat die Arbeit beendet.	error [incorrect]	M	0	El limpiador aburrido terminó el trabajo.	M	M	1	De saaie schoonmaker had zijn werk af.	error [incorrect]	M	0
The artificial cleaner finished the work.	female base	neutral adj	Ο τεχνητός καθαριστικός παράγοντας τέλεσε το έργο.	error [incorrect]	M	0	Der künstliche Reiniger beendete die Arbeit.	M	M	1	El limpiador artificial terminó el trabajo.	M	F	0	Het kunstmatige schoonmaakmiddel heeft het werk beëindigd.	error [incorrect]	F	0
The intelligent cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής τελείωσε τη δουλειά.	M	F	0	Die intelligente Putzhilfe hat die Arbeit beendet.	N	M	0	La limpiadora inteligente terminó el trabajo.	F	M	0	De slimme schoonmaker heeft het werk afgerond.	N	F	0
The assured cleaner finished the work.	female base	neutral adj	Ο σίγουρος καθαριστής τελείωσε τη δουλειά.	M	M	1	Die versprochene Reinigungskraft hat die Arbeiten beendet.	error [incorrect]	M	0	El limpiador de confianza terminó el trabajo.	M	M	1	De verzekerde schoonmaker heeft het werk afgerond.	N	M	0
The clever cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der clevere Reinigungskraft hat die Arbeit beendet.	error [mixed]	M	0	El inteligente limpiador terminó el trabajo.	M	M	1	De handige opruimer voltooide het werk.	N	M/F	0
The retiring assistant finished the work.	female base	female adj	Ο αποχωρών βοηθός ολοκλήρωσε το έργο.	M	M	1	Der ausscheidende Assistent hat die Arbeit beendet.	M	M	1	El asistente que se retiraba terminó el trabajo.	M	M	1	De afscheidend assistent heeft het werk afgerond.	error [incorrect]	M	0
The pleasant assistant finished the work.	female base	female adj	Η ευχάριστη βοηθός έκανε τη δουλειά.	F	M	0	Die nette Assistentin hat die Arbeit beendet.	F	M	0	El asistente agradable terminó el trabajo.	M	M	1	De prettige assistent had het werk afgerond.	N	M	0
The affectionate assistant finished the work.	female base	female adj	Ο στοργικός βοηθός τελείωσε τη δουλειά.	M	M	1	Die hilfreiche Assistentin hat die Arbeit erledigt.	M	M	1	El asistente afectuoso terminó el trabajo.	M	M	1	De attente assistent heeft het werk afgerond.	N	M	0
The gentle assistant finished the work.	female base	female adj	Ο χαϊδεμένος βοηθός τελείωσε τη δουλειά.	error [incorrect]	M	0	Der sanfte Assistent beendete die Arbeit.	M	M	1	El asistente gentil terminó el trabajo.	M	M	1	De zachte assistent is klaar met het werk.	N	M/F	0
The shy assistant finished the work.	female base	female adj	Ο ντροπαλός βοηθός ολοκλήρωσε το έργο.	M	M	1	Die schüchterne Assistentin beendete die Arbeit.	F	M	0	El compañero de trabajo tímido terminó el trabajo.	error [incorrect]	M	0	Het verlegen assistente is klaar met haar werk.	error [incorrect]	M	0
The strong assistant finished the work.	female base	male adj	Ο δυνατός βοηθός τελείωσε την εργασία.	M	M	1	Der starke Assistent hat die Arbeit beendet.	M	M	1	El asistente fuerte terminó el trabajo.	M	M	1	De sterke assistent heeft het werk afgemaakt.	N	M	0
The serious assistant finished the work.	female base	male adj	Ο σοβαρός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Die ernsthafte Assistentin hat die Arbeit beendet.	F	M	0	El serio asistente terminó el trabajo.	M	M	1	Het serieuze hulpje had het werk afgerond.	N	M	0
The frank assistant finished the work.	female base	male adj	Ο ειλικρινής βοηθός τελείωσε τη δουλειά.	M	M	1	Der ehrliche Mitarbeiter hat die Arbeit beendet.	M	M	1	El asistente franco terminó el trabajo.	M	M	1	De openhartige assistent had het werk af.	N	M	0
The stable assistant finished the work.	female base	male adj	Ο βοηθός του στάβλου τελείωσε τη δουλειά.	error [incorrect]	M	0	Der Stallassistent brachte die Arbeit zu Ende.	error [incorrect]	M	0	El asistente en funciones finalizó el trabajo.	error [incorrect]	M	0	Het stalhelper heeft het werk afgemaakt.	error [incorrect]	M	0
The independent assistant finished the work.	female base	male adj	Ο ανεξάρτητος βοηθός τελείωσε την εργασία.	M	M	1	Der unabhängige Helfer hat die Arbeit beendet.	M	M	1	El asistente independiente terminó el trabajo.	M	M	1	De zelfstandige assistent heeft het werk afgerond.	N	M	0
The dull assistant finished the work.	female base	neutral adj	Ο κουρασμένος βοηθός τελείωσε τη δουλειά.	M	M	1	Dieser stumpfe Assistent hat die Arbeit beendet.	error [incorrect]	M	0	El asistente poco entusiasta terminó el trabajo.	M	M	1	De luie assistent had het werk klaar.	N	M	0
The artificial assistant finished the work.	female base	neutral adj	Ο τεχνητός βοηθητικός ολοκλήρωσε το έργο.	error [incorrect]	M	0	Der künstliche Assistent beendete die Arbeit.	M	M	1	El asistente artificial terminó el trabajo.	M	M	1	De kunstmatige assistent heeft het werk afgerond.	N	M	0
The intelligent assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε την εργασία.	M	M	1	Der intelligente Assistent beendete die Arbeit.	M	M	1	El asistente inteligente terminó el trabajo.	M	M	1	De intelligente assistent heeft het werk gedaan.	N	M	0
The assured assistant finished the work.	female base	neutral adj	Ο συνεργάτης ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der zuverlässige Assistent hat seine Arbeit beendet.	M	M	1	El asistente confiable terminó el trabajo.	M	M	1	De verzekerde assistent heeft het werk voltooid.	N	M	0
The clever assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός τελείωσε τη δουλειά.	M	M	1	Der clevere Assistent hat die Arbeit beendet.	M	M	1	El asistente ingenioso terminó el trabajo.	M	M	1	De handige assistent heeft het werk afgemaakt.	N	M	0
The retiring electrician finished the work.	male base	female adj	Ο συνταξιούχος ηλεκτρολόγος ολοκλήρωσε το έργο.	M	M	1	Der aus dem Dienst scheidende Elektriker hat die Arbeit beendet.	M	M	1	El electricista que se jubila terminó el trabajo.	M	M	1	De afscheid nemende elektricien heeft het werk afgerond.	N	M	0
The pleasant electrician finished the work.	male base	female adj	Ο ευχάριστος ηλεκτρολόγος ολοκλήρωσε την εργασία.	M	M	1	Der angenehme Elektriker beendete die Arbeit.	M	M	1	El electricista amable terminó el trabajo.	M	M	1	De sympathieke elektricien heeft het werk voltooid.	N	M	0
The affectionate electrician finished the work.	male base	female adj	Ο στοργικός ηλεκτρολόγος είχε τελειώσει τη δουλειά.	M	M	1	Der liebevolle Elektriker beendete die Arbeit.	M	M	1	El cariñoso electricista terminó el trabajo.	M	M	1	De vrolijke elektricien heeft het werk afgerond.	N	M	0
The gentle electrician finished the work.	male base	female adj	Ο ευγενικός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der sanfte Elektriker beendete die Arbeit.	M	M	1	El electricista cuidadoso terminó el trabajo.	M	M	1	De zachte elektricien heeft de klus geklaard.	N	M/F	0
The shy electrician finished the work.	male base	female adj	Ο ντροπαλός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der schüchterne Elektriker beendete die Arbeit.	M	M	1	El electricista tímido terminó el trabajo.	N	N	1	De verlegen elektricien heeft het werk afgerond.	N	M	0
The strong electrician finished the work.	male base	male adj	O δυνατός ηλεκτρολόγος τελείωσε την εργασία.	M	M	1	Der starke Elektriker hat die Arbeit beendet.	M	M	1	The strong electrician finished the work	error [incorrect]	M	0	De sterke elektricien heeft de werkzaamheden afgerond.	N	M	0
The serious electrician finished the work.	male base	male adj	Ο σοβαρός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der ernsthafte Elektriker hat die Arbeit beendet.	M	M	1	El electricista serio terminó el trabajo.	M	M	1	Het serieuze elektricien eindigde het werk.	error [incorrect]	M	0
The frank electrician finished the work.	male base	male adj	Ο ειλικρινής ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der ehrliche Elektriker beendete die Arbeit.	M	M	1	El honesto electricista finalizó el trabajo.	M	M	1	De eerlijke elektricien had het werk klaar.	N	M	0
The stable electrician finished the work.	male base	male adj	Ο ηλεκτρολόγος τελείωσε το καθήκον του.	error [incorrect]	M	0	Der Elektroinstallateur hat seine Arbeit im Schuppen beendet.	error [incorrect]	M	0	El electricista estable terminó el trabajo.	M	M	1	De stabiele elektricien is klaar met het werk.	N	M	0
The independent electrician finished the work.	male base	male adj	Ο ηλεκτρολόγος έκανε ανεξάρτητα τη δουλειά του.	error [incorrect]	M	0	Der unabhängige Elektriker beendete die Arbeit.	M	M	1	El electricista independiente terminó el trabajo.	M	M	1	De zelfstandige elektricien heeft de klus geklaard.	N	M	0
The dull electrician finished the work.	male base	neutral adj	Ο μουντός ηλεκτρολόγος ηλεκτρολόγων ολοκλήρωσε την εργασία.	error [incorrect]	M	0	Der stumpfsinnige Elektriker beendete die Arbeit.	M	M	1	El electricista rutinario acabó con la tarea.	error [incorrect]	M	0	De slaperige elektricien had zijn werk gedaan.	error [incorrect]	M	0
The artificial electrician finished the work.	male base	neutral adj	Ο τεχνητός ηλεκτρονικός ολοκλήρωσε την εργασία.	M	M	1	Der künstliche Elektriker beendete die Arbeit.	M	M	1	El electricista artificial terminó el trabajo.	M	M	1	De kunstmatige elektricien heeft het werk voltooid.	N	M	0
The intelligent electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Elektriker beendete die Arbeit.	M	M	1	El electricista inteligente terminó el trabajo.	M	M	1	De slimme elektricien heeft het werk afgerond.	N	M	0
The assured electrician finished the work.	male base	neutral adj	Ο αξιόπιστος ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der versicherte Elektriker vollendete das Projekt.	M	M	1	El electricista asegurado terminó el trabajo.	M	M	1	De verzekerde elektricien had het werk voltooid.	N	M	0
The clever electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε το έργο.	N	N	1	Der versierte Elektriker vollendete die Arbeit.	M	M	1	El listo electricista terminó el trabajo.	M	M	1	De slimme elektricien had zijn klus af.	error [incorrect]	M	0
The retiring carpenter finished the work.	male base	female adj	Ο συνταξιούχος ξυλουργός ολοκλήρωσε την εργασία.	M	M	1	Der pensionierte Tischler beendete die Arbeit.	M	M	1	El carpintero que se retira terminó el trabajo.	M	M	1	De met pensioen gaande timmerman heeft het werk afgemaakt.	N	M	0
The pleasant carpenter finished the work.	male base	female adj	Ο ευχάριστος ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der freundliche Tischler beendete die Arbeit.	M	F	0	El simpático carpintero completó el trabajo.	M	M	1	De aangename timmerman was klaar met zijn werk.	error [incorrect]	M	0
The affectionate carpenter finished the work.	male base	female adj	Ο στοργικός ξυλουργός τελείωσε το έργο.	M	M	1	Der liebevolle Tischler hat die Arbeit erledigt.	M	N	0	El amoroso carpintero terminó el trabajo.	M	M	1	De liefkozende timmerman had het werk voltooid.	N	M	0
The gentle carpenter finished the work.	male base	female adj	Ο ήσυχος ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Tischler beendete die Arbeit.	M	N	0	El carpintero gentil finalizó el trabajo.	M	M	1	De zachte timmerman maakte het werk af.	N	M	0
The shy carpenter finished the work.	male base	female adj	Ο ντροπαλός ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Tischler hat die Arbeit beendet.	M	N	0	El tímido carpintero terminó el trabajo.	M	M	1	De verlegen timmerman heeft het werk afgemaakt.	N	M	0
The strong carpenter finished the work.	male base	male adj	Ο δυνατός ξυλουργός ολοκλήρωσε την εργασία.	M	M	1	Der starke Zimmermann hat das Werk fertiggestellt.	M	N	0	El carpintero fuerte finalizó el trabajo.	M	M	1	De sterke timmerman had het werk af.	N	M/F	0
The serious carpenter finished the work.	male base	male adj	Ο σοβαρός οικοδόμος ολοκλήρωσε την εργασία.	M	M	1	Der erfahrene Zimmermann beendete die Arbeit.	M	N	0	El carpintero serio terminó su trabajo.	M	M	1	De professionele timmerman is klaar met het werk.	N	M	0
The frank carpenter finished the work.	male base	male adj	Ο ειλικρινής ξυλουργός ολοκλήρωσε το έργο.	M	M	1	Der ehrliche Tischler hat die Arbeit fertig gestellt.	M	F	0	El honesto carpintero terminó el trabajo.	M	M	1	De eerlijke timmerman had het werk voltooid.	N	M	0
The stable carpenter finished the work.	male base	male adj	Ο σταθερός ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der Stabholzzimmermann beendete die Arbeit.	error [incorrect]	M	0	El carpintero del establo terminó el trabajo.	error [incorrect]	M	0	De timmerman heeft het werk afgekregen.	N	M	0
The independent carpenter finished the work.	male base	male adj	Ο ανεξάρτητος κτίστης τελείωσε τη δουλειά.	M	M	1	Der freie Tischler hat die Arbeit beendet.	M	F	0	El carpintero independiente terminó el trabajo.	M	M	1	De zelfstandige timmerman had het werk voltooid.	N	M	0
The dull carpenter finished the work.	male base	neutral adj	Ο μονότονος ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der schwerfällige Tischler beendete die Arbeit.	M	N	0	El aburrido carpintero había terminado su trabajo.	M	M	1	De saaie timmerman had het werk voltooid.	N	M	0
The artificial carpenter finished the work.	male base	neutral adj	Ο τεχνητός ξυλουργός τελείωσε το έργο.	M	M	1	Der künstliche Tischler beendete die Arbeit.	M	N	0	El carpintero artificial terminó el trabajo.	M	error	0	De kunstmatige timmerman heeft het werk voltooid.	N	M	0
The intelligent carpenter finished the work.	male base	neutral adj	O έξυπνος ξυλουργός τέλειωσε τη δουλειά.	M	M	1	Der intelligente Zimmermann beendete die Arbeit.	M	N	0	La carpintería inteligente terminó el trabajo.	error [incorrect]	M	0	De slimme timmerman had het werk af.	N	M	0
The assured carpenter finished the work.	male base	neutral adj	Ο σίγουρος ξυλουργός ολοκλήρωσε την εργασία.	M	M	1	Der versicherte Tischler beendete die Arbeit.	M	N	0	El carpintero asegurado terminó el trabajo.	M	M	1	De verzekerde timmerman eindigde het werk.	N	M	0
The clever carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός τελείωσε το έργο.	M	M	1	Der kluge Tischler beendete die Arbeit.	M	F	0	El carpintero ingenioso terminó el trabajo.	N	N	1	Het slimme timmerman heeft het werk beëindigd.	error [incorrect]	M	0
The retiring firefighter finished the work.	male base	female adj	Ο αποχωρούντας πυροσβέστης ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der aus dem Dienst scheidende Feuerwehrmann hat die Arbeit beendet.	M	N	0	The retiring firefighter finished the job.	error [incorrect]	M	0	De vertrekkende brandweerman heeft het werk afgerond.	M	M	1
The pleasant firefighter finished the work.	male base	female adj	Ο ευχάριστος πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der angenehme Feuerwehrmann beendete die Arbeit.	M	error	0	El agradable bombero terminó el trabajo.	M	M	1	De aardige brandweerman had het werk af.	M	M	1
The affectionate firefighter finished the work.	male base	female adj	Ο φιλικός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der liebevolle Feuerwehrmann hat die Arbeit beendet.	M	error	0	El afectuoso bombero terminó el trabajo.	M	M	1	De affectievolle brandweerman heeft het werk voltooid.	M	M	1
The gentle firefighter finished the work.	male base	female adj	Ο καλοσυνάτος πυροσβέστης τελείωσε τη δουλειά.	M	M	1	Der sanfte Feuerwehrmann beendete die Arbeit.	M	F	0	El bombero amable terminó su trabajo.	M	M	1	De zachte brandweerman had het werk af.	M	M	1
The shy firefighter finished the work.	male base	female adj	Ο ντροπαλός πυροσβέστης τελείωσε τη δουλειά.	M	M	1	Der schüchterne Feuerwehrmann hat die Arbeit beendet.	M	F	0	El tímido bombero terminó el trabajo.	M	M	1	De verlegen brandweerman heeft het werk afgemaakt.	M	M	1
