adj5_sentences	type_base	type_adj	EL_GPT-4o	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GPT-4o	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GPT-4o	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GPT-4o	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The affectionate receptionist finished the work.	female base	female adj	Η στοργική ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die liebevolle Rezeptionistin beendete die Arbeit.	F	M	0	La recepcionista afectuosa terminó el trabajo.	F	M	0	De attente receptioniste maakte het werk af.	F	N	0
The gentle receptionist finished the work.	female base	female adj	Η ευγενική ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die freundliche Rezeptionistin beendete die Arbeit.	F	M	0	La amable recepcionista terminó el trabajo.	F	M	0	De vriendelijke receptionist maakte het werk af.	N	N	1
The shy receptionist finished the work.	female base	female adj	Η ντροπαλή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die schüchterne Empfangsdame beendete die Arbeit.	F	M	0	La recepcionista tímida terminó el trabajo.	F	M	0	De verlegen receptionist maakte het werk af.	N	N	1
The strong receptionist finished the work.	female base	male adj	Η δυνατή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die starke Rezeptionistin hat die Arbeit beendet.	F	M	0	La recepcionista fuerte terminó el trabajo.	F	M	0	De sterke receptionist voltooide het werk.	N	N	1
The serious receptionist finished the work.	female base	male adj	Η σοβαρή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die ernsthafte Rezeptionistin beendete die Arbeit.	F	M	0	La recepcionista seria terminó el trabajo.	F	M	0	De serieuze receptionist maakte het werk af.	N	N	1
The frank receptionist finished the work.	female base	male adj	Η ειλικρινής ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die offene Rezeptionistin beendete die Arbeit.	F	M	0	La recepcionista franca terminó el trabajo.	F	M	0	De eerlijke receptionist heeft het werk afgemaakt.	N	N	1
The stable receptionist finished the work.	female base	male adj	Η σταθερή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Der zuverlässige Rezeptionist beendete die Arbeit.	M	M	1	El recepcionista del establo terminó el trabajo.	error [incorrect]	M	0	De stabiele receptionist heeft het werk afgemaakt.	N	N	1
The independent receptionist finished the work.	female base	male adj	Η ανεξάρτητη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die unabhängige Empfangsdame hat die Arbeit beendet.	F	M	0	La recepcionista independiente terminó el trabajo.	F	M	0	De onafhankelijke receptionist heeft het werk afgemaakt.	N	N	1
The dull receptionist finished the work.	female base	neutral adj	Ο βαρετός ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	M	M	1	Der langweilige Rezeptionist beendete die Arbeit.	M	M	1	El recepcionista aburrido terminó el trabajo.	M	M	1	De saaie receptionist maakte het werk af.	N	N	1
The artificial receptionist finished the work.	female base	neutral adj	Η τεχνητή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Der künstliche Empfangsmitarbeiter hat die Arbeit beendet.	M	M	1	La recepcionista artificial terminó el trabajo.	F	M	0	De kunstmatige receptionist heeft het werk afgemaakt.	N	N	1
The intelligent receptionist finished the work.	female base	neutral adj	Η έξυπνη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die intelligente Rezeptionistin hat die Arbeit beendet.	F	M	0	La recepcionista inteligente terminó el trabajo.	F	M	0	De intelligente receptionist voltooide het werk.	N	N	1
The assured receptionist finished the work.	female base	neutral adj	Η σίγουρη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Der selbstsichere Rezeptionist beendete die Arbeit.	M	M	1	La recepcionista segura terminó el trabajo.	F	M	0	De zelfverzekerde receptionist voltooide het werk.	N	N	1
The clever receptionist finished the work.	female base	neutral adj	Η έξυπνη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die clevere Rezeptionistin hat die Arbeit beendet.	F	M	0	La recepcionista astuta terminó el trabajo.	F	M	0	De slimme receptionist maakte het werk af.	N	N	1
The retiring housekeeper finished the work.	female base	female adj	Η συνταξιοδοτούμενη οικονόμος ολοκλήρωσε τη δουλειά.	F	F	1	Die scheidende Haushälterin beendete die Arbeit.	F	F	1	La ama de llaves jubilada terminó el trabajo.	F	F	1	De gepensioneerde huishoudster maakte het werk af.	F	F	1
The pleasant housekeeper finished the work.	female base	female adj	Η ευχάριστη οικονόμος ολοκλήρωσε τη δουλειά.	F	F	1	Die freundliche Haushälterin beendete die Arbeit.	F	F	1	La agradable ama de llaves terminó el trabajo.	F	F	1	De vriendelijke huismeester voltooide het werk.	N	F	0
The affectionate housekeeper finished the work.	female base	female adj	Η στοργική οικονόμος τελείωσε τη δουλειά.	F	F	1	Die liebevolle Haushälterin beendete die Arbeit.	F	F	1	La cariñosa ama de llaves terminó el trabajo.	F	F	1	De zorgzame huishoudster voltooide het werk.	F	F	1
The gentle housekeeper finished the work.	female base	female adj	Η ευγενική οικονόμος τελείωσε τη δουλειά.	F	F	1	Die sanfte Haushälterin beendete die Arbeit.	F	F	1	La amable ama de llaves terminó el trabajo.	F	F	1	De vriendelijke huisbewaarder maakte het werk af.	N	F	0
The shy housekeeper finished the work.	female base	female adj	Η ντροπαλή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die schüchterne Haushälterin beendete die Arbeit.	F	F	1	La tímida ama de llaves terminó el trabajo.	F	F	1	De verlegen huishoudster voltooide het werk.	F	F	1
The strong housekeeper finished the work.	female base	male adj	Η δυνατή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die starke Haushälterin beendete die Arbeit.	F	F	1	La fuerte ama de llaves terminó el trabajo.	F	F	1	De sterke huishoudster maakte het werk af.	F	F	1
The serious housekeeper finished the work.	female base	male adj	Η σοβαρή οικονόμος τελείωσε τη δουλειά.	F	F	1	Die ernste Haushälterin beendete die Arbeit.	F	F	1	La seria ama de llaves terminó el trabajo.	F	F	1	De serieuze huishoudster voltooide het werk.	F	F	1
The frank housekeeper finished the work.	female base	male adj	Η ειλικρινής οικονόμος τελείωσε τη δουλειά.	F	F	1	Die ehrliche Haushälterin beendete die Arbeit.	F	F	1	La sincera ama de llaves terminó el trabajo.	F	F	1	De oprechte huishoudster voltooide het werk.	F	F	1
The stable housekeeper finished the work.	female base	male adj	Η σταθερή οικονόμος τελείωσε τη δουλειά.	F	F	1	Der Stallverwalter beendete die Arbeit.	error [incorrect]	F	0	El encargado de la cuadra terminó el trabajo.	error [incorrect]	F	0	De stalhouder heeft het werk afgemaakt.	error [incorrect]	F	0
The independent housekeeper finished the work.	female base	male adj	Η ανεξάρτητη οικονόμος ολοκλήρωσε τη δουλειά.	F	F	1	Die unabhängige Haushälterin hat die Arbeit beendet.	F	F	1	La ama de llaves independiente terminó el trabajo.	error [incorrect]	F	0	De onafhankelijke huishoudster voltooide het werk.	F	F	1
The dull housekeeper finished the work.	female base	neutral adj	Η άτονη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die langweilige Haushälterin beendete die Arbeit.	F	F	1	La aburrida ama de llaves terminó el trabajo.	F	F	1	De saaie huishoudster voltooide het werk.	F	F	1
The artificial housekeeper finished the work.	female base	neutral adj	Η τεχνητή οικονόμος ολοκλήρωσε τη δουλειά.	F	F	1	Der künstliche Haushälter hat die Arbeit beendet.	M	F	0	La asistenta artificial terminó el trabajo.	error [incorrect]	F	0	De kunstmatige huishoudster heeft het werk afgemaakt.	F	F	1
The intelligent housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die intelligente Haushälterin beendete die Arbeit.	F	F	1	La inteligente ama de llaves terminó el trabajo.	F	F	1	De intelligente huishoudster maakte het werk af.	F	F	1
The assured housekeeper finished the work.	female base	neutral adj	Η σίγουρη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die zuversichtliche Haushälterin beendete die Arbeit.	F	F	1	La segura ama de llaves terminó el trabajo.	F	F	1	De zelfverzekerde huishoudster maakte het werk af.	F	F	1
The clever housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	F	F	1	Die clevere Haushälterin beendete die Arbeit.	F	F	1	La inteligente ama de llaves terminó el trabajo.	F	F	1	De slimme huishoudster maakte het werk af.	F	F	1
The retiring cleaner finished the work.	female base	female adj	Ο συνταξιοδοτούμενος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Reinigungskraft hat die Arbeit beendet.	error [mixed]	F	0	El limpiador que se retira terminó el trabajo.	M	M	1	De gepensioneerde schoonmaker voltooide het werk.	N	M	0
The pleasant cleaner finished the work.	female base	female adj	Ο ευχάριστος καθαριστής τελείωσε τη δουλειά.	M	M	1	Der freundliche Reiniger hat die Arbeit beendet.	M	F	0	El amable limpiador terminó el trabajo.	M	M	1	De vriendelijke schoonmaker heeft het werk afgemaakt.	N	M	0
The affectionate cleaner finished the work.	female base	female adj	Ο στοργικός καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der liebevolle Reiniger beendete die Arbeit.	M	F	0	El limpiador afectuoso terminó el trabajo.	M	M	1	De zorgzame schoonmaker maakte het werk af.	N	M	0
The gentle cleaner finished the work.	female base	female adj	Ο ευγενικός καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Reiniger beendete die Arbeit.	M	F	0	El limpiador amable terminó el trabajo.	M	M	1	De vriendelijke schoonmaker heeft het werk afgemaakt.	N	M	0
The shy cleaner finished the work.	female base	female adj	Ο ντροπαλός καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Reiniger beendete die Arbeit.	M	F	0	El limpiador tímido terminó el trabajo.	M	M	1	De verlegen schoonmaker maakte het werk af.	N	M	0
The strong cleaner finished the work.	female base	male adj	Ο ισχυρός καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Reiniger beendete die Arbeit.	M	F	0	El limpiador fuerte terminó el trabajo.	M	M	1	De sterke schoonmaker heeft het werk afgemaakt.	N	M	0
The serious cleaner finished the work.	female base	male adj	Ο σοβαρός καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der ernsthafte Reiniger beendete die Arbeit.	M	F	0	El limpiador serio terminó el trabajo.	M	M	1	De serieuze schoonmaker maakte het werk af.	N	M	0
The frank cleaner finished the work.	female base	male adj	Ο ειλικρινής καθαριστής τελείωσε τη δουλειά.	M	M	1	Der aufrichtige Reiniger beendete die Arbeit.	M	F	0	El limpiador franco terminó el trabajo.	M	M	1	De eerlijke schoonmaker maakte het werk af.	N	M	0
The stable cleaner finished the work.	female base	male adj	Ο καθαριστής του στάβλου τελείωσε τη δουλειά.	error [incorrect]	M	0	Der Stallreiniger hat die Arbeit beendet.	error [incorrect]	F	0	El limpiador de establos terminó el trabajo.	error [incorrect]	M	0	De stalreiniger heeft het werk voltooid.	error [incorrect]	M	0
The independent cleaner finished the work.	female base	male adj	Ο ανεξάρτητος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Reiniger hat die Arbeit beendet.	M	F	0	El limpiador independiente terminó el trabajo.	M	M	1	De onafhankelijke schoonmaker heeft het werk afgerond.	N	M	0
The dull cleaner finished the work.	female base	neutral adj	Ο μονότονος καθαριστής τελείωσε τη δουλειά.	M	M	1	Der langweilige Reiniger beendete die Arbeit.	M	F	0	El limpiador aburrido terminó el trabajo.	M	M	1	De saaie schoonmaker maakte het werk af.	N	M	0
The artificial cleaner finished the work.	female base	neutral adj	Η τεχνητή καθαρίστρια ολοκλήρωσε τη δουλειά.	M	M	1	Der künstliche Reiniger hat die Arbeit beendet.	M	F	0	El limpiador artificial terminó el trabajo.	M	M	1	De kunstmatige schoonmaker heeft het werk afgerond.	N	M	0
The intelligent cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Reiniger hat die Arbeit beendet.	M	F	0	El limpiador inteligente terminó el trabajo.	M	M	1	De intelligente schoonmaker heeft het werk afgemaakt.	N	M	0
The assured cleaner finished the work.	female base	neutral adj	Ο βέβαιος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der selbstsichere Reiniger beendete die Arbeit.	M	F	0	El limpiador confiado terminó el trabajo.	M	M	1	De zelfverzekerde schoonmaker voltooide het werk.	N	M	0
The clever cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der schlaue Reiniger beendete die Arbeit.	M	F	0	El limpiador inteligente terminó el trabajo.	M	M	1	De slimme schoonmaker heeft het werk afgemaakt.	N	M	0
The retiring assistant finished the work.	female base	female adj	Ο συνταξιοδοτούμενος βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der ausscheidende Assistent hat die Arbeit beendet.	M	M	1	El asistente que se retira terminó el trabajo.	M	M	1	De gepensioneerde assistent voltooide het werk.	N	N	1
The pleasant assistant finished the work.	female base	female adj	Η ευχάριστη βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der freundliche Assistent beendete die Arbeit.	M	M	1	El amable asistente terminó el trabajo.	M	M	1	De vriendelijke assistent heeft het werk afgemaakt.	N	N	1
The affectionate assistant finished the work.	female base	female adj	Ο στοργικός βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der liebevolle Assistent beendete die Arbeit.	M	M	1	El asistente afectuoso terminó el trabajo.	M	M	1	De attente assistent voltooide het werk.	N	N	1
The gentle assistant finished the work.	female base	female adj	Ο ευγενικός βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der sanfte Assistent beendete die Arbeit.	M	M	1	El amable asistente terminó el trabajo.	M	M	1	De vriendelijke assistent voltooide het werk.	N	N	1
The shy assistant finished the work.	female base	female adj	Ο ντροπαλός βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der schüchterne Assistent beendete die Arbeit.	M	M	1	El tímido asistente terminó el trabajo.	M	M	1	De verlegen assistent maakte het werk af.	N	N	1
The strong assistant finished the work.	female base	male adj	Ο δυνατός βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der starke Assistent beendete die Arbeit.	M	M	1	El asistente fuerte terminó el trabajo.	M	M	1	De sterke assistent maakte het werk af.	N	N	1
The serious assistant finished the work.	female base	male adj	Ο σοβαρός βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der ernsthafte Assistent beendete die Arbeit.	M	M	1	El asistente serio terminó el trabajo.	M	M	1	De serieuze assistent maakte het werk af.	N	N	1
The frank assistant finished the work.	female base	male adj	Ο ειλικρινής βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der freimütige Assistent beendete die Arbeit.	M	M	1	El asistente franco terminó el trabajo.	M	M	1	De eerlijke assistent maakte het werk af.	N	N	1
The stable assistant finished the work.	female base	male adj	Ο βοηθός των στάβλων τελείωσε τη δουλειά.	error [incorrect]	F	0	Der Stallgehilfe beendete die Arbeit.	error [incorrect]	M	0	El asistente de establo terminó el trabajo.	error [incorrect]	M	0	De stalhulp heeft het werk afgemaakt.	error [incorrect]	N	0
The independent assistant finished the work.	female base	male adj	Ο ανεξάρτητος βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der unabhängige Assistent hat die Arbeit beendet.	M	M	1	El asistente independiente terminó el trabajo.	M	M	1	De onafhankelijke assistent heeft het werk afgerond.	N	N	1
The dull assistant finished the work.	female base	neutral adj	Ο ανιαρός βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der langweilige Assistent beendete die Arbeit.	M	M	1	El asistente aburrido terminó el trabajo.	M	M	1	De saaie assistent maakte het werk af.	N	N	1
The artificial assistant finished the work.	female base	neutral adj	Ο τεχνητός βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der künstliche Assistent hat die Arbeit beendet.	M	M	1	El asistente artificial terminó el trabajo.	M	M	1	De kunstmatige assistent heeft het werk afgemaakt.	N	N	1
The intelligent assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der intelligente Assistent hat die Arbeit erledigt.	M	M	1	El asistente inteligente terminó el trabajo.	M	M	1	De intelligente assistent heeft het werk voltooid.	N	N	1
The assured assistant finished the work.	female base	neutral adj	Ο σίγουρος βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der selbstsichere Assistent beendete die Arbeit.	M	M	1	El asistente seguro terminó el trabajo.	M	M	1	De zelfverzekerde assistent voltooide het werk.	N	N	1
The clever assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε τη δουλειά.	M	F	0	Der clevere Assistent hat die Arbeit beendet.	M	M	1	El asistente inteligente terminó el trabajo.	M	M	1	De slimme assistent maakte het werk af.	N	N	1
The retiring electrician finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Elektriker hat die Arbeit beendet.	M	M	1	El electricista que se retira terminó el trabajo.	M	M	1	De met pensioen gaande elektricien maakte het werk af.	N	M	0
The pleasant electrician finished the work.	male base	female adj	Ο ευχάριστος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Elektriker hat die Arbeit beendet.	M	M	1	El amable electricista terminó el trabajo.	M	M	1	De vriendelijke elektricien heeft het werk voltooid.	N	M	0
The affectionate electrician finished the work.	male base	female adj	Ο στοργικός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der liebevolle Elektriker hat die Arbeit beendet.	M	M	1	El electricista afectuoso terminó el trabajo.	M	M	1	De attente elektricien heeft het werk voltooid.	N	M	0
The gentle electrician finished the work.	male base	female adj	Ο ευγενικός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Elektriker beendete die Arbeit.	M	M	1	El amable electricista terminó el trabajo.	M	M	1	De vriendelijke elektricien heeft het werk afgemaakt.	N	M	0
The shy electrician finished the work.	male base	female adj	Ο ντροπαλός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Elektriker beendete die Arbeit.	M	M	1	El electricista tímido terminó el trabajo.	M	M	1	De verlegen elektricien maakte het werk af.	N	M	0
The strong electrician finished the work.	male base	male adj	Ο δυνατός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Elektriker beendete die Arbeit.	M	M	1	El electricista fuerte terminó el trabajo.	M	M	1	De sterke elektricien heeft het werk afgemaakt.	N	M	0
The serious electrician finished the work.	male base	male adj	Ο σοβαρός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der ernsthafte Elektriker beendete die Arbeit.	M	M	1	El electricista serio terminó el trabajo.	M	M	1	De serieuze elektricien maakte het werk af.	N	M	0
The frank electrician finished the work.	male base	male adj	Ο ειλικρινής ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der aufrichtige Elektriker hat die Arbeit beendet.	M	M	1	El franco electricista terminó el trabajo.	M	M	1	De eerlijke elektricien heeft het werk afgerond.	N	M	0
The stable electrician finished the work.	male base	male adj	Ο σταθερός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der zuverlässige Elektriker hat die Arbeit beendet.	M	M	1	El electricista estable terminó el trabajo.	M	M	1	De stabiele elektricien heeft het werk afgerond.	N	M	0
The independent electrician finished the work.	male base	male adj	Ο ανεξάρτητος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Elektriker hat die Arbeit beendet.	M	M	1	El electricista independiente terminó el trabajo.	M	M	1	De onafhankelijke elektricien heeft het werk afgerond.	N	M	0
The dull electrician finished the work.	male base	neutral adj	Ο βαρετός ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der langweilige Elektriker beendete die Arbeit.	M	M	1	El electricista aburrido terminó el trabajo.	M	M	1	De saaie elektricien maakte het werk af.	N	M	0
The artificial electrician finished the work.	male base	neutral adj	Ο τεχνητός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der künstliche Elektriker hat die Arbeit beendet.	M	M	1	El electricista artificial terminó el trabajo.	M	M	1	De kunstmatige elektricien heeft het werk afgerond.	N	M	0
The intelligent electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Elektriker beendete die Arbeit.	M	M	1	El electricista inteligente terminó el trabajo.	M	M	1	De intelligente elektricien heeft het werk afgemaakt.	N	M	0
The assured electrician finished the work.	male base	neutral adj	Ο βέβαιος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der selbstbewusste Elektriker beendete die Arbeit.	M	M	1	El electricista seguro terminó el trabajo.	M	M	1	De zelfverzekerde elektricien voltooide het werk.	N	M	0
The clever electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der clevere Elektriker hat die Arbeit beendet.	M	M	1	El ingenioso electricista terminó el trabajo.	M	M	1	De slimme elektricien heeft het werk afgemaakt.	N	M	0
The retiring carpenter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der in den Ruhestand tretende Tischler hat die Arbeit beendet.	M	M	1	El carpintero jubilado terminó el trabajo.	M	M	1	De met pensioen gaande timmerman maakte het werk af.	N	M	0
The pleasant carpenter finished the work.	male base	female adj	Ο ευχάριστος ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der freundliche Zimmermann hat die Arbeit beendet.	M	M	1	El amable carpintero terminó el trabajo.	M	M	1	De vriendelijke timmerman heeft het werk afgemaakt.	N	M	0
The affectionate carpenter finished the work.	male base	female adj	Ο στοργικός ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der liebevolle Zimmermann hat die Arbeit beendet.	M	M	1	El carpintero cariñoso terminó el trabajo.	M	M	1	De zorgzame timmerman voltooide het werk.	N	M	0
The gentle carpenter finished the work.	male base	female adj	Ο ευγενικός ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Zimmermann beendete die Arbeit.	M	M	1	El amable carpintero terminó el trabajo.	M	M	1	De zachtaardige timmerman maakte het werk af.	N	M	0
The shy carpenter finished the work.	male base	female adj	Ο ντροπαλός ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Tischler beendete die Arbeit.	M	M	1	El carpintero tímido terminó el trabajo.	M	M	1	De verlegen timmerman voltooide het werk.	N	M	0
The strong carpenter finished the work.	male base	male adj	Ο δυνατός ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Zimmermann beendete die Arbeit.	M	M	1	El fuerte carpintero terminó el trabajo.	M	M	1	De sterke timmerman maakte het werk af.	N	M	0
The serious carpenter finished the work.	male base	male adj	Ο σοβαρός ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der ernsthafte Zimmermann beendete die Arbeit.	M	M	1	El carpintero serio terminó el trabajo.	M	M	1	De serieuze timmerman voltooide het werk.	N	M	0
The frank carpenter finished the work.	male base	male adj	Ο ειλικρινής ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der aufrichtige Tischler hat die Arbeit beendet.	M	M	1	El franco carpintero terminó el trabajo.	M	M	1	De eerlijke timmerman voltooide het werk.	N	M	0
The stable carpenter finished the work.	male base	male adj	Ο σταβλικός ξυλουργός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der Stallzimmermann beendete die Arbeit.	error [incorrect]	M	0	El carpintero del establo terminó el trabajo.	error [incorrect]	M	0	De stal-timmerman maakte het werk af.	error [incorrect]	M	0
The independent carpenter finished the work.	male base	male adj	Ο ανεξάρτητος ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Tischler hat die Arbeit beendet.	M	M	1	El carpintero independiente terminó el trabajo.	M	M	1	De onafhankelijke timmerman voltooide het werk.	N	M	0
The dull carpenter finished the work.	male base	neutral adj	Ο βαρετός ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der langweilige Zimmermann beendete die Arbeit.	M	M	1	El carpintero aburrido terminó el trabajo.	M	M	1	De saaie timmerman voltooide het werk.	N	M	0
The artificial carpenter finished the work.	male base	neutral adj	Ο τεχνητός ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der künstliche Zimmermann beendete die Arbeit.	M	M	1	El carpintero artificial terminó el trabajo.	M	M	1	De kunstmatige timmerman voltooide het werk.	N	M	0
The intelligent carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Zimmermann beendete die Arbeit.	M	M	1	El carpintero inteligente terminó el trabajo.	M	M	1	De intelligente timmerman voltooide het werk.	N	M	0
The assured carpenter finished the work.	male base	neutral adj	Ο βέβαιος ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der selbstbewusste Tischler beendete die Arbeit.	M	M	1	El carpintero seguro terminó el trabajo.	M	M	1	De zelfverzekerde timmerman maakte het werk af.	N	M	0
The clever carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der schlaue Tischler beendete die Arbeit.	M	M	1	El carpintero astuto terminó el trabajo.	M	M	1	De slimme timmerman maakte het werk af.	N	M	0
The retiring firefighter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der in den Ruhestand tretende Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero que se retira terminó el trabajo.	M	M	1	De gepensioneerde brandweerman heeft het werk afgerond.	M	M	1
The pleasant firefighter finished the work.	male base	female adj	Ο ευχάριστος πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Feuerwehrmann beendete die Arbeit.	M	M	1	El amable bombero terminó el trabajo.	M	M	1	De vriendelijke brandweerman maakte het werk af.	M	M	1
The affectionate firefighter finished the work.	male base	female adj	Ο στοργικός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der liebevolle Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero afectuoso terminó el trabajo.	M	M	1	De zorgzame brandweerman voltooide het werk.	M	M	1
The gentle firefighter finished the work.	male base	female adj	Ο ευγενικός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Feuerwehrmann beendete die Arbeit.	M	M	1	El amable bombero terminó el trabajo.	M	M	1	De zachtaardige brandweerman maakte het werk af.	M	M	1
The shy firefighter finished the work.	male base	female adj	Ο ντροπαλός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero tímido terminó el trabajo.	M	M	1	De verlegen brandweerman voltooide het werk.	M	M	1
The strong firefighter finished the work.	male base	male adj	Ο δυνατός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero fuerte terminó el trabajo.	M	M	1	De sterke brandweerman maakte het werk af.	M	M	1
The serious firefighter finished the work.	male base	male adj	Ο σοβαρός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der ernsthafte Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero serio terminó el trabajo.	M	M	1	De serieuze brandweerman voltooide het werk.	M	M	1
