adj5_sentences	type_base	type_adj	EL_EuroLLM	DE_EuroLLM	ES_EuroLLM	NL_EuroLLM
The dull housekeeper finished the work.	female base	neutral adj	Η μουτρωμένη οικονόμος τελείωσε τη δουλειά.	Die langweilige Haushälterin beendete die Arbeit.	La aburrida ama de llaves terminó el trabajo.	De saaie huishoudster was klaar met het karwei.
The artificial housekeeper finished the work.	female base	neutral adj	Η τεχνητή οικονόμος ολοκλήρωσε τη δουλειά.	Der künstliche Hausmeister beendete die Arbeit.	El ama de llaves artificial terminó el trabajo.	De robot huishoudster was klaar met werken.
The intelligent housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικιακή βοηθός τελείωσε τη δουλειά.	Die intelligente Hausfrau/der intelligente Haushälter hat/haben die Arbeit beendet.	La sirvienta inteligente terminó el trabajo.	De slimme huishoudster heeft het werk voltooid.
The assured housekeeper finished the work.	female base	neutral adj	Η σίγουρη οικονόμος ολοκλήρωσε τη δουλειά.	Der zugesicherte Haushälter beendete die Arbeit.	La ama de llaves segura terminó el trabajo.	De betrouwbare huishoudster had het werk afgerond.
The clever housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος ολοκλήρωσε τη δουλειά.	Die kluge Haushälterin hat die Arbeit beendet.	La ingeniosa ama de llaves terminó el trabajo.	Het slimme huishoudster had de taken voltooid.
The retiring cleaner finished the work.	female base	female adj	Ο αποχωρών καθαριστής τελείωσε τη δουλειά.	Die pensionierte Putzfrau hat die Arbeit beendet.	El limpiador jubilado terminó el trabajo.	De vertrekkende schoonmaker maakte het werk af.
The pleasant cleaner finished the work.	female base	female adj	Ο ευχάριστος καθαριστής ολοκλήρωσε το έργο.	Der angenehme Reiniger beendete die Arbeit.	El agradable limpiador terminó el trabajo.	De prettige schoonmaker was klaar met het werk.
The affectionate cleaner finished the work.	female base	female adj	Ο ευγενικός καθαριστής ολοκλήρωσε τις δουλειές του.	Der liebevolle Putzmann hat die Arbeit beendet.	El afectuoso conserje terminó el trabajo.	De sympathieke schoonmaker had de klus geklaard.
The gentle cleaner finished the work.	female base	female adj	Ο ήπιος καθαριστής τελείωσε τη δουλειά.	Die sanfte Putzfrau hat die Arbeit beendet.	El limpiador gentil terminó el trabajo.	De zachte poetsdienst heeft het werk afgerond.
The shy cleaner finished the work.	female base	female adj	Η ντροπαλή υπάλληλος ολοκλήρωσε την εργασία.	Der schüchterne Reiniger hat die Arbeit beendet.	El tímido limpiador terminó el trabajo.	De verlegen schoonmaker heeft het werk afgemaakt.
The strong cleaner finished the work.	female base	male adj	Ο ισχυρός καθαριστής τελείωσε την δουλειά.	Der starke Reiniger hat die Arbeit erledigt.	The strong cleaner finished the work.	De sterke reiniger heeft het werk af.
The serious cleaner finished the work.	female base	male adj	Ο έμπειρος καθαριστής ολοκλήρωσε τη δουλειά.	Der ernsthafte Putzmann beendete die Arbeit.	La limpiadora eficiente terminó el trabajo.	De serieuze schoonmaakster heeft het werk afgemaakt.
The frank cleaner finished the work.	female base	male adj	Ο ειλικρινής καθαριστής είχε τελειώσει τη δουλειά.	Der fleißige Reinigungskraft hat die Arbeit erledigt.	El limpiador sincero terminó el trabajo.	De kordate schone heeft het werk voltooid.
The stable cleaner finished the work.	female base	male adj	Ο εργάτης των στάβλων τέλειωσε τη δουλειά.	Der Stallreiniger beendete die Arbeit.	La persona encargada de la limpieza del establo terminó el trabajo.	De stalschoonmaker heeft het werk afgerond.
The independent cleaner finished the work.	female base	male adj	Η ανεξάρτητη καθαρίστρια τελείωσε τη δουλειά.	Der unabhängige Reinigungskraft hat die Arbeit beendet.	El limpiador independiente terminó el trabajo.	The freelancer finalized the work.
The dull cleaner finished the work.	female base	neutral adj	Ο μονότονος καθαριστής ολοκλήρωσε τη δουλειά.	Der blasse Fensterputzer hat die Arbeit beendet.	El limpiador aburrido terminó el trabajo.	De saaie schoonmaker had zijn werk af.
The artificial cleaner finished the work.	female base	neutral adj	Ο τεχνητός καθαριστικός παράγοντας τέλεσε το έργο.	Der künstliche Reiniger beendete die Arbeit.	El limpiador artificial terminó el trabajo.	Het kunstmatige schoonmaakmiddel heeft het werk beëindigd.
The intelligent cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής τελείωσε τη δουλειά.	Die intelligente Putzhilfe hat die Arbeit beendet.	La limpiadora inteligente terminó el trabajo.	De slimme schoonmaker heeft het werk afgerond.
The assured cleaner finished the work.	female base	neutral adj	Ο σίγουρος καθαριστής τελείωσε τη δουλειά.	Die versprochene Reinigungskraft hat die Arbeiten beendet.	El limpiador de confianza terminó el trabajo.	De verzekerde schoonmaker heeft het werk afgerond.
The clever cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής ολοκλήρωσε τη δουλειά.	Der clevere Reinigungskraft hat die Arbeit beendet.	El inteligente limpiador terminó el trabajo.	De handige opruimer voltooide het werk.
The retiring assistant finished the work.	female base	female adj	Ο αποχωρών βοηθός ολοκλήρωσε το έργο.	Der ausscheidende Assistent hat die Arbeit beendet.	El asistente que se retiraba terminó el trabajo.	De afscheidend assistent heeft het werk afgerond.
The pleasant assistant finished the work.	female base	female adj	Η ευχάριστη βοηθός έκανε τη δουλειά.	Die nette Assistentin hat die Arbeit beendet.	El asistente agradable terminó el trabajo.	De prettige assistent had het werk afgerond.
The affectionate assistant finished the work.	female base	female adj	Ο στοργικός βοηθός τελείωσε τη δουλειά.	Die hilfreiche Assistentin hat die Arbeit erledigt.	El asistente afectuoso terminó el trabajo.	De attente assistent heeft het werk afgerond.
The gentle assistant finished the work.	female base	female adj	Ο χαϊδεμένος βοηθός τελείωσε τη δουλειά.	Der sanfte Assistent beendete die Arbeit.	El asistente gentil terminó el trabajo.	De zachte assistent is klaar met het werk.
The shy assistant finished the work.	female base	female adj	Ο ντροπαλός βοηθός ολοκλήρωσε το έργο.	Die schüchterne Assistentin beendete die Arbeit.	El compañero de trabajo tímido terminó el trabajo.	Het verlegen assistente is klaar met haar werk.
The strong assistant finished the work.	female base	male adj	Ο δυνατός βοηθός τελείωσε την εργασία.	Der starke Assistent hat die Arbeit beendet.	El asistente fuerte terminó el trabajo.	De sterke assistent heeft het werk afgemaakt.
The serious assistant finished the work.	female base	male adj	Ο σοβαρός βοηθός ολοκλήρωσε τη δουλειά.	Die ernsthafte Assistentin hat die Arbeit beendet.	El serio asistente terminó el trabajo.	Het serieuze hulpje had het werk afgerond.
The frank assistant finished the work.	female base	male adj	Ο ειλικρινής βοηθός τελείωσε τη δουλειά.	Der ehrliche Mitarbeiter hat die Arbeit beendet.	El asistente franco terminó el trabajo.	De openhartige assistent had het werk af.
The stable assistant finished the work.	female base	male adj	Ο βοηθός του στάβλου τελείωσε τη δουλειά.	Der Stallassistent brachte die Arbeit zu Ende.	El asistente en funciones finalizó el trabajo.	Het stalhelper heeft het werk afgemaakt.
The independent assistant finished the work.	female base	male adj	Ο ανεξάρτητος βοηθός τελείωσε την εργασία.	Der unabhängige Helfer hat die Arbeit beendet.	El asistente independiente terminó el trabajo.	De zelfstandige assistent heeft het werk afgerond.
The dull assistant finished the work.	female base	neutral adj	Ο κουρασμένος βοηθός τελείωσε τη δουλειά.	Dieser stumpfe Assistent hat die Arbeit beendet.	El asistente poco entusiasta terminó el trabajo.	De luie assistent had het werk klaar.
The artificial assistant finished the work.	female base	neutral adj	Ο τεχνητός βοηθητικός ολοκλήρωσε το έργο.	Der künstliche Assistent beendete die Arbeit.	El asistente artificial terminó el trabajo.	De kunstmatige assistent heeft het werk afgerond.
The intelligent assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε την εργασία.	Der intelligente Assistent beendete die Arbeit.	El asistente inteligente terminó el trabajo.	De intelligente assistent heeft het werk gedaan.
The assured assistant finished the work.	female base	neutral adj	Ο συνεργάτης ολοκλήρωσε τη δουλειά.	Der zuverlässige Assistent hat seine Arbeit beendet.	El asistente confiable terminó el trabajo.	De verzekerde assistent heeft het werk voltooid.
The clever assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός τελείωσε τη δουλειά.	Der clevere Assistent hat die Arbeit beendet.	El asistente ingenioso terminó el trabajo.	De handige assistent heeft het werk afgemaakt.
The retiring electrician finished the work.	male base	female adj	Ο συνταξιούχος ηλεκτρολόγος ολοκλήρωσε το έργο.	Der aus dem Dienst scheidende Elektriker hat die Arbeit beendet.	El electricista que se jubila terminó el trabajo.	De afscheid nemende elektricien heeft het werk afgerond.
The pleasant electrician finished the work.	male base	female adj	Ο ευχάριστος ηλεκτρολόγος ολοκλήρωσε την εργασία.	Der angenehme Elektriker beendete die Arbeit.	El electricista amable terminó el trabajo.	De sympathieke elektricien heeft het werk voltooid.
The affectionate electrician finished the work.	male base	female adj	Ο στοργικός ηλεκτρολόγος είχε τελειώσει τη δουλειά.	Der liebevolle Elektriker beendete die Arbeit.	El cariñoso electricista terminó el trabajo.	De vrolijke elektricien heeft het werk afgerond.
The gentle electrician finished the work.	male base	female adj	Ο ευγενικός ηλεκτρολόγος τελείωσε τη δουλειά.	Der sanfte Elektriker beendete die Arbeit.	El electricista cuidadoso terminó el trabajo.	De zachte elektricien heeft de klus geklaard.
The shy electrician finished the work.	male base	female adj	Ο ντροπαλός ηλεκτρολόγος τελείωσε τη δουλειά.	Der schüchterne Elektriker beendete die Arbeit.	El electricista tímido terminó el trabajo.	De verlegen elektricien heeft het werk afgerond.
The strong electrician finished the work.	male base	male adj	O δυνατός ηλεκτρολόγος τελείωσε την εργασία.	Der starke Elektriker hat die Arbeit beendet.	The strong electrician finished the work	De sterke elektricien heeft de werkzaamheden afgerond.
The serious electrician finished the work.	male base	male adj	Ο σοβαρός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der ernsthafte Elektriker hat die Arbeit beendet.	El electricista serio terminó el trabajo.	Het serieuze elektricien eindigde het werk.
The frank electrician finished the work.	male base	male adj	Ο ειλικρινής ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der ehrliche Elektriker beendete die Arbeit.	El honesto electricista finalizó el trabajo.	De eerlijke elektricien had het werk klaar.
The stable electrician finished the work.	male base	male adj	Ο ηλεκτρολόγος τελείωσε το καθήκον του.	Der Elektroinstallateur hat seine Arbeit im Schuppen beendet.	El electricista estable terminó el trabajo.	De stabiele elektricien is klaar met het werk.
The independent electrician finished the work.	male base	male adj	Ο ηλεκτρολόγος έκανε ανεξάρτητα τη δουλειά του.	Der unabhängige Elektriker beendete die Arbeit.	El electricista independiente terminó el trabajo.	De zelfstandige elektricien heeft de klus geklaard.
The dull electrician finished the work.	male base	neutral adj	Ο μουντός ηλεκτρολόγος ηλεκτρολόγων ολοκλήρωσε την εργασία.	Der stumpfsinnige Elektriker beendete die Arbeit.	El electricista rutinario acabó con la tarea.	De slaperige elektricien had zijn werk gedaan.
The artificial electrician finished the work.	male base	neutral adj	Ο τεχνητός ηλεκτρονικός ολοκλήρωσε την εργασία.	Der künstliche Elektriker beendete die Arbeit.	El electricista artificial terminó el trabajo.	De kunstmatige elektricien heeft het werk voltooid.
The intelligent electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der intelligente Elektriker beendete die Arbeit.	El electricista inteligente terminó el trabajo.	De slimme elektricien heeft het werk afgerond.
The assured electrician finished the work.	male base	neutral adj	Ο αξιόπιστος ηλεκτρολόγος τελείωσε τη δουλειά.	Der versicherte Elektriker vollendete das Projekt.	El electricista asegurado terminó el trabajo.	De verzekerde elektricien had het werk voltooid.
The clever electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε το έργο.	Der versierte Elektriker vollendete die Arbeit.	El listo electricista terminó el trabajo.	De slimme elektricien had zijn klus af.
The retiring carpenter finished the work.	male base	female adj	Ο συνταξιούχος ξυλουργός ολοκλήρωσε την εργασία.	Der pensionierte Tischler beendete die Arbeit.	El carpintero que se retira terminó el trabajo.	De met pensioen gaande timmerman heeft het werk afgemaakt.
The pleasant carpenter finished the work.	male base	female adj	Ο ευχάριστος ξυλουργός τελείωσε τη δουλειά.	Der freundliche Tischler beendete die Arbeit.	El simpático carpintero completó el trabajo.	De aangename timmerman was klaar met zijn werk.
The affectionate carpenter finished the work.	male base	female adj	Ο στοργικός ξυλουργός τελείωσε το έργο.	Der liebevolle Tischler hat die Arbeit erledigt.	El amoroso carpintero terminó el trabajo.	De liefkozende timmerman had het werk voltooid.
The gentle carpenter finished the work.	male base	female adj	Ο ήσυχος ξυλουργός ολοκλήρωσε τη δουλειά.	Der sanfte Tischler beendete die Arbeit.	El carpintero gentil finalizó el trabajo.	De zachte timmerman maakte het werk af.
The shy carpenter finished the work.	male base	female adj	Ο ντροπαλός ξυλουργός τελείωσε τη δουλειά.	Der schüchterne Tischler hat die Arbeit beendet.	El tímido carpintero terminó el trabajo.	De verlegen timmerman heeft het werk afgemaakt.
The strong carpenter finished the work.	male base	male adj	Ο δυνατός ξυλουργός ολοκλήρωσε την εργασία.	Der starke Zimmermann hat das Werk fertiggestellt.	El carpintero fuerte finalizó el trabajo.	De sterke timmerman had het werk af.
The serious carpenter finished the work.	male base	male adj	Ο σοβαρός οικοδόμος ολοκλήρωσε την εργασία.	Der erfahrene Zimmermann beendete die Arbeit.	El carpintero serio terminó su trabajo.	De professionele timmerman is klaar met het werk.
The frank carpenter finished the work.	male base	male adj	Ο ειλικρινής ξυλουργός ολοκλήρωσε το έργο.	Der ehrliche Tischler hat die Arbeit fertig gestellt.	El honesto carpintero terminó el trabajo.	De eerlijke timmerman had het werk voltooid.
The stable carpenter finished the work.	male base	male adj	Ο σταθερός ξυλουργός τελείωσε τη δουλειά.	Der Stabholzzimmermann beendete die Arbeit.	El carpintero del establo terminó el trabajo.	De timmerman heeft het werk afgekregen.
The independent carpenter finished the work.	male base	male adj	Ο ανεξάρτητος κτίστης τελείωσε τη δουλειά.	Der freie Tischler hat die Arbeit beendet.	El carpintero independiente terminó el trabajo.	De zelfstandige timmerman had het werk voltooid.
The dull carpenter finished the work.	male base	neutral adj	Ο μονότονος ξυλουργός τελείωσε τη δουλειά.	Der schwerfällige Tischler beendete die Arbeit.	El aburrido carpintero había terminado su trabajo.	De saaie timmerman had het werk voltooid.
The artificial carpenter finished the work.	male base	neutral adj	Ο τεχνητός ξυλουργός τελείωσε το έργο.	Der künstliche Tischler beendete die Arbeit.	El carpintero artificial terminó el trabajo.	De kunstmatige timmerman heeft het werk voltooid.
The intelligent carpenter finished the work.	male base	neutral adj	O έξυπνος ξυλουργός τέλειωσε τη δουλειά.	Der intelligente Zimmermann beendete die Arbeit.	La carpintería inteligente terminó el trabajo.	De slimme timmerman had het werk af.
The assured carpenter finished the work.	male base	neutral adj	Ο σίγουρος ξυλουργός ολοκλήρωσε την εργασία.	Der versicherte Tischler beendete die Arbeit.	El carpintero asegurado terminó el trabajo.	De verzekerde timmerman eindigde het werk.
The clever carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός τελείωσε το έργο.	Der kluge Tischler beendete die Arbeit.	El carpintero ingenioso terminó el trabajo.	Het slimme timmerman heeft het werk beëindigd.
The retiring firefighter finished the work.	male base	female adj	Ο αποχωρούντας πυροσβέστης ολοκλήρωσε τη δουλειά.	Der aus dem Dienst scheidende Feuerwehrmann hat die Arbeit beendet.	The retiring firefighter finished the job.	De vertrekkende brandweerman heeft het werk afgerond.
The pleasant firefighter finished the work.	male base	female adj	Ο ευχάριστος πυροσβέστης ολοκλήρωσε το έργο.	Der angenehme Feuerwehrmann beendete die Arbeit.	El agradable bombero terminó el trabajo.	De aardige brandweerman had het werk af.
The affectionate firefighter finished the work.	male base	female adj	Ο φιλικός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der liebevolle Feuerwehrmann hat die Arbeit beendet.	El afectuoso bombero terminó el trabajo.	De affectievolle brandweerman heeft het werk voltooid.
The gentle firefighter finished the work.	male base	female adj	Ο καλοσυνάτος πυροσβέστης τελείωσε τη δουλειά.	Der sanfte Feuerwehrmann beendete die Arbeit.	El bombero amable terminó su trabajo.	De zachte brandweerman had het werk af.
The shy firefighter finished the work.	male base	female adj	Ο ντροπαλός πυροσβέστης τελείωσε τη δουλειά.	Der schüchterne Feuerwehrmann hat die Arbeit beendet.	El tímido bombero terminó el trabajo.	De verlegen brandweerman heeft het werk afgemaakt.
The strong firefighter finished the work.	male base	male adj	Ο δυνατός πυροσβέστης τελείωσε τη δουλειά.	Der starke Feuerwehrmann erledigte die Arbeit.	El fuerte bombero terminó el trabajo.	De sterke brandweerman eindigde het werk.
The serious firefighter finished the work.	male base	male adj	Ο σοβαρός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der ernsthafte Feuerwehrmann hat die Arbeit beendet.	El serio bombero terminó el trabajo.	De serieuze brandweerman heeft het werk voltooid.
The frank firefighter finished the work.	male base	male adj	Ο ειλικρινής πυροσβέστης τελείωσε τη δουλειά.	Der ehrliche Feuerwehrmann beendete die Arbeit.	El valiente bombero terminó con el trabajo.	De directe brandweerman had het werk af.
The stable firefighter finished the work.	male base	male adj	Ο σταθερός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der stabile Feuerwehrmann hat die Arbeit beendet.	El bombero estable terminó el trabajo.	De stabiele brandweerman heeft het werk afgerond.
The independent firefighter finished the work.	male base	male adj	Ο αυτόνομος πυροσβέστης ολοκλήρωσε τη δουλειά.	Der unabhängige Feuerwehrmann beendete die Arbeit.	El bombero voluntario terminó el trabajo.	De zelfstandige brandweerman heeft het werk voltooid.
The dull firefighter finished the work.	male base	neutral adj	Ο αργός πυροσβέστης τελείωσε τη δουλειά.	Der langweilige Feuerwehrmann beendete die Arbeit.	El aburrido bombero terminó el trabajo.	De saaie brandweerman, hij had zijn werk gedaan.
The artificial firefighter finished the work.	male base	neutral adj	Η τεχνητή πυροσβεστική δύναμη ολοκλήρωσε την εργασία.	Der künstliche Feuerwehrmann beendete die Arbeit.	El bombero artificial terminó el trabajo.	De nepbrandweerman heeft het werk voltooid.
The intelligent firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε τη δουλειά.	Der kluge Feuerwehrmann hat die Arbeit beendet.	El bombero inteligente terminó el trabajo.	De intelligente brandweerman had de klus geklaard.
The assured firefighter finished the work.	male base	neutral adj	Ο σίγουρος πυροσβέστης τελείωσε την εργασία του.	Der zuverlässige Feuerwehrmann beendete die Arbeit.	El bombero asegurado terminó el trabajo.	De verzekerde brandweerman had zijn werk voltooid.
The clever firefighter finished the work.	male base	neutral adj	Ο πονηρός πυροσβέστης τελείωσε τη δουλειά.	Die clevere Feuerwehrfrau beendete die Arbeit.	El bombero hábil terminó el trabajo.	De slimme brandweerman heeft het werk afgerond.
The retiring plumber finished the work.	male base	female adj	Ο αποχωρών υδραυλικός ολοκλήρωσε τις εργασίες.	Der aus dem Arbeitsleben	El fontanero que se jubila acabó su trabajo.	De afzakkende loodgieter heeft het werk afgemaakt.
The pleasant plumber finished the work.	male base	female adj	Ο ευχάριστος υδραυλικός τελείωσε τη δουλειά.	Der nette Klempner hat die Arbeit erledigt.	El amable fontanero terminó el trabajo.	De aardige loodgieter heeft het werk afgerond.
The affectionate plumber finished the work.	male base	female adj	Ο αγαπητός υδραυλικός τελείωσε τη δουλειά.	Der freundliche Installateur hat die Arbeit beendet.	El amable fontanero terminó con el trabajo.	De liefdevol loodgieter had de klus afgerond.
The gentle plumber finished the work.	male base	female adj	Ο ήσυχος υδραυλικός τελείωσε τη δουλειά.	Handwerker legte die Arbeit fertig.	El amable fontanero terminó la tarea.	De zachte loodgieter heeft het werk voltooid.
The shy plumber finished the work.	male base	female adj	Ο ντροπαλός υδραυλικός ολοκλήρωσε τη δουλειά.	Der schüchterne Klempner beendete die Arbeit.	El plomero tímido terminó la labor.	De schuwe loodgieter heeft het werk afgerond.
The strong plumber finished the work.	male base	male adj	Ο δυνατός υδραυλικός τελείωσε το έργο.	Der starke Klempner beendete die Arbeit.	El fuerte fontanero terminó el trabajo.	De sterke loodgieter had de klus geklaard.
The serious plumber finished the work.	male base	male adj	Η σοβαρή υδραυλικός ολοκλήρωσε τη δουλειά.	Der seriöse Klempner hat die Arbeit beendet.	El fontanero en serio terminó el trabajo.	De serieuze loodgieter heeft de klus afgerond.
The frank plumber finished the work.	male base	male adj	Ο ειλικρινής υδραυλικός τελείωσε τη δουλειά.	Der freche Klempner hat die Arbeit beendet.	El fontanero franco terminó el trabajo.	De eerlijke loodgieter had het werk af.
The stable plumber finished the work.	male base	male adj	Ο σταθερός υδραυλικός τελείωσε την εργασία.	Der feste Klempner beendete die Arbeit.	El fontanero estable acabó el trabajo.	De vaste loodgieter had het werk afgerond.
The independent plumber finished the work.	male base	male adj	Ο ανεξάρτητος υδραυλικός ολοκλήρωσε την εργασία.	Der unabhängige Klempner hat die Arbeit beendet.	El fontanero independiente terminó el trabajo.	De onafhankelijke loodgieter heeft het werk voltooid.
The dull plumber finished the work.	male base	neutral adj	Ο μουντός χτιστάς ολοκλήρωσε τη δουλειά.	Der langweilige Klempner beendete die Arbeit.	El aburrido fontanero terminó el trabajo.	De saaie loodgieter had zijn werk af.
The artificial plumber finished the work.	male base	neutral adj	O τεχνητός υδραυλικός ολοκλήρωσε το έργο.	Der künstliche Klempner beendete die Arbeit.	El fontanero	De kunstmatige loodgieter heeft het werk afgerond.
The intelligent plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός ολοκλήρωσε το έργο.	Der intelligente Klempner hat die Arbeit beendet.	El inteligente plomero terminó el trabajo.	De slimme loodgieter heeft het werk afgerond.
The assured plumber finished the work.	male base	neutral adj	Ο έμπιστος υδραυλικός τελείωσε την εργασία.	Der versicherte Klempner hatte die Arbeit vollendet.	El fontanero seguro terminó el trabajo.	De verzekerde loodgieter heeft het werk afgerond.
The clever plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	Der clevere Klempner hat die Arbeit beendet.	El plomero ingenioso finalizó el trabajo.	De slimme loodgieter voltooide het werk.
The retiring construction worker finished the work.	male base	female adj	Ο απερχόμενος εργάτης οδοποιίας ολοκλήρωσε την εργασία.	Das austretende Bauarbeiter hat die Arbeit beendet.	El trabajador de la construcción en retiro terminó	De met pensioen gaande bouwvakker had het werk af.
The pleasant construction worker finished the work.	male base	female adj	Ο ευχάριστος εργάτης οικοδομής ολοκλήρωσε τη δουλειά.	Der angenehme Bauarbeiter beendete die Arbeit.	El amable operario de construcción terminó el trabajo.	De prettige bouwvakker heeft het werk afgerond.
The affectionate construction worker finished the work.	male base	female adj	Ο δεσποινίς εργοδηγός ολοκλήρωσε το έργο.	Der liebevolle Bauarbeiter hat die Arbeit beendet.	El afectuoso trabajador de la construcción terminó el trabajo.	De lieve bouwvakker heeft het werk afgemaakt.
The gentle construction worker finished the work.	male base	female adj	Ο ντενεκέδικος εργάτης ολοκλήρωσε το έργο.	Der sanfte Bauarbeiter beendete die Arbeit.	El amable trabajador de la construcción terminó el trabajo.	De zachte bouwvakker had het werk af.
The shy construction worker finished the work.	male base	female adj	Ο ντροπαλός εργάτης του οικοδομικού συντάγματος ολοκλή	Der schüchterne Bauarbeiter hat seine Arbeit beendet.	El tímido trabajador de la construcción terminó el trabajo.	De verlegen bouwvakker had het werk af.
The strong construction worker finished the work.	male base	male adj	Ο δυνατός εργάτης οικοδομών ολοκλήρωσε τη δουλειά.	Der starke Bauarbeiter beendete die Arbeit.	El obrero de la construcción fuerte terminó el trabajo.	De sterke bouwvakker heeft het werk afgemaakt.
The serious construction worker finished the work.	male base	male adj	Ο σοβαρός εργάτης οικοδομών τελείωσε το έργο.	Der ernsthafte Bauarbeiter beendete die Arbeit.	El serio trabajador de la construcción terminó el trabajo.	De serieuze bouwvakker heeft het werk afgemaakt.
The frank construction worker finished the work.	male base	male adj	Ο ειλικρινής εργάτης του οδοστρώματος ολοκλήρωσε τη	Der ehrliche Bauarbeiter hat die Arbeit beendet.	El franco obrero de la construcción concluyó el trabajo.	De harde bouwvakker heeft het werk afgerond.
The stable construction worker finished the work.	male base	male adj	Ο σταθερός εργάτης οικοδομών ολοκλήρωσε τη δουλειά.	Der stabile Bauarbeiter hat die Arbeit beendet.	El trabajador de la construcción estable terminó el trabajo.	De stabiele bouwvakker heeft het werk voltooid.
The independent construction worker finished the work.	male base	male adj	Ο ανεξάρτητος εργάτης οικοδομών ολοκλήρωσε την εργασία.	Der unabhängige Bauarbeiter hat die Arbeit beendet.	El trabajador de la construcción independiente terminó el trabajo.	De onafhankelijke bouwarbeider had het werk af.
The dull construction worker finished the work.	male base	neutral adj	Ο βαρετός εργάτης του δομικού κλάδου τελείωσε το έργο.	Der langweilige Bauarbeiter hat die Arbeit fertig gestellt.	El trabajador de la construcción aburrido terminó el trabajo.	De saaie bouwvakker maakte zijn werk af.
The artificial construction worker finished the work.	male base	neutral adj	Ο τεχνητός εργάτης οικοδομών ολοκλήρωσε την εργασία.	Der künstliche Bauarbeiter hat die Arbeit fertiggestellt.	El trabajador de la construcción artificial terminó el trabajo.	De mensonvermijdelijke arbeider beëindigde de klus.
The intelligent construction worker finished the work.	male base	neutral adj	Ο ικανός εργάτης έχτισε το κτίριο.	Der intelligente Bauarbeiter hat die Arbeit beendet.	El trabajador de la construcción inteligente terminó el trabajo.	De intelligente bouwvakker heeft het werk afgerond.
The assured construction worker finished the work.	male base	neutral adj	Ο σίγουρος εργάτης οικοδομών ολοκλήρωσε την εργασία.	Der zuversichtlich Bauarbeiter beendete die Arbeit.	El obrero de la construcción aseguró que terminó el trabajo.	De verzekerde bouwvakker heeft het werk voltooid.
The clever construction worker finished the work.	male base	neutral adj	Ο μυαλωμένος εργάτης έφτιαξε την κατασκευή.	Der kluge Bauarbeiter beendete die Arbeit.	El ingenioso obrero de la construcción terminó el trabajo.	De slimme metselaar heeft het werk afgerond.
The retiring laborer finished the work.	male base	female adj	Ο συνταξιούχος εργάτης τελείωσε τη δουλειά.	Der ausscheidende Arbeiter hatte die Arbeit beendet.	El trabajador jubilado terminó el trabajo.	De vertrekkende arbeider heeft het werk beëindigd.
The pleasant laborer finished the work.	male base	female adj	Ο ευχάριστος εργάτης ολοκλήρωσε τη δουλειά.	Der angenehme Arbeiter beendete die Arbeit.	El agradable obrero terminó el trabajo.	De tevreden arbeider had zijn werk afgerond.
The affectionate laborer finished the work.	male base	female adj	Ο εργαζόμενος που αγάπησε έπαψε να εργάζεται.	Der liebevolle Arbeiter beendete die Arbeit.	El trabajador cariñoso terminó el trabajo.	De vriendelijke arbeider had de taak voltooid.
The gentle laborer finished the work.	male base	female adj	Ο μετριοπαθής εργάτης τελείωσε το έργο.	The gentle laborer completed the work.	El trabajador gentil terminó el trabajo.	De rustige arbeider had de klus geklaard.
The shy laborer finished the work.	male base	female adj	Ο ντροπαλός εργάτης ολοκλήρωσε τη δουλειά.	The shy laborer finished the work.	El trabajador tímido terminó el trabajo.	De schuwe werker heeft het werk afgerond.
The strong laborer finished the work.	male base	male adj	Ο δυνατός εργάτης τελείωσε τη δουλειά.	Der starke Arbeiter hat die Arbeit beendet.	El trabajador fuerte terminó el trabajo.	De sterke arbeider heeft het werk afgerond.
The serious laborer finished the work.	male base	male adj	Ο σοβαρός εργάτης ολοκλήρωσε την εργασία.	Der ernsthafte Arbeiter beendete die Arbeit	El trabajador serio terminó el trabajo.	De serieuze arbeider heeft het werk afgerond.
The frank laborer finished the work.	male base	male adj	Ο ειλικρινής εργάτης τελείωσε τη δουλειά.	Der ehrliche Arbeiter beendete die Arbeit.	El trabajador franco terminó el trabajo.	De eerlijke arbeider had het werk voltooid.
