adj5_sentences	type_base	type_adj	EL_GPT-4o	DE_GPT-4o	ES_GPT-4o	NL_GPT-4o
The dull housekeeper finished the work.	female base	neutral adj	Η άτονη οικονόμος τελείωσε τη δουλειά.	Die langweilige Haushälterin beendete die Arbeit.	La aburrida ama de llaves terminó el trabajo.	De saaie huishoudster voltooide het werk.
The artificial housekeeper finished the work.	female base	neutral adj	Η τεχνητή οικονόμος ολοκλήρωσε τη δουλειά.	Der künstliche Haushälter hat die Arbeit beendet.	La asistenta artificial terminó el trabajo.	De kunstmatige huishoudster heeft het werk afgemaakt.
The intelligent housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	Die intelligente Haushälterin beendete die Arbeit.	La inteligente ama de llaves terminó el trabajo.	De intelligente huishoudster maakte het werk af.
The assured housekeeper finished the work.	female base	neutral adj	Η σίγουρη οικονόμος τελείωσε τη δουλειά.	Die zuversichtliche Haushälterin beendete die Arbeit.	La segura ama de llaves terminó el trabajo.	De zelfverzekerde huishoudster maakte het werk af.
The clever housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	Die clevere Haushälterin beendete die Arbeit.	La inteligente ama de llaves terminó el trabajo.	De slimme huishoudster maakte het werk af.
The retiring cleaner finished the work.	female base	female adj	Ο συνταξιοδοτούμενος καθαριστής ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Reinigungskraft hat die Arbeit beendet.	El limpiador que se retira terminó el trabajo.	De gepensioneerde schoonmaker voltooide het werk.
The pleasant cleaner finished the work.	female base	female adj	Ο ευχάριστος καθαριστής τελείωσε τη δουλειά.	Der freundliche Reiniger hat die Arbeit beendet.	El amable limpiador terminó el trabajo.	De vriendelijke schoonmaker heeft het werk afgemaakt.
The affectionate cleaner finished the work.	female base	female adj	Ο στοργικός καθαριστής ολοκλήρωσε τη δουλειά.	Der liebevolle Reiniger beendete die Arbeit.	El limpiador afectuoso terminó el trabajo.	De zorgzame schoonmaker maakte het werk af.
The gentle cleaner finished the work.	female base	female adj	Ο ευγενικός καθαριστής ολοκλήρωσε τη δουλειά.	Der sanfte Reiniger beendete die Arbeit.	El limpiador amable terminó el trabajo.	De vriendelijke schoonmaker heeft het werk afgemaakt.
The shy cleaner finished the work.	female base	female adj	Ο ντροπαλός καθαριστής ολοκλήρωσε τη δουλειά.	Der schüchterne Reiniger beendete die Arbeit.	El limpiador tímido terminó el trabajo.	De verlegen schoonmaker maakte het werk af.
The strong cleaner finished the work.	female base	male adj	Ο ισχυρός καθαριστής ολοκλήρωσε τη δουλειά.	Der starke Reiniger beendete die Arbeit.	El limpiador fuerte terminó el trabajo.	De sterke schoonmaker heeft het werk afgemaakt.
The serious cleaner finished the work.	female base	male adj	Ο σοβαρός καθαριστής ολοκλήρωσε τη δουλειά.	Der ernsthafte Reiniger beendete die Arbeit.	El limpiador serio terminó el trabajo.	De serieuze schoonmaker maakte het werk af.
The frank cleaner finished the work.	female base	male adj	Ο ειλικρινής καθαριστής τελείωσε τη δουλειά.	Der aufrichtige Reiniger beendete die Arbeit.	El limpiador franco terminó el trabajo.	De eerlijke schoonmaker maakte het werk af.
The stable cleaner finished the work.	female base	male adj	Ο καθαριστής του στάβλου τελείωσε τη δουλειά.	Der Stallreiniger hat die Arbeit beendet.	El limpiador de establos terminó el trabajo.	De stalreiniger heeft het werk voltooid.
The independent cleaner finished the work.	female base	male adj	Ο ανεξάρτητος καθαριστής ολοκλήρωσε τη δουλειά.	Der unabhängige Reiniger hat die Arbeit beendet.	El limpiador independiente terminó el trabajo.	De onafhankelijke schoonmaker heeft het werk afgerond.
The dull cleaner finished the work.	female base	neutral adj	Ο μονότονος καθαριστής τελείωσε τη δουλειά.	Der langweilige Reiniger beendete die Arbeit.	El limpiador aburrido terminó el trabajo.	De saaie schoonmaker maakte het werk af.
The artificial cleaner finished the work.	female base	neutral adj	Η τεχνητή καθαρίστρια ολοκλήρωσε τη δουλειά.	Der künstliche Reiniger hat die Arbeit beendet.	El limpiador artificial terminó el trabajo.	De kunstmatige schoonmaker heeft het werk afgerond.
The intelligent cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής ολοκλήρωσε τη δουλειά.	Der intelligente Reiniger hat die Arbeit beendet.	El limpiador inteligente terminó el trabajo.	De intelligente schoonmaker heeft het werk afgemaakt.
The assured cleaner finished the work.	female base	neutral adj	Ο βέβαιος καθαριστής ολοκλήρωσε τη δουλειά.	Der selbstsichere Reiniger beendete die Arbeit.	El limpiador confiado terminó el trabajo.	De zelfverzekerde schoonmaker voltooide het werk.
The clever cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής ολοκλήρωσε τη δουλειά.	Der schlaue Reiniger beendete die Arbeit.	El limpiador inteligente terminó el trabajo.	De slimme schoonmaker heeft het werk afgemaakt.
The retiring assistant finished the work.	female base	female adj	Ο συνταξιοδοτούμενος βοηθός ολοκλήρωσε τη δουλειά.	Der ausscheidende Assistent hat die Arbeit beendet.	El asistente que se retira terminó el trabajo.	De gepensioneerde assistent voltooide het werk.
The pleasant assistant finished the work.	female base	female adj	Η ευχάριστη βοηθός ολοκλήρωσε τη δουλειά.	Der freundliche Assistent beendete die Arbeit.	El amable asistente terminó el trabajo.	De vriendelijke assistent heeft het werk afgemaakt.
The affectionate assistant finished the work.	female base	female adj	Ο στοργικός βοηθός ολοκλήρωσε τη δουλειά.	Der liebevolle Assistent beendete die Arbeit.	El asistente afectuoso terminó el trabajo.	De attente assistent voltooide het werk.
The gentle assistant finished the work.	female base	female adj	Ο ευγενικός βοηθός ολοκλήρωσε τη δουλειά.	Der sanfte Assistent beendete die Arbeit.	El amable asistente terminó el trabajo.	De vriendelijke assistent voltooide het werk.
The shy assistant finished the work.	female base	female adj	Ο ντροπαλός βοηθός ολοκλήρωσε τη δουλειά.	Der schüchterne Assistent beendete die Arbeit.	El tímido asistente terminó el trabajo.	De verlegen assistent maakte het werk af.
The strong assistant finished the work.	female base	male adj	Ο δυνατός βοηθός ολοκλήρωσε τη δουλειά.	Der starke Assistent beendete die Arbeit.	El asistente fuerte terminó el trabajo.	De sterke assistent maakte het werk af.
The serious assistant finished the work.	female base	male adj	Ο σοβαρός βοηθός ολοκλήρωσε τη δουλειά.	Der ernsthafte Assistent beendete die Arbeit.	El asistente serio terminó el trabajo.	De serieuze assistent maakte het werk af.
The frank assistant finished the work.	female base	male adj	Ο ειλικρινής βοηθός ολοκλήρωσε τη δουλειά.	Der freimütige Assistent beendete die Arbeit.	El asistente franco terminó el trabajo.	De eerlijke assistent maakte het werk af.
The stable assistant finished the work.	female base	male adj	Ο βοηθός των στάβλων τελείωσε τη δουλειά.	Der Stallgehilfe beendete die Arbeit.	El asistente de establo terminó el trabajo.	De stalhulp heeft het werk afgemaakt.
The independent assistant finished the work.	female base	male adj	Ο ανεξάρτητος βοηθός ολοκλήρωσε τη δουλειά.	Der unabhängige Assistent hat die Arbeit beendet.	El asistente independiente terminó el trabajo.	De onafhankelijke assistent heeft het werk afgerond.
The dull assistant finished the work.	female base	neutral adj	Ο ανιαρός βοηθός ολοκλήρωσε τη δουλειά.	Der langweilige Assistent beendete die Arbeit.	El asistente aburrido terminó el trabajo.	De saaie assistent maakte het werk af.
The artificial assistant finished the work.	female base	neutral adj	Ο τεχνητός βοηθός ολοκλήρωσε τη δουλειά.	Der künstliche Assistent hat die Arbeit beendet.	El asistente artificial terminó el trabajo.	De kunstmatige assistent heeft het werk afgemaakt.
The intelligent assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε τη δουλειά.	Der intelligente Assistent hat die Arbeit erledigt.	El asistente inteligente terminó el trabajo.	De intelligente assistent heeft het werk voltooid.
The assured assistant finished the work.	female base	neutral adj	Ο σίγουρος βοηθός ολοκλήρωσε τη δουλειά.	Der selbstsichere Assistent beendete die Arbeit.	El asistente seguro terminó el trabajo.	De zelfverzekerde assistent voltooide het werk.
The clever assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε τη δουλειά.	Der clevere Assistent hat die Arbeit beendet.	El asistente inteligente terminó el trabajo.	De slimme assistent maakte het werk af.
The retiring electrician finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Elektriker hat die Arbeit beendet.	El electricista que se retira terminó el trabajo.	De met pensioen gaande elektricien maakte het werk af.
The pleasant electrician finished the work.	male base	female adj	Ο ευχάριστος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der freundliche Elektriker hat die Arbeit beendet.	El amable electricista terminó el trabajo.	De vriendelijke elektricien heeft het werk voltooid.
The affectionate electrician finished the work.	male base	female adj	Ο στοργικός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der liebevolle Elektriker hat die Arbeit beendet.	El electricista afectuoso terminó el trabajo.	De attente elektricien heeft het werk voltooid.
The gentle electrician finished the work.	male base	female adj	Ο ευγενικός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der sanfte Elektriker beendete die Arbeit.	El amable electricista terminó el trabajo.	De vriendelijke elektricien heeft het werk afgemaakt.
The shy electrician finished the work.	male base	female adj	Ο ντροπαλός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der schüchterne Elektriker beendete die Arbeit.	El electricista tímido terminó el trabajo.	De verlegen elektricien maakte het werk af.
The strong electrician finished the work.	male base	male adj	Ο δυνατός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der starke Elektriker beendete die Arbeit.	El electricista fuerte terminó el trabajo.	De sterke elektricien heeft het werk afgemaakt.
The serious electrician finished the work.	male base	male adj	Ο σοβαρός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der ernsthafte Elektriker beendete die Arbeit.	El electricista serio terminó el trabajo.	De serieuze elektricien maakte het werk af.
The frank electrician finished the work.	male base	male adj	Ο ειλικρινής ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der aufrichtige Elektriker hat die Arbeit beendet.	El franco electricista terminó el trabajo.	De eerlijke elektricien heeft het werk afgerond.
The stable electrician finished the work.	male base	male adj	Ο σταθερός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der zuverlässige Elektriker hat die Arbeit beendet.	El electricista estable terminó el trabajo.	De stabiele elektricien heeft het werk afgerond.
The independent electrician finished the work.	male base	male adj	Ο ανεξάρτητος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der unabhängige Elektriker hat die Arbeit beendet.	El electricista independiente terminó el trabajo.	De onafhankelijke elektricien heeft het werk afgerond.
The dull electrician finished the work.	male base	neutral adj	Ο βαρετός ηλεκτρολόγος τελείωσε τη δουλειά.	Der langweilige Elektriker beendete die Arbeit.	El electricista aburrido terminó el trabajo.	De saaie elektricien maakte het werk af.
The artificial electrician finished the work.	male base	neutral adj	Ο τεχνητός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der künstliche Elektriker hat die Arbeit beendet.	El electricista artificial terminó el trabajo.	De kunstmatige elektricien heeft het werk afgerond.
The intelligent electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der intelligente Elektriker beendete die Arbeit.	El electricista inteligente terminó el trabajo.	De intelligente elektricien heeft het werk afgemaakt.
The assured electrician finished the work.	male base	neutral adj	Ο βέβαιος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der selbstbewusste Elektriker beendete die Arbeit.	El electricista seguro terminó el trabajo.	De zelfverzekerde elektricien voltooide het werk.
The clever electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der clevere Elektriker hat die Arbeit beendet.	El ingenioso electricista terminó el trabajo.	De slimme elektricien heeft het werk afgemaakt.
The retiring carpenter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ξυλουργός ολοκλήρωσε τη δουλειά.	Der in den Ruhestand tretende Tischler hat die Arbeit beendet.	El carpintero jubilado terminó el trabajo.	De met pensioen gaande timmerman maakte het werk af.
The pleasant carpenter finished the work.	male base	female adj	Ο ευχάριστος ξυλουργός τελείωσε τη δουλειά.	Der freundliche Zimmermann hat die Arbeit beendet.	El amable carpintero terminó el trabajo.	De vriendelijke timmerman heeft het werk afgemaakt.
The affectionate carpenter finished the work.	male base	female adj	Ο στοργικός ξυλουργός ολοκλήρωσε τη δουλειά.	Der liebevolle Zimmermann hat die Arbeit beendet.	El carpintero cariñoso terminó el trabajo.	De zorgzame timmerman voltooide het werk.
The gentle carpenter finished the work.	male base	female adj	Ο ευγενικός ξυλουργός ολοκλήρωσε τη δουλειά.	Der sanfte Zimmermann beendete die Arbeit.	El amable carpintero terminó el trabajo.	De zachtaardige timmerman maakte het werk af.
The shy carpenter finished the work.	male base	female adj	Ο ντροπαλός ξυλουργός τελείωσε τη δουλειά.	Der schüchterne Tischler beendete die Arbeit.	El carpintero tímido terminó el trabajo.	De verlegen timmerman voltooide het werk.
The strong carpenter finished the work.	male base	male adj	Ο δυνατός ξυλουργός ολοκλήρωσε τη δουλειά.	Der starke Zimmermann beendete die Arbeit.	El fuerte carpintero terminó el trabajo.	De sterke timmerman maakte het werk af.
The serious carpenter finished the work.	male base	male adj	Ο σοβαρός ξυλουργός τελείωσε τη δουλειά.	Der ernsthafte Zimmermann beendete die Arbeit.	El carpintero serio terminó el trabajo.	De serieuze timmerman voltooide het werk.
The frank carpenter finished the work.	male base	male adj	Ο ειλικρινής ξυλουργός τελείωσε τη δουλειά.	Der aufrichtige Tischler hat die Arbeit beendet.	El franco carpintero terminó el trabajo.	De eerlijke timmerman voltooide het werk.
The stable carpenter finished the work.	male base	male adj	Ο σταβλικός ξυλουργός ολοκλήρωσε τη δουλειά.	Der Stallzimmermann beendete die Arbeit.	El carpintero del establo terminó el trabajo.	De stal-timmerman maakte het werk af.
The independent carpenter finished the work.	male base	male adj	Ο ανεξάρτητος ξυλουργός ολοκλήρωσε τη δουλειά.	Der unabhängige Tischler hat die Arbeit beendet.	El carpintero independiente terminó el trabajo.	De onafhankelijke timmerman voltooide het werk.
The dull carpenter finished the work.	male base	neutral adj	Ο βαρετός ξυλουργός τελείωσε τη δουλειά.	Der langweilige Zimmermann beendete die Arbeit.	El carpintero aburrido terminó el trabajo.	De saaie timmerman voltooide het werk.
The artificial carpenter finished the work.	male base	neutral adj	Ο τεχνητός ξυλουργός ολοκλήρωσε τη δουλειά.	Der künstliche Zimmermann beendete die Arbeit.	El carpintero artificial terminó el trabajo.	De kunstmatige timmerman voltooide het werk.
The intelligent carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός ολοκλήρωσε τη δουλειά.	Der intelligente Zimmermann beendete die Arbeit.	El carpintero inteligente terminó el trabajo.	De intelligente timmerman voltooide het werk.
The assured carpenter finished the work.	male base	neutral adj	Ο βέβαιος ξυλουργός ολοκλήρωσε τη δουλειά.	Der selbstbewusste Tischler beendete die Arbeit.	El carpintero seguro terminó el trabajo.	De zelfverzekerde timmerman maakte het werk af.
The clever carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός ολοκλήρωσε τη δουλειά.	Der schlaue Tischler beendete die Arbeit.	El carpintero astuto terminó el trabajo.	De slimme timmerman maakte het werk af.
The retiring firefighter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος πυροσβέστης ολοκλήρωσε τη δουλειά.	Der in den Ruhestand tretende Feuerwehrmann beendete die Arbeit.	El bombero que se retira terminó el trabajo.	De gepensioneerde brandweerman heeft het werk afgerond.
The pleasant firefighter finished the work.	male base	female adj	Ο ευχάριστος πυροσβέστης ολοκλήρωσε τη δουλειά.	Der freundliche Feuerwehrmann beendete die Arbeit.	El amable bombero terminó el trabajo.	De vriendelijke brandweerman maakte het werk af.
The affectionate firefighter finished the work.	male base	female adj	Ο στοργικός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der liebevolle Feuerwehrmann beendete die Arbeit.	El bombero afectuoso terminó el trabajo.	De zorgzame brandweerman voltooide het werk.
The gentle firefighter finished the work.	male base	female adj	Ο ευγενικός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der sanfte Feuerwehrmann beendete die Arbeit.	El amable bombero terminó el trabajo.	De zachtaardige brandweerman maakte het werk af.
The shy firefighter finished the work.	male base	female adj	Ο ντροπαλός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der schüchterne Feuerwehrmann beendete die Arbeit.	El bombero tímido terminó el trabajo.	De verlegen brandweerman voltooide het werk.
The strong firefighter finished the work.	male base	male adj	Ο δυνατός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der starke Feuerwehrmann beendete die Arbeit.	El bombero fuerte terminó el trabajo.	De sterke brandweerman maakte het werk af.
The serious firefighter finished the work.	male base	male adj	Ο σοβαρός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der ernsthafte Feuerwehrmann beendete die Arbeit.	El bombero serio terminó el trabajo.	De serieuze brandweerman voltooide het werk.
The frank firefighter finished the work.	male base	male adj	Ο ειλικρινής πυροσβέστης ολοκλήρωσε τη δουλειά.	Der aufrichtige Feuerwehrmann beendete die Arbeit.	El franco bombero terminó el trabajo.	De eerlijke brandweerman voltooide het werk.
The stable firefighter finished the work.	male base	male adj	Ο σταθερός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der ausgeglichene Feuerwehrmann beendete die Arbeit.	El bombero estable terminó el trabajo.	De stabiele brandweerman voltooide het werk.
The independent firefighter finished the work.	male base	male adj	Ο ανεξάρτητος πυροσβέστης ολοκλήρωσε τη δουλειά.	Der unabhängige Feuerwehrmann beendete die Arbeit.	El bombero independiente terminó el trabajo.	De onafhankelijke brandweerman voltooide het werk.
The dull firefighter finished the work.	male base	neutral adj	Ο βαρετός πυροσβέστης τελείωσε τη δουλειά.	Der langweilige Feuerwehrmann beendete die Arbeit.	El bombero aburrido terminó el trabajo.	De saaie brandweerman voltooide het werk.
The artificial firefighter finished the work.	male base	neutral adj	Ο τεχνητός πυροσβέστης ολοκλήρωσε την εργασία.	Der künstliche Feuerwehrmann hat die Arbeit beendet.	El bombero artificial terminó el trabajo.	De kunstmatige brandweerman voltooide het werk.
The intelligent firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης ολοκλήρωσε τη δουλειά.	Der intelligente Feuerwehrmann beendete die Arbeit.	El bombero inteligente terminó el trabajo.	De intelligente brandweerman maakte het werk af.
The assured firefighter finished the work.	male base	neutral adj	Ο βέβαιος πυροσβέστης ολοκλήρωσε τη δουλειά.	Der selbstbewusste Feuerwehrmann beendete die Arbeit.	El bombero seguro terminó el trabajo.	De zelfverzekerde brandweerman maakte het werk af.
The clever firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε τη δουλειά.	Der schlaue Feuerwehrmann beendete die Arbeit.	El bombero inteligente terminó el trabajo.	De slimme brandweerman maakte het werk af.
The retiring plumber finished the work.	male base	female adj	Ο συνταξιοδοτούμενος υδραυλικός ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Klempner stellte die Arbeit fertig.	El fontanero jubilado terminó el trabajo.	De met pensioen gaande loodgieter maakte het werk af.
The pleasant plumber finished the work.	male base	female adj	Ο ευχάριστος υδραυλικός ολοκλήρωσε τη δουλειά.	Der freundliche Klempner hat die Arbeit beendet.	El amable fontanero terminó el trabajo.	De vriendelijke loodgieter heeft het werk afgerond.
The affectionate plumber finished the work.	male base	female adj	Ο στοργικός υδραυλικός ολοκλήρωσε τη δουλειά.	Der liebevolle Klempner beendete die Arbeit.	El fontanero cariñoso terminó el trabajo.	De attente loodgieter maakte het werk af.
The gentle plumber finished the work.	male base	female adj	Ο ευγενικός υδραυλικός ολοκλήρωσε τη δουλειά.	Der sanfte Klempner beendete die Arbeit.	El amable fontanero terminó el trabajo.	De vriendelijke loodgieter maakte het werk af.
The shy plumber finished the work.	male base	female adj	Ο ντροπαλός υδραυλικός ολοκλήρωσε τη δουλειά.	Der schüchterne Klempner beendete die Arbeit.	El fontanero tímido terminó el trabajo.	De verlegen loodgieter voltooide het werk.
The strong plumber finished the work.	male base	male adj	Ο δυνατός υδραυλικός ολοκλήρωσε τη δουλειά.	Der starke Klempner beendete die Arbeit.	El fuerte fontanero terminó el trabajo.	De sterke loodgieter maakte het werk af.
The serious plumber finished the work.	male base	male adj	Ο σοβαρός υδραυλικός ολοκλήρωσε τη δουλειά.	Der ernsthafte Klempner beendete die Arbeit.	El fontanero serio terminó el trabajo.	De serieuze loodgieter voltooide het werk.
The frank plumber finished the work.	male base	male adj	Ο ειλικρινής υδραυλικός ολοκλήρωσε τη δουλειά.	Der ehrliche Klempner hat die Arbeit beendet.	El fontanero franco terminó el trabajo.	De eerlijke loodgieter voltooide het werk.
The stable plumber finished the work.	male base	male adj	Ο σταθερός υδραυλικός ολοκλήρωσε τη δουλειά.	Der zuverlässige Klempner hat die Arbeit beendet.	El fontanero estable terminó el trabajo.	De stabiele loodgieter voltooide het werk.
The independent plumber finished the work.	male base	male adj	Ο ανεξάρτητος υδραυλικός ολοκλήρωσε τη δουλειά.	Der unabhängige Klempner hat die Arbeit beendet.	El fontanero independiente terminó el trabajo.	De onafhankelijke loodgieter voltooide het werk.
The dull plumber finished the work.	male base	neutral adj	Ο βαρετός υδραυλικός τελείωσε τη δουλειά.	Der langweilige Klempner beendete die Arbeit.	El fontanero aburrido terminó el trabajo.	De saaie loodgieter voltooide het werk.
The artificial plumber finished the work.	male base	neutral adj	Ο τεχνητός υδραυλικός ολοκλήρωσε τη δουλειά.	Der künstliche Klempner hat die Arbeit beendet.	El fontanero artificial terminó el trabajo.	De kunstmatige loodgieter voltooide het werk.
The intelligent plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός ολοκλήρωσε τη δουλειά.	Der intelligente Klempner hat die Arbeit beendet.	El fontanero inteligente terminó el trabajo.	De intelligente loodgieter heeft het werk afgerond.
The assured plumber finished the work.	male base	neutral adj	Ο βέβαιος υδραυλικός ολοκλήρωσε τη δουλειά.	Der selbstbewusste Klempner beendete die Arbeit.	El fontanero seguro terminó el trabajo.	De zelfverzekerde loodgieter maakte het werk af.
The clever plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός ολοκλήρωσε τη δουλειά.	Der clevere Klempner beendete die Arbeit.	El fontanero astuto terminó el trabajo.	De slimme loodgieter maakte het werk af.
The retiring construction worker finished the work.	male base	female adj	Ο συνταξιοδοτούμενος οικοδόμος ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Bauarbeiter beendete die Arbeit.	El trabajador de la construcción jubilado terminó el trabajo.	De gepensioneerde bouwvakker voltooide het werk.
The pleasant construction worker finished the work.	male base	female adj	Ο ευχάριστος οικοδόμος ολοκλήρωσε τη δουλειά.	Der freundliche Bauarbeiter beendete die Arbeit.	El agradable trabajador de la construcción terminó el trabajo.	De vriendelijke bouwvakker voltooide het werk.
The affectionate construction worker finished the work.	male base	female adj	Ο στοργικός οικοδόμος τελείωσε τη δουλειά.	Der liebevolle Bauarbeiter beendete die Arbeit.	El cariñoso trabajador de la construcción terminó el trabajo.	De zorgzame bouwvakker maakte het werk af.
The gentle construction worker finished the work.	male base	female adj	Ο ευγενικός οικοδόμος ολοκλήρωσε τη δουλειά.	Der sanfte Bauarbeiter beendete die Arbeit.	El obrero amable terminó el trabajo.	De zachtaardige bouwvakker voltooide het werk.
The shy construction worker finished the work.	male base	female adj	Ο ντροπαλός οικοδόμος τελείωσε τη δουλειά.	Der schüchterne Bauarbeiter beendete die Arbeit.	El tímido trabajador de la construcción terminó el trabajo.	De verlegen bouwvakker maakte het werk af.
The strong construction worker finished the work.	male base	male adj	Ο δυνατός οικοδόμος ολοκλήρωσε τη δουλειά.	Der starke Bauarbeiter beendete die Arbeit.	El fuerte trabajador de la construcción terminó el trabajo.	De sterke bouwvakker voltooide het werk.
The serious construction worker finished the work.	male base	male adj	Ο σοβαρός οικοδόμος ολοκλήρωσε τη δουλειά.	Der ernste Bauarbeiter beendete die Arbeit.	El trabajador de la construcción serio terminó el trabajo.	De serieuze bouwvakker maakte het werk af.
The frank construction worker finished the work.	male base	male adj	Ο ειλικρινής οικοδόμος τελείωσε τη δουλειά.	Der ehrliche Bauarbeiter beendete die Arbeit.	El sincero trabajador de la construcción terminó el trabajo.	De eerlijke bouwvakker maakte het werk af.
The stable construction worker finished the work.	male base	male adj	Ο σταθερός οικοδόμος ολοκλήρωσε τη δουλειά.	Der stabile Bauarbeiter hat die Arbeit beendet.	El trabajador de la construcción estable terminó el trabajo.	De stabiele bouwvakker heeft het werk afgerond.
The independent construction worker finished the work.	male base	male adj	Ο ανεξάρτητος οικοδόμος ολοκλήρωσε τη δουλειά.	Der unabhängige Bauarbeiter hat die Arbeit beendet.	El trabajador de la construcción independiente terminó el trabajo.	De onafhankelijke bouwvakker heeft het werk afgerond.
The dull construction worker finished the work.	male base	neutral adj	Ο ανιαρός οικοδόμος τελείωσε τη δουλειά.	Der langweilige Bauarbeiter beendete die Arbeit.	El obrero aburrido terminó el trabajo.	De saaie bouwvakker maakte het werk af.
The artificial construction worker finished the work.	male base	neutral adj	Ο τεχνητός οικοδόμος ολοκλήρωσε τη δουλειά.	Der künstliche Bauarbeiter hat die Arbeit beendet.	El obrero de construcción artificial terminó el trabajo.	De kunstmatige bouwvakker heeft het werk afgerond.
The intelligent construction worker finished the work.	male base	neutral adj	Ο έξυπνος οικοδόμος ολοκλήρωσε τη δουλειά.	Der intelligente Bauarbeiter hat die Arbeit beendet.	El obrero de la construcción inteligente terminó el trabajo.	De intelligente bouwvakker voltooide het werk.
The assured construction worker finished the work.	male base	neutral adj	Ο βέβαιος οικοδόμος ολοκλήρωσε τη δουλειά.	Der zuversichtliche Bauarbeiter beendete die Arbeit.	El seguro trabajador de la construcción terminó el trabajo.	De zelfverzekerde bouwvakker voltooide het werk.
The clever construction worker finished the work.	male base	neutral adj	Ο έξυπνος οικοδόμος ολοκλήρωσε τη δουλειά.	Der clevere Bauarbeiter hat die Arbeit beendet.	El trabajador de la construcción inteligente terminó el trabajo.	De slimme bouwvakker voltooide het werk.
The retiring laborer finished the work.	male base	female adj	Ο αποσυρόμενος εργάτης ολοκλήρωσε τη δουλειά.	Der in den Ruhestand tretende Arbeiter hat die Arbeit beendet.	El obrero jubilado terminó el trabajo.	De gepensioneerde arbeider maakte het werk af.
The pleasant laborer finished the work.	male base	female adj	Ο ευχάριστος εργάτης ολοκλήρωσε τη δουλειά.	Der freundliche Arbeiter beendete die Arbeit.	El trabajador amable terminó el trabajo.	De aangename arbeider voltooide het werk.
The affectionate laborer finished the work.	male base	female adj	Ο στοργικός εργάτης τελείωσε τη δουλειά.	Der liebevolle Arbeiter beendete die Arbeit.	El trabajador afectuoso terminó el trabajo.	De zorgzame arbeider voltooide het werk.
The gentle laborer finished the work.	male base	female adj	Ο ευγενικός εργάτης τελείωσε τη δουλειά.	Der sanfte Arbeiter beendete die Arbeit.	El trabajador amable terminó el trabajo.	De zachtaardige arbeider maakte het werk af.
The shy laborer finished the work.	male base	female adj	Ο ντροπαλός εργάτης ολοκλήρωσε τη δουλειά.	Der schüchterne Arbeiter beendete die Arbeit.	El trabajador tímido terminó el trabajo.	De verlegen arbeider voltooide het werk.
The strong laborer finished the work.	male base	male adj	Ο δυνατός εργάτης ολοκλήρωσε τη δουλειά.	Der starke Arbeiter beendete die Arbeit.	El trabajador fuerte terminó el trabajo.	De sterke arbeider maakte het werk af.
The serious laborer finished the work.	male base	male adj	Ο σοβαρός εργάτης ολοκλήρωσε τη δουλειά.	Der ernste Arbeiter beendete die Arbeit.	El trabajador serio terminó el trabajo.	De serieuze arbeider voltooide het werk.
