adj5_sentences	type_base	type_adj	EL_GT	DE_GT	ES_GT	NL_GT
The dull housekeeper finished the work.	female base	neutral adj	Η θαμπή οικονόμος τελείωσε τη δουλειά.	Die langweilige Haushälterin hat die Arbeit beendet.	La ama de llaves aburrida terminó el trabajo.	De saaie huishoudster maakte het werk af.
The artificial housekeeper finished the work.	female base	neutral adj	Η τεχνητή οικονόμος τελείωσε τη δουλειά.	Die künstliche Haushälterin hat die Arbeit vollendet.	La ama de llaves artificial terminó el trabajo.	De kunstmatige huishoudster maakte het werk af.
The intelligent housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	Die kluge Haushälterin hat die Arbeit zu Ende gebracht.	La inteligente ama de llaves terminó el trabajo.	De intelligente huishoudster maakte het werk af.
The assured housekeeper finished the work.	female base	neutral adj	Η σίγουρη οικονόμος τελείωσε τη δουλειά.	Die versicherte Haushälterin hat die Arbeit erledigt.	La ama de llaves asegurada terminó el trabajo.	De verzekerde huishoudster maakte het werk af.
The clever housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	Die clevere Haushälterin hat die Arbeit vollendet.	La inteligente ama de llaves terminó el trabajo.	De slimme huishoudster maakte het werk af.
The retiring cleaner finished the work.	female base	female adj	Η συνταξιούχος καθαρίστρια τελείωσε τη δουλειά.	Die ausscheidende Reinigungskraft hat die Arbeit zu Ende geführt.	La limpiadora jubilada terminó el trabajo.	De schoonmaker die met pensioen ging, maakte het werk af.
The pleasant cleaner finished the work.	female base	female adj	Η ευχάριστη καθαρίστρια τελείωσε τη δουλειά.	Die nette Reinigungskraft hat die Arbeit zu Ende geführt.	La agradable limpiadora terminó el trabajo.	De vriendelijke schoonmaker maakte het werk af.
The affectionate cleaner finished the work.	female base	female adj	Η στοργική καθαρίστρια τελείωσε τη δουλειά.	Die liebevolle Putzfrau hat die Arbeit vollendet.	La cariñosa limpiadora terminó el trabajo.	De liefdevolle schoonmaker maakte het werk af.
The gentle cleaner finished the work.	female base	female adj	Η ευγενική καθαρίστρια τελείωσε τη δουλειά.	Der sanfte Reiniger vollendete die Arbeit.	El limpiador suave terminó el trabajo.	De milde reiniger maakte het werk af.
The shy cleaner finished the work.	female base	female adj	Η ντροπαλή καθαρίστρια τελείωσε τη δουλειά.	Die schüchterne Putzfrau hat die Arbeit beendet.	El tímido limpiador terminó el trabajo.	De verlegen schoonmaker maakte het werk af.
The strong cleaner finished the work.	female base	male adj	Η δυνατή καθαρίστρια τελείωσε τη δουλειά.	Der kraftvolle Reiniger vollendete die Arbeit.	El limpiador fuerte terminó el trabajo.	De sterke reiniger maakte het werk af.
The serious cleaner finished the work.	female base	male adj	Η σοβαρή καθαρίστρια τελείωσε τη δουλειά.	Der seriöse Reiniger hat die Arbeit vollendet.	El limpiador serio terminó el trabajo.	De serieuze schoonmaker maakte het werk af.
The frank cleaner finished the work.	female base	male adj	Η ειλικρινής καθαρίστρια τελείωσε τη δουλειά.	Der Frank Cleaner hat die Arbeit beendet.	El limpiador franco terminó el trabajo.	De schoonmaakster maakte het werk af.
The stable cleaner finished the work.	female base	male adj	Η στάβλος καθαρίστρια τελείωσε τη δουλειά.	Der Stallreiniger hat seine Arbeit beendet.	El limpiador del establo terminó el trabajo.	De stalreiniger maakte het werk af.
The independent cleaner finished the work.	female base	male adj	Η ανεξάρτητη καθαρίστρια τελείωσε τη δουλειά.	Die Arbeiten wurden durch die selbstständige Reinigungskraft ausgeführt.	La limpiadora independiente terminó el trabajo.	De zelfstandige schoonmaker heeft het werk afgemaakt.
The dull cleaner finished the work.	female base	neutral adj	Η θαμπή καθαρίστρια τελείωσε τη δουλειά.	Der stumpfe Reiniger vollendete die Arbeit.	El limpiador opaco terminó el trabajo.	De saaie reiniger maakte het werk af.
The artificial cleaner finished the work.	female base	neutral adj	Η τεχνητή καθαρίστρια τελείωσε τη δουλειά.	Der künstliche Reiniger hat sein Werk vollendet.	El limpiador artificial terminó el trabajo.	De kunstmatige reiniger maakte het werk af.
The intelligent cleaner finished the work.	female base	neutral adj	Η έξυπνη καθαρίστρια τελείωσε τη δουλειά.	Der intelligente Reiniger hat die Arbeit erledigt.	El limpiador inteligente terminó el trabajo.	De intelligente schoonmaker maakte het werk af.
The assured cleaner finished the work.	female base	neutral adj	Η σίγουρη καθαρίστρια τελείωσε τη δουλειά.	Die zugesagte Reinigungskraft hat die Arbeiten ausgeführt.	La limpiadora asegurada terminó el trabajo.	De verzekerde schoonmaker heeft het werk afgemaakt.
The clever cleaner finished the work.	female base	neutral adj	Η έξυπνη καθαρίστρια τελείωσε τη δουλειά.	Der clevere Reiniger hat die Arbeit vollendet.	El limpiador inteligente terminó el trabajo.	De slimme schoonmaker maakte het werk af.
The retiring assistant finished the work.	female base	female adj	Ο συνταξιούχος βοηθός τελείωσε τη δουλειά.	Der ausscheidende Assistent hat die Arbeit beendet.	El asistente saliente terminó el trabajo.	De vertrekkende assistent maakte het werk af.
The pleasant assistant finished the work.	female base	female adj	Ο ευχάριστος βοηθός τελείωσε τη δουλειά.	Die nette Assistentin hat die Arbeit zu Ende geführt.	La amable asistente terminó el trabajo.	De vriendelijke assistent maakte het werk af.
The affectionate assistant finished the work.	female base	female adj	Η στοργική βοηθός τελείωσε τη δουλειά.	Die liebevolle Assistentin hat die Arbeit zu Ende geführt.	El cariñoso ayudante terminó el trabajo.	De liefdevolle assistent maakte het werk af.
The gentle assistant finished the work.	female base	female adj	Ο ευγενικός βοηθός τελείωσε τη δουλειά.	Der freundliche Assistent beendete die Arbeit.	El amable ayudante terminó el trabajo.	De vriendelijke assistent maakte het werk af.
The shy assistant finished the work.	female base	female adj	Ο ντροπαλός βοηθός τελείωσε τη δουλειά.	Der schüchterne Assistent beendete die Arbeit.	El tímido asistente terminó el trabajo.	De verlegen assistent maakte het werk af.
The strong assistant finished the work.	female base	male adj	Ο δυνατός βοηθός τελείωσε τη δουλειά.	Der kräftige Assistent hat die Arbeit vollendet.	El fuerte asistente terminó el trabajo.	De sterke assistent maakte het werk af.
The serious assistant finished the work.	female base	male adj	Ο σοβαρός βοηθός τελείωσε τη δουλειά.	Der seriöse Assistent hat die Arbeit zu Ende gebracht.	El asistente serio terminó el trabajo.	De serieuze assistent maakte het werk af.
The frank assistant finished the work.	female base	male adj	Ο ειλικρινής βοηθός τελείωσε τη δουλειά.	Der offenherzige Assistent hat die Arbeit beendet.	El franco asistente terminó el trabajo.	De eerlijke assistent maakte het werk af.
The stable assistant finished the work.	female base	male adj	Ο σταθερός βοηθός τελείωσε τη δουλειά.	Der Stallgehilfe beendete die Arbeit.	El ayudante de cuadra terminó el trabajo.	De stalassistent maakte het werk af.
The independent assistant finished the work.	female base	male adj	Ο ανεξάρτητος βοηθός τελείωσε τη δουλειά.	Die Arbeit wurde durch den selbstständigen Assistenten zu Ende geführt.	El asistente independiente terminó el trabajo.	De zelfstandige assistent maakte het werk af.
The dull assistant finished the work.	female base	neutral adj	Ο βαρετός βοηθός τελείωσε τη δουλειά.	Der langweilige Assistent hat die Arbeit beendet.	El aburrido ayudante terminó el trabajo.	De saaie assistent maakte het werk af.
The artificial assistant finished the work.	female base	neutral adj	Ο τεχνητός βοηθός τελείωσε τη δουλειά.	Der künstliche Assistent hat die Arbeit zu Ende geführt.	El asistente artificial terminó el trabajo.	De kunstmatige assistent maakte het werk af.
The intelligent assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός τελείωσε τη δουλειά.	Der intelligente Assistent hat die Arbeit erledigt.	El asistente inteligente terminó el trabajo.	De intelligente assistent voltooide het werk.
The assured assistant finished the work.	female base	neutral adj	Ο σίγουρος βοηθός τελείωσε τη δουλειά.	Der zuverlässige Assistent hat die Arbeit zu Ende geführt.	El asistente asegurado terminó el trabajo.	De verzekerde assistent maakte het werk af.
The clever assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός τελείωσε τη δουλειά.	Der clevere Assistent hat die Arbeit vollendet.	El inteligente asistente terminó el trabajo.	De slimme assistent maakte het werk af.
The retiring electrician finished the work.	male base	female adj	Ο συνταξιούχος ηλεκτρολόγος τελείωσε τη δουλειά.	Der in den Ruhestand gehende Elektriker führte die Arbeiten zu Ende.	El electricista jubilado terminó el trabajo.	De elektricien die met pensioen ging, maakte het werk af.
The pleasant electrician finished the work.	male base	female adj	Ο ευχάριστος ηλεκτρολόγος τελείωσε τη δουλειά.	Der nette Elektriker hat die Arbeit erledigt.	El amable electricista terminó el trabajo.	De vriendelijke elektricien heeft het werk afgerond.
The affectionate electrician finished the work.	male base	female adj	Ο στοργικός ηλεκτρολόγος τελείωσε τη δουλειά.	Der liebevolle Elektriker hat die Arbeit zu Ende geführt.	El electricista cariñoso terminó el trabajo.	De liefdevolle elektricien maakte het werk af.
The gentle electrician finished the work.	male base	female adj	Ο ευγενικός ηλεκτρολόγος τελείωσε τη δουλειά.	Der freundliche Elektriker hat die Arbeit zu Ende geführt.	El amable electricista terminó el trabajo.	De vriendelijke elektricien maakte het werk af.
The shy electrician finished the work.	male base	female adj	Ο ντροπαλός ηλεκτρολόγος τελείωσε τη δουλειά.	Der schüchterne Elektriker beendete die Arbeit.	El electricista tímido terminó el trabajo.	De verlegen elektricien maakte het werk af.
The strong electrician finished the work.	male base	male adj	Ο δυνατός ηλεκτρολόγος τελείωσε τη δουλειά.	Der kräftige Elektriker hat die Arbeit zu Ende geführt.	El fuerte electricista terminó el trabajo.	De bekwame elektricien heeft het werk afgerond.
The serious electrician finished the work.	male base	male adj	Ο σοβαρός ηλεκτρολόγος τελείωσε τη δουλειά.	Der seriöse Elektriker hat die Arbeit erledigt.	El electricista serio terminó el trabajo.	De serieuze elektricien heeft het werk afgerond.
The frank electrician finished the work.	male base	male adj	Ο ειλικρινής ηλεκτρολόγος τελείωσε τη δουλειά.	Der Elektriker Frank hat die Arbeit beendet.	El electricista franco terminó el trabajo.	De eerlijke elektricien heeft het werk afgerond.
The stable electrician finished the work.	male base	male adj	Ο στάβλος ηλεκτρολόγος τελείωσε τη δουλειά.	Der Stallelektriker führte die Arbeiten aus.	El electricista del establo terminó el trabajo.	De stabiele elektricien heeft het werk afgerond.
The independent electrician finished the work.	male base	male adj	Ο ανεξάρτητος ηλεκτρολόγος τελείωσε τη δουλειά.	Die Arbeiten wurden durch einen unabhängigen Elektriker ausgeführt.	El electricista independiente terminó el trabajo.	De zelfstandige elektricien heeft het werk afgerond.
The dull electrician finished the work.	male base	neutral adj	Ο θαμπός ηλεκτρολόγος τελείωσε τη δουλειά.	Der langweilige Elektriker hat die Arbeit beendet.	El electricista aburrido terminó el trabajo.	De saaie elektricien maakte het werk af.
The artificial electrician finished the work.	male base	neutral adj	Ο τεχνητός ηλεκτρολόγος τελείωσε τη δουλειά.	Der künstliche Elektriker hat die Arbeit beendet.	El electricista artificial terminó el trabajo.	De kunstmatige elektricien heeft het werk afgerond.
The intelligent electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος τελείωσε τη δουλειά.	Der intelligente Elektriker hat die Arbeit beendet.	El electricista inteligente terminó el trabajo.	De intelligente elektricien voltooide het werk.
The assured electrician finished the work.	male base	neutral adj	Ο σίγουρος ηλεκτρολόγος τελείωσε τη δουλειά.	Der versicherte Elektriker hat die Arbeit erledigt.	El electricista asegurado terminó el trabajo.	De verzekerde elektricien heeft het werk afgerond.
The clever electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος τελείωσε τη δουλειά.	Der clevere Elektriker hat die Arbeit zu Ende geführt.	El electricista inteligente terminó el trabajo.	De slimme elektricien voltooide het werk.
The retiring carpenter finished the work.	male base	female adj	Ο συνταξιούχος μάστορας τελείωσε τη δουλειά.	Der in den Ruhestand gehende Zimmermann führte die Arbeiten zu Ende.	El carpintero jubilado terminó el trabajo.	De timmerman die met pensioen ging, maakte het werk af.
The pleasant carpenter finished the work.	male base	female adj	Ο ευχάριστος μάστορας τελείωσε τη δουλειά.	Der nette Schreiner hat die Arbeit zu Ende geführt.	El amable carpintero terminó el trabajo.	De vriendelijke timmerman maakte het werk af.
The affectionate carpenter finished the work.	male base	female adj	Ο στοργικός μάστορας τελείωσε τη δουλειά.	Der liebevolle Schreiner hat die Arbeit zu Ende geführt.	El cariñoso carpintero terminó el trabajo.	De liefdevolle timmerman maakte het werk af.
The gentle carpenter finished the work.	male base	female adj	Ο ευγενικός μάστορας τελείωσε τη δουλειά.	Der sanfte Zimmermann vollendete die Arbeit.	El amable carpintero terminó el trabajo.	De vriendelijke timmerman voltooide het werk.
The shy carpenter finished the work.	male base	female adj	Ο ντροπαλός μάστορας τελείωσε τη δουλειά.	Der schüchterne Zimmermann beendete die Arbeit.	El tímido carpintero terminó el trabajo.	De verlegen timmerman maakte het werk af.
The strong carpenter finished the work.	male base	male adj	Ο δυνατός μάστορας τελείωσε τη δουλειά.	Der kräftige Zimmermann vollendete die Arbeit.	El fuerte carpintero terminó el trabajo.	De sterke timmerman voltooide het werk.
The serious carpenter finished the work.	male base	male adj	Ο σοβαρός μάστορας τελείωσε τη δουλειά.	Der ernsthafte Zimmermann hat die Arbeit beendet.	El carpintero serio terminó el trabajo.	De serieuze timmerman maakte het werk af.
The frank carpenter finished the work.	male base	male adj	Ο ειλικρινής ξυλουργός τελείωσε τη δουλειά.	Der ehrliche Zimmermann hat die Arbeit vollendet.	El carpintero franco terminó el trabajo.	De eerlijke timmerman voltooide het werk.
The stable carpenter finished the work.	male base	male adj	Ο στάβλος μάστορας τελείωσε τη δουλειά.	Der Stallschreiner hat die Arbeiten zu Ende geführt.	El carpintero del establo terminó el trabajo.	De staltimmerman maakte het werk af.
The independent carpenter finished the work.	male base	male adj	Ο ανεξάρτητος μάστορας τελείωσε τη δουλειά.	Die Arbeiten wurden vom selbstständigen Schreiner ausgeführt.	El carpintero independiente terminó la obra.	De zelfstandige timmerman voltooide het werk.
The dull carpenter finished the work.	male base	neutral adj	Ο θαμπός μάστορας τελείωσε τη δουλειά.	Der langweilige Zimmermann beendete die Arbeit.	El carpintero aburrido terminó el trabajo.	De saaie timmerman maakte het werk af.
The artificial carpenter finished the work.	male base	neutral adj	Ο τεχνητός ξυλουργός τελείωσε τη δουλειά.	Der künstliche Tischler vollendete die Arbeit.	El carpintero artificial terminó el trabajo.	De kunstmatige timmerman maakte het werk af.
The intelligent carpenter finished the work.	male base	neutral adj	Ο ευφυής ξυλουργός τελείωσε τη δουλειά.	Der intelligente Zimmermann vollendete die Arbeit.	El carpintero inteligente terminó el trabajo.	De intelligente timmerman voltooide het werk.
The assured carpenter finished the work.	male base	neutral adj	Ο σίγουρος ξυλουργός τελείωσε τη δουλειά.	Der erfahrene Schreiner führte die Arbeiten zu Ende.	El carpintero confiado terminó el trabajo.	De zelfverzekerde timmerman voltooide het werk.
The clever carpenter finished the work.	male base	neutral adj	Ο έξυπνος μάστορας τελείωσε τη δουλειά.	Der geschickte Zimmermann vollendete die Arbeit.	El hábil carpintero terminó el trabajo.	De bekwame timmerman voltooide het werk.
The retiring firefighter finished the work.	male base	female adj	Ο απόστρατος πυροσβέστης ολοκλήρωσε το έργο.	Der Feuerwehrmann, der in den Ruhestand geht, beendete die Arbeit.	El bombero jubilado terminó el trabajo.	De afscheidnemende brandweerman maakte het werk af.
The pleasant firefighter finished the work.	male base	female adj	Ο ευχάριστος πυροσβέστης τελείωσε το έργο.	Der nette Feuerwehrmann hat die Arbeit zu Ende geführt.	El amable bombero terminó el trabajo.	De vriendelijke brandweerman maakte het werk af.
The affectionate firefighter finished the work.	male base	female adj	Ο στοργικός πυροσβέστης τελείωσε το έργο.	Der liebevolle Feuerwehrmann vollendete die Arbeit.	El cariñoso bombero terminó el trabajo.	De liefdevolle brandweerman maakte het werk af.
The gentle firefighter finished the work.	male base	female adj	Ο ευγενικός πυροσβέστης τελείωσε το έργο.	Der sanfte Feuerwehrmann vollendete die Arbeit.	El amable bombero terminó el trabajo.	De vriendelijke brandweerman maakte het werk af.
The shy firefighter finished the work.	male base	female adj	Ο ντροπαλός πυροσβέστης τελείωσε τη δουλειά.	Der schüchterne Feuerwehrmann beendete die Arbeit.	El tímido bombero terminó el trabajo.	De verlegen brandweerman maakte het werk af.
The strong firefighter finished the work.	male base	male adj	Ο ισχυρός πυροσβέστης ολοκλήρωσε το έργο.	Der starke Feuerwehrmann hat die Arbeit zu Ende gebracht.	El fuerte bombero terminó el trabajo.	De sterke brandweerman voltooide het werk.
The serious firefighter finished the work.	male base	male adj	Ο σοβαρός πυροσβέστης τελείωσε το έργο.	Der ernsthafte Feuerwehrmann hat die Arbeit beendet.	El bombero serio terminó el trabajo.	De serieuze brandweerman voltooide het werk.
The frank firefighter finished the work.	male base	male adj	Ο ειλικρινής πυροσβέστης τελείωσε το έργο.	Der Feuerwehrmann hat die Arbeit zu Ende gebracht.	El bombero franco terminó el trabajo.	De eerlijke brandweerman voltooide het werk.
The stable firefighter finished the work.	male base	male adj	Ο στάβλος πυροσβέστης ολοκλήρωσε το έργο.	Die Stallfeuerwehr hat ihre Arbeit zu Ende geführt.	El bombero de cuadra terminó el trabajo.	De stalbrandweerman voltooide het werk.
The independent firefighter finished the work.	male base	male adj	Ο ανεξάρτητος πυροσβέστης ολοκλήρωσε το έργο.	Der freie Feuerwehrmann führte die Arbeiten zu Ende.	El bombero independiente finalizó la obra.	De zelfstandige brandweerman voltooide het werk.
The dull firefighter finished the work.	male base	neutral adj	Ο θαμπός πυροσβέστης τελείωσε τη δουλειά.	Der stumpfsinnige Feuerwehrmann vollendete die Arbeit.	El bombero aburrido terminó el trabajo.	De saaie brandweerman maakte het werk af.
The artificial firefighter finished the work.	male base	neutral adj	Ο τεχνητός πυροσβέστης τελείωσε το έργο.	Der künstliche Feuerwehrmann vollendete seine Arbeit.	El bombero artificial terminó el trabajo.	De kunstmatige brandweerman maakte het werk af.
The intelligent firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης ολοκλήρωσε το έργο.	Der intelligente Feuerwehrmann hat die Arbeit beendet.	El inteligente bombero terminó el trabajo.	De intelligente brandweerman voltooide het werk.
The assured firefighter finished the work.	male base	neutral adj	Ο διαβεβαιωμένος πυροσβέστης ολοκλήρωσε το έργο.	Der zuversichtliche Feuerwehrmann beendete die Arbeit.	El bombero asegurado terminó el trabajo.	De zelfverzekerde brandweerman voltooide het werk.
The clever firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε το έργο.	Der clevere Feuerwehrmann hat die Arbeit zu Ende gebracht.	El inteligente bombero terminó el trabajo.	De slimme brandweerman voltooide het werk.
The retiring plumber finished the work.	male base	female adj	Ο συνταξιούχος υδραυλικός τελείωσε τη δουλειά.	Der Klempner, der in den Ruhestand ging, führte die Arbeit zu Ende.	El fontanero jubilado terminó el trabajo.	De loodgieter die met pensioen ging, maakte het werk af.
The pleasant plumber finished the work.	male base	female adj	Ο ευχάριστος υδραυλικός τελείωσε τη δουλειά.	Der nette Klempner hat die Arbeit zu Ende geführt.	El amable fontanero terminó el trabajo.	De vriendelijke loodgieter maakte het werk af.
The affectionate plumber finished the work.	male base	female adj	Ο στοργικός υδραυλικός τελείωσε τη δουλειά.	Der liebevolle Klempner hat die Arbeit beendet.	El cariñoso fontanero terminó el trabajo.	De liefdevolle loodgieter maakte het werk af.
The gentle plumber finished the work.	male base	female adj	Ο ευγενικός υδραυλικός τελείωσε τη δουλειά.	Der freundliche Klempner beendete die Arbeit.	El amable fontanero terminó el trabajo.	De vriendelijke loodgieter maakte het werk af.
The shy plumber finished the work.	male base	female adj	Ο ντροπαλός υδραυλικός τελείωσε τη δουλειά.	Der schüchterne Klempner beendete die Arbeit.	El fontanero tímido terminó el trabajo.	De verlegen loodgieter maakte het werk af.
The strong plumber finished the work.	male base	male adj	Ο δυνατός υδραυλικός τελείωσε τη δουλειά.	Der kräftige Klempner hat die Arbeit zu Ende geführt.	El fontanero fuerte terminó el trabajo.	De goede loodgieter heeft het werk afgemaakt.
The serious plumber finished the work.	male base	male adj	Ο σοβαρός υδραυλικός τελείωσε τη δουλειά.	Der seriöse Klempner hat die Arbeit beendet.	El fontanero serio terminó el trabajo.	De serieuze loodgieter heeft het werk afgemaakt.
The frank plumber finished the work.	male base	male adj	Ο ειλικρινής υδραυλικός τελείωσε τη δουλειά.	Der offene Klempner hat die Arbeit beendet.	El fontanero franco terminó el trabajo.	De eerlijke loodgieter maakte het werk af.
The stable plumber finished the work.	male base	male adj	Ο στάβλος υδραυλικός τελείωσε τη δουλειά.	Der Stallklempner hat die Arbeiten zu Ende geführt.	El fontanero del establo terminó el trabajo.	De loodgieter van de stal heeft het werk afgerond.
The independent plumber finished the work.	male base	male adj	Ο ανεξάρτητος υδραυλικός τελείωσε τη δουλειά.	Die Arbeiten wurden vom selbstständigen Klempner ausgeführt.	El fontanero independiente terminó el trabajo.	De zelfstandige loodgieter heeft het werk afgerond.
The dull plumber finished the work.	male base	neutral adj	Ο θαμπός υδραυλικός τελείωσε τη δουλειά.	Der langweilige Klempner hat die Arbeit beendet.	El fontanero aburrido terminó el trabajo.	De saaie loodgieter maakte het werk af.
The artificial plumber finished the work.	male base	neutral adj	Ο τεχνητός υδραυλικός τελείωσε τη δουλειά.	Der künstliche Klempner hat die Arbeit beendet.	El fontanero artificial terminó el trabajo.	De kunstmatige loodgieter maakte het werk af.
The intelligent plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	Der intelligente Klempner hat die Arbeit beendet.	El fontanero inteligente terminó el trabajo.	De intelligente loodgieter voltooide het werk.
The assured plumber finished the work.	male base	neutral adj	Ο σίγουρος υδραυλικός τελείωσε τη δουλειά.	Der erfahrene Klempner hat die Arbeit zu Ende geführt.	El fontanero asegurado terminó el trabajo.	De verzekerde loodgieter heeft het werk afgerond.
The clever plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	Der clevere Klempner hat die Arbeit beendet.	El hábil fontanero terminó el trabajo.	De slimme loodgieter voltooide het werk.
The retiring construction worker finished the work.	male base	female adj	Ο συνταξιούχος εργάτης οικοδομής τελείωσε τις εργασίες.	Der in den Ruhestand gehende Bauarbeiter führte die Arbeiten zu Ende.	El obrero jubilado terminó la obra.	De bouwvakker die met pensioen ging, maakte het werk af.
The pleasant construction worker finished the work.	male base	female adj	Ο ευχάριστος οικοδόμος τελείωσε τη δουλειά.	Der nette Bauarbeiter hat die Arbeiten zu Ende geführt.	El agradable trabajador de la construcción terminó el trabajo.	De vriendelijke bouwvakker voltooide het werk.
The affectionate construction worker finished the work.	male base	female adj	Ο στοργικός εργάτης οικοδομών τελείωσε τη δουλειά.	Der liebevolle Bauarbeiter hat die Arbeit zu Ende geführt.	El cariñoso trabajador de la construcción terminó el trabajo.	De liefdevolle bouwvakker maakte het werk af.
The gentle construction worker finished the work.	male base	female adj	Ο ευγενικός εργάτης ολοκλήρωσε τη δουλειά.	Der sanfte Bauarbeiter hat die Arbeit vollendet.	El amable trabajador de la construcción terminó el trabajo.	De vriendelijke bouwvakker voltooide het werk.
The shy construction worker finished the work.	male base	female adj	Ο ντροπαλός εργάτης ολοκλήρωσε τη δουλειά.	Der schüchterne Bauarbeiter beendete die Arbeit.	El tímido trabajador de la construcción terminó el trabajo.	De verlegen bouwvakker maakte het werk af.
The strong construction worker finished the work.	male base	male adj	Ο δυνατός εργάτης οικοδομής τελείωσε τη δουλειά.	Der kräftige Bauarbeiter vollendete die Arbeit.	El fuerte obrero terminó el trabajo.	De sterke bouwvakker voltooide het werk.
The serious construction worker finished the work.	male base	male adj	Ο σοβαρός οικοδόμος τελείωσε τη δουλειά.	Der ernsthafte Bauarbeiter hat die Arbeit beendet.	El trabajador de la construcción serio terminó el trabajo.	De serieuze bouwvakker maakte het werk af.
The frank construction worker finished the work.	male base	male adj	Ο ειλικρινής εργάτης ολοκλήρωσε τη δουλειά.	Der freundliche Bauarbeiter hat die Arbeit zu Ende geführt.	El franco obrero terminó la obra.	De eerlijke bouwvakker voltooide het werk.
The stable construction worker finished the work.	male base	male adj	Ο εργάτης του στάβλου τελείωσε τις εργασίες.	Der Stallbauarbeiter hat die Arbeiten beendet.	El obrero de la construcción del establo terminó el trabajo.	De stalbouwer heeft het werk afgerond.
The independent construction worker finished the work.	male base	male adj	Ο ανεξάρτητος οικοδόμος τελείωσε τις εργασίες.	Die Arbeiten wurden durch den selbstständigen Bauunternehmer zu Ende geführt.	El obrero independiente de la construcción terminó la obra.	De zelfstandige bouwvakker heeft het werk afgerond.
The dull construction worker finished the work.	male base	neutral adj	Ο βαρετός εργάτης ολοκλήρωσε τη δουλειά.	Der langweilige Bauarbeiter beendete die Arbeit.	El aburrido trabajador de la construcción terminó el trabajo.	De saaie bouwvakker maakte het werk af.
The artificial construction worker finished the work.	male base	neutral adj	Ο τεχνητός εργάτης ολοκλήρωσε τη δουλειά.	Der künstliche Bauarbeiter hat die Arbeit vollendet.	El obrero artificial terminó el trabajo.	De kunstmatige bouwvakker maakte het werk af.
The intelligent construction worker finished the work.	male base	neutral adj	Ο έξυπνος εργάτης ολοκλήρωσε τη δουλειά.	Der intelligente Bauarbeiter hat die Arbeit beendet.	El inteligente trabajador de la construcción terminó el trabajo.	De intelligente bouwvakker voltooide het werk.
The assured construction worker finished the work.	male base	neutral adj	Ο σίγουρος εργάτης ολοκλήρωσε τις εργασίες.	Der versicherte Bauarbeiter hat die Arbeiten zu Ende geführt.	El obrero asegurado terminó el trabajo.	De zelfverzekerde bouwvakker voltooide het werk.
The clever construction worker finished the work.	male base	neutral adj	Ο έξυπνος εργάτης ολοκλήρωσε τη δουλειά.	Der clevere Bauarbeiter hat die Arbeit zu Ende geführt.	El inteligente trabajador de la construcción terminó el trabajo.	De slimme bouwvakker voltooide het werk.
The retiring laborer finished the work.	male base	female adj	Ο συνταξιούχος εργάτης τελείωσε τη δουλειά.	Der in den Ruhestand gehende Arbeiter beendete die Arbeit.	El obrero jubilado terminó el trabajo.	De arbeider die met pensioen ging, maakte het werk af.
The pleasant laborer finished the work.	male base	female adj	Ο ευχάριστος εργάτης τελείωσε τη δουλειά.	Der nette Arbeiter hat die Arbeit beendet.	El agradable trabajador terminó el trabajo.	De vriendelijke arbeider voltooide het werk.
The affectionate laborer finished the work.	male base	female adj	Ο στοργικός εργάτης τελείωσε τη δουλειά.	Der liebevolle Arbeiter hat die Arbeit beendet.	El trabajador cariñoso terminó el trabajo.	De liefdevolle arbeider voltooide het werk.
The gentle laborer finished the work.	male base	female adj	Ο ευγενικός εργάτης τελείωσε τη δουλειά.	Der sanfte Arbeiter hat die Arbeit beendet.	El gentil trabajador terminó el trabajo.	De vriendelijke arbeider voltooide het werk.
The shy laborer finished the work.	male base	female adj	Ο ντροπαλός εργάτης τελείωσε τη δουλειά.	Der schüchterne Arbeiter beendete die Arbeit.	El trabajador tímido terminó el trabajo.	De verlegen arbeider maakte het werk af.
The strong laborer finished the work.	male base	male adj	Ο δυνατός εργάτης τελείωσε τη δουλειά.	Der starke Arbeiter hat die Arbeit beendet.	El obrero fuerte terminó el trabajo.	De sterke arbeider voltooide het werk.
The serious laborer finished the work.	male base	male adj	Ο σοβαρός εργάτης τελείωσε τη δουλειά.	Der ernsthafte Arbeiter hat die Arbeit beendet.	El trabajador serio terminó el trabajo.	De serieuze arbeider voltooide het werk.
The frank laborer finished the work.	male base	male adj	Ο ειλικρινής εργάτης τελείωσε τη δουλειά.	Der ehrliche Arbeiter hat die Arbeit beendet.	El obrero franco terminó el trabajo.	De eerlijke arbeider voltooide het werk.
