adj5_sentences	type_base	type_adj	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
The assured housekeeper finished the work.	female base	neutral adj	Η σίγουρη οικονόμος τελείωσε τη δουλειά.	Die versicherte Haushälterin beendete die Arbeit.	El seguro ama de llaves terminó el trabajo.	De verzekerde huishoudster maakte het werk af.
The clever housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	Die kluge Haushälterin beendete die Arbeit.	La inteligente ama de llaves terminó el trabajo.	De slimme huishoudster maakte het werk af.
The retiring cleaner finished the work.	female base	female adj	Η καθαρίστρια που αποσύρθηκε τελείωσε τη δουλειά.	Die scheidende Reinigungskraft beendete die Arbeit.	El limpiador jubilado terminó el trabajo.	De schoonmaakster met pensioen maakte het werk af.
The pleasant cleaner finished the work.	female base	female adj	Η ευχάριστη καθαρίστρια τελείωσε τη δουλειά.	Die angenehme Reinigungskraft beendete die Arbeit.	La agradable limpiadora terminó el trabajo.	De aangename schoonmaakster maakte het werk af.
The affectionate cleaner finished the work.	female base	female adj	Η στοργική καθαρίστρια τελείωσε τη δουλειά.	Die liebevolle Putzfrau beendete die Arbeit.	La afectuosa limpiadora terminó el trabajo.	De liefdevolle schoonmaakster maakte het werk af.
The gentle cleaner finished the work.	female base	female adj	Το απαλό καθαριστικό τελείωσε τη δουλειά.	Der sanfte Reiniger beendete die Arbeit.	El limpiador suave terminó el trabajo.	De zachte reiniger maakte het werk af.
The shy cleaner finished the work.	female base	female adj	Η ντροπαλή καθαρίστρια τελείωσε τη δουλειά.	Die schüchterne Putzfrau beendete die Arbeit.	El tímido limpiador terminó el trabajo.	De verlegen schoonmaakster maakte het werk af.
The strong cleaner finished the work.	female base	male adj	Ο ισχυρός καθαριστής τελείωσε τη δουλειά.	Der starke Reiniger beendete die Arbeit.	El fuerte limpiador terminó el trabajo.	De sterke reiniger maakte het werk af.
The serious cleaner finished the work.	female base	male adj	Η σοβαρή καθαρίστρια τελείωσε τη δουλειά.	Die seriöse Reinigungskraft beendete die Arbeit.	El limpiador serio terminó el trabajo.	De serieuze schoonmaker maakte het werk af.
The frank cleaner finished the work.	female base	male adj	Ο καθαριστής Frank ολοκλήρωσε τη δουλειά.	Die Putzfrau hat die Arbeit beendet.	El limpiador franco terminó el trabajo.	De openhartige schoonmaker maakte het werk af.
The stable cleaner finished the work.	female base	male adj	Η καθαρίστρια του στάβλου τελείωσε τη δουλειά.	Der Stallreiniger hat die Arbeit beendet.	El limpiador de establos terminó el trabajo.	De stalreiniger maakte het werk af.
The independent cleaner finished the work.	female base	male adj	Η ανεξάρτητη καθαρίστρια ολοκλήρωσε την εργασία.	Die unabhängige Reinigungskraft hat die Arbeit beendet.	El limpiador independiente terminó el trabajo.	De onafhankelijke schoonmaker maakte het werk af.
The dull cleaner finished the work.	female base	neutral adj	Το θαμπό καθαριστικό τελείωσε τη δουλειά.	Der stumpfe Reiniger beendete die Arbeit.	El limpiador mate terminó el trabajo.	De doffe reiniger maakte het werk af.
The artificial cleaner finished the work.	female base	neutral adj	Ο τεχνητός καθαριστής ολοκλήρωσε τη δουλειά.	Der künstliche Reiniger hat die Arbeit beendet.	El limpiador artificial terminó el trabajo.	De kunstmatige reiniger maakte het werk af.
The intelligent cleaner finished the work.	female base	neutral adj	Η έξυπνη καθαρίστρια ολοκλήρωσε τη δουλειά.	Die intelligente Reinigungskraft hat die Arbeit beendet.	El limpiador inteligente terminó el trabajo.	De intelligente schoonmaker maakte het werk af.
The assured cleaner finished the work.	female base	neutral adj	Ο σίγουρος καθαριστής ολοκλήρωσε τη δουλειά.	Die versicherte Reinigungskraft beendete die Arbeit.	El limpiador asegurado terminó el trabajo.	De verzekerde schoonmaker maakte het werk af.
The clever cleaner finished the work.	female base	neutral adj	Ο έξυπνος καθαριστής τελείωσε τη δουλειά.	Die clevere Reinigungskraft beendete die Arbeit.	El astuto limpiador terminó el trabajo.	De slimme schoonmaker maakte het werk af.
The retiring assistant finished the work.	female base	female adj	Ο συνταξιοδοτούμενος βοηθός ολοκλήρωσε τη δουλειά.	Der scheidende Assistent beendete die Arbeit.	El asistente que se jubilaba terminó el trabajo.	De aftredende assistent maakte het werk af.
The pleasant assistant finished the work.	female base	female adj	Ο ευχάριστος βοηθός τελείωσε τη δουλειά.	Die angenehme Assistentin beendete die Arbeit.	El agradable ayudante terminó el trabajo.	De aangename assistente maakte het werk af.
The affectionate assistant finished the work.	female base	female adj	Ο στοργικός βοηθός τελείωσε τη δουλειά.	Die liebevolle Assistentin beendete die Arbeit.	El afectuoso ayudante terminó el trabajo.	De liefhebbende assistent maakte het werk af.
The gentle assistant finished the work.	female base	female adj	Ο ευγενικός βοηθός ολοκλήρωσε τη δουλειά.	Der freundliche Assistent beendete die Arbeit.	El amable ayudante terminó el trabajo.	De vriendelijke assistente maakte het werk af.
The shy assistant finished the work.	female base	female adj	Ο ντροπαλός βοηθός τελείωσε τη δουλειά.	Der schüchterne Assistent beendete die Arbeit.	El tímido ayudante terminó el trabajo.	De verlegen assistente maakte het werk af.
The strong assistant finished the work.	female base	male adj	Ο ισχυρός βοηθός ολοκλήρωσε τη δουλειά.	Der starke Assistent beendete die Arbeit.	El fornido ayudante terminó el trabajo.	De sterke assistent maakte het werk af.
The serious assistant finished the work.	female base	male adj	Ο σοβαρός βοηθός ολοκλήρωσε τη δουλειά.	Der seriöse Assistent beendete die Arbeit.	El serio ayudante terminó el trabajo.	De serieuze assistent maakte het werk af.
The frank assistant finished the work.	female base	male adj	Ο ειλικρινής βοηθός ολοκλήρωσε τη δουλειά.	Der freie Mitarbeiter beendete die Arbeit.	El asistente franco terminó el trabajo.	De openhartige assistent maakte het werk af.
The stable assistant finished the work.	female base	male adj	Ο βοηθός του στάβλου τελείωσε τη δουλειά.	Der Stallknecht beendete die Arbeit.	El mozo de cuadra terminó el trabajo.	De stalassistent maakte het werk af.
The independent assistant finished the work.	female base	male adj	Ο ανεξάρτητος βοηθός ολοκλήρωσε την εργασία.	Der unabhängige Mitarbeiter beendete die Arbeit.	El asistente independiente terminó el trabajo.	De onafhankelijke assistent maakte het werk af.
The dull assistant finished the work.	female base	neutral adj	Ο βαρετός βοηθός τελείωσε τη δουλειά.	Der langweilige Assistent beendete die Arbeit.	El aburrido ayudante terminó el trabajo.	De saaie assistent maakte het werk af.
The artificial assistant finished the work.	female base	neutral adj	Ο τεχνητός βοηθός ολοκλήρωσε το έργο.	Der künstliche Assistent beendete die Arbeit.	El asistente artificial terminó el trabajo.	De kunstmatige assistent maakte het werk af.
The intelligent assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε τη δουλειά.	Der intelligente Assistent beendete die Arbeit.	El asistente inteligente terminó el trabajo.	De intelligente assistent maakte het werk af.
The assured assistant finished the work.	female base	neutral adj	Ο σίγουρος βοηθός ολοκλήρωσε τη δουλειά.	Der versicherte Assistent beendete die Arbeit.	El asistente asegurado terminó el trabajo.	De verzekerde assistent maakte het werk af.
The clever assistant finished the work.	female base	neutral adj	Ο έξυπνος βοηθός ολοκλήρωσε τη δουλειά.	Der kluge Assistent beendete die Arbeit.	El inteligente ayudante terminó el trabajo.	De slimme assistent maakte het werk af.
The retiring electrician finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	Der pensionierte Elektriker beendete die Arbeit.	El electricista jubilado terminó el trabajo.	De aftredende elektricien maakte het werk af.
The pleasant electrician finished the work.	male base	female adj	Ο ευχάριστος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der nette Elektriker hat die Arbeit beendet.	El agradable electricista terminó el trabajo.	De vriendelijke elektricien heeft het werk afgemaakt.
The affectionate electrician finished the work.	male base	female adj	Ο στοργικός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der sympathische Elektriker beendete die Arbeit.	El afectuoso electricista terminó el trabajo.	De aanhankelijke elektricien maakte het werk af.
The gentle electrician finished the work.	male base	female adj	Ο ευγενικός ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der freundliche Elektriker beendete die Arbeit.	El amable electricista terminó el trabajo.	De vriendelijke elektricien maakte het werk af.
The shy electrician finished the work.	male base	female adj	Ο ντροπαλός ηλεκτρολόγος τελείωσε τη δουλειά.	Der schüchterne Elektriker hat die Arbeit beendet.	El tímido electricista terminó el trabajo.	De verlegen elektricien maakte het werk af.
The strong electrician finished the work.	male base	male adj	Ο ισχυρός ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	Der starke Elektriker beendete die Arbeit.	El electricista fuerte terminó el trabajo.	De sterke elektricien maakte het werk af.
The serious electrician finished the work.	male base	male adj	Ο σοβαρός ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	Der seriöse Elektriker hat die Arbeit beendet.	El electricista serio terminó el trabajo.	De serieuze elektricien maakte het werk af.
The frank electrician finished the work.	male base	male adj	Ο ειλικρινής ηλεκτρολόγος ολοκλήρωσε το έργο.	Der Elektriker von Frank hat die Arbeit beendet.	El electricista franco terminó el trabajo.	De openhartige elektricien heeft het werk afgemaakt.
The stable electrician finished the work.	male base	male adj	Ο σταθερός ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	Der Stallelektriker hat die Arbeit beendet.	El electricista del establo terminó el trabajo.	De stalelektricien heeft het werk afgemaakt.
The independent electrician finished the work.	male base	male adj	Ο ανεξάρτητος ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	Der unabhängige Elektriker beendete die Arbeit.	El electricista independiente terminó el trabajo.	De onafhankelijke elektricien heeft het werk afgemaakt.
The dull electrician finished the work.	male base	neutral adj	Ο βαρετός ηλεκτρολόγος τελείωσε τη δουλειά.	Der langweilige Elektriker hat die Arbeit beendet.	El electricista aburrido terminó el trabajo.	De saaie elektricien heeft het werk afgemaakt.
The artificial electrician finished the work.	male base	neutral adj	Ο τεχνητός ηλεκτρολόγος ολοκλήρωσε το έργο.	Der künstliche Elektriker hat die Arbeit beendet.	El electricista artificial terminó el trabajo.	De kunstmatige elektricien heeft het werk afgemaakt.
The intelligent electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der intelligente Elektriker hat die Arbeit beendet.	El electricista inteligente terminó el trabajo.	De intelligente elektricien maakte het werk af.
The assured electrician finished the work.	male base	neutral adj	Ο σίγουρος ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	Der versicherte Elektriker beendete die Arbeit.	El electricista asegurado terminó el trabajo.	De verzekerde elektricien heeft het werk afgemaakt.
The clever electrician finished the work.	male base	neutral adj	Ο έξυπνος ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	Der clevere Elektriker hat die Arbeit beendet.	El inteligente electricista terminó el trabajo.	De slimme elektricien maakte het werk af.
The retiring carpenter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ξυλουργός ολοκλήρωσε το έργο.	Der scheidende Schreiner beendete die Arbeit.	El carpintero jubilado terminó el trabajo.	De aftredende timmerman maakte het werk af.
The pleasant carpenter finished the work.	male base	female adj	Ο ευχάριστος ξυλουργός τελείωσε τη δουλειά.	Der nette Schreiner beendete die Arbeit.	El agradable carpintero terminó el trabajo.	De aardige timmerman maakte het werk af.
The affectionate carpenter finished the work.	male base	female adj	Ο στοργικός ξυλουργός τελείωσε τη δουλειά.	Der liebevolle Schreiner beendete die Arbeit.	El afectuoso carpintero terminó el trabajo.	De liefdevolle timmerman maakte het werk af.
The gentle carpenter finished the work.	male base	female adj	Ο ευγενικός ξυλουργός τελείωσε το έργο.	Der freundliche Zimmermann beendete die Arbeit.	El gentil carpintero terminó el trabajo.	De zachtaardige timmerman maakte het werk af.
The shy carpenter finished the work.	male base	female adj	Ο ντροπαλός ξυλουργός τελείωσε τη δουλειά.	Der schüchterne Schreiner beendete die Arbeit.	El tímido carpintero terminó el trabajo.	De verlegen timmerman maakte het werk af.
The strong carpenter finished the work.	male base	male adj	Ο δυνατός ξυλουργός τελείωσε το έργο.	Der starke Zimmermann beendete das Werk.	El fuerte carpintero terminó el trabajo.	De sterke timmerman maakte het werk af.
The serious carpenter finished the work.	male base	male adj	Ο σοβαρός ξυλουργός τελείωσε το έργο.	Der seriöse Schreiner beendete die Arbeit.	El carpintero serio terminó el trabajo.	De serieuze timmerman maakte het werk af.
The frank carpenter finished the work.	male base	male adj	Ο ειλικρινής ξυλουργός τελείωσε το έργο.	Der Schreiner beendete die Arbeit.	El carpintero franco terminó el trabajo.	De openhartige timmerman maakte het werk af.
The stable carpenter finished the work.	male base	male adj	Ο ξυλουργός του στάβλου τελείωσε τη δουλειά.	Der Stallzimmermann beendete die Arbeit.	El carpintero del establo terminó el trabajo.	De staltimmerman maakte het werk af.
The independent carpenter finished the work.	male base	male adj	Ο ανεξάρτητος ξυλουργός ολοκλήρωσε το έργο.	Der unabhängige Schreiner beendete die Arbeit.	El carpintero independiente terminó el trabajo.	De onafhankelijke timmerman maakte het werk af.
The dull carpenter finished the work.	male base	neutral adj	Ο βαρετός ξυλουργός τελείωσε το έργο.	Der stumpfe Schreiner beendete die Arbeit.	El carpintero aburrido terminó el trabajo.	De saaie timmerman maakte het werk af.
The artificial carpenter finished the work.	male base	neutral adj	Ο τεχνητός ξυλουργός ολοκλήρωσε το έργο.	Der Kunsttischler beendete die Arbeit.	El carpintero artificial terminó el trabajo.	De kunsttimmerman maakte het werk af.
The intelligent carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός τελείωσε το έργο.	Der intelligente Zimmermann beendete die Arbeit.	El carpintero inteligente terminó el trabajo.	De intelligente timmerman maakte het werk af.
The assured carpenter finished the work.	male base	neutral adj	Ο σίγουρος ξυλουργός τελείωσε το έργο.	Der versicherte Zimmermann beendete die Arbeit.	El seguro carpintero terminó el trabajo.	De verzekerde timmerman maakte het werk af.
The clever carpenter finished the work.	male base	neutral adj	Ο έξυπνος ξυλουργός τελείωσε το έργο.	Der geschickte Zimmermann beendete das Werk.	El hábil carpintero terminó la obra.	De slimme timmerman maakte het werk af.
The retiring firefighter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος πυροσβέστης ολοκλήρωσε το έργο.	Der scheidende Feuerwehrmann beendete die Arbeit.	El bombero jubilado terminó el trabajo.	De brandweerman die met pensioen ging, maakte het werk af.
The pleasant firefighter finished the work.	male base	female adj	Ο ευχάριστος πυροσβέστης τελείωσε το έργο.	Der nette Feuerwehrmann beendete die Arbeit.	El agradable bombero terminó el trabajo.	De aardige brandweerman maakte het werk af.
The affectionate firefighter finished the work.	male base	female adj	Ο στοργικός πυροσβέστης ολοκλήρωσε το έργο.	Der liebevolle Feuerwehrmann beendete die Arbeit.	El cariñoso bombero terminó el trabajo.	De aanhankelijke brandweerman maakte het werk af.
The gentle firefighter finished the work.	male base	female adj	Ο ευγενικός πυροσβέστης τελείωσε το έργο.	Der freundliche Feuerwehrmann beendete die Arbeit.	El amable bombero terminó el trabajo.	De zachtaardige brandweerman maakte het werk af.
The shy firefighter finished the work.	male base	female adj	Ο ντροπαλός πυροσβέστης ολοκλήρωσε τη δουλειά.	Der schüchterne Feuerwehrmann beendete die Arbeit.	El tímido bombero terminó el trabajo.	De verlegen brandweerman maakte het werk af.
The strong firefighter finished the work.	male base	male adj	Ο δυνατός πυροσβέστης τελείωσε το έργο.	Der starke Feuerwehrmann beendete die Arbeit.	El fuerte bombero terminó el trabajo.	De sterke brandweerman maakte het werk af.
The serious firefighter finished the work.	male base	male adj	Ο σοβαρός πυροσβέστης ολοκλήρωσε το έργο του.	Der seriöse Feuerwehrmann beendete die Arbeit.	El bombero serio terminó el trabajo.	De serieuze brandweerman maakte het werk af.
The frank firefighter finished the work.	male base	male adj	Ο ειλικρινής πυροσβέστης ολοκλήρωσε το έργο.	Der offene Feuerwehrmann beendete die Arbeit.	El bombero franco terminó el trabajo.	De openhartige brandweerman maakte het werk af.
The stable firefighter finished the work.	male base	male adj	Ο σταθερός πυροσβέστης τελείωσε το έργο.	Der Stallfeuerwehrmann beendete die Arbeit.	El bombero del establo terminó el trabajo.	De stalbrandweerman maakte het werk af.
The independent firefighter finished the work.	male base	male adj	Ο ανεξάρτητος πυροσβέστης ολοκλήρωσε το έργο.	Der unabhängige Feuerwehrmann beendete die Arbeit.	El bombero independiente terminó el trabajo.	De onafhankelijke brandweerman maakte het werk af.
The dull firefighter finished the work.	male base	neutral adj	Ο θαμπός πυροσβέστης τελείωσε το έργο.	Der langweilige Feuerwehrmann beendete die Arbeit.	El bombero aburrido terminó el trabajo.	De saaie brandweerman maakte het werk af.
The artificial firefighter finished the work.	male base	neutral adj	Ο τεχνητός πυροσβέστης ολοκλήρωσε το έργο.	Der künstliche Feuerwehrmann beendete die Arbeit.	El bombero artificial terminó el trabajo.	De kunstmatige brandweerman maakte het werk af.
The intelligent firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε το έργο.	Der intelligente Feuerwehrmann beendete die Arbeit.	El bombero inteligente terminó el trabajo.	De intelligente brandweerman maakte het werk af.
The assured firefighter finished the work.	male base	neutral adj	Ο σίγουρος πυροσβέστης ολοκλήρωσε το έργο.	Der überzeugte Feuerwehrmann beendete die Arbeit.	El bombero asegurado terminó el trabajo.	De verzekerde brandweerman maakte het werk af.
The clever firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε το έργο.	Der clevere Feuerwehrmann beendete die Arbeit.	El bombero listo terminó el trabajo.	De slimme brandweerman maakte het werk af.
The retiring plumber finished the work.	male base	female adj	Ο αποχωρών υδραυλικός ολοκλήρωσε τις εργασίες.	Der Klempner im Ruhestand hat die Arbeit beendet.	El fontanero jubilado terminó el trabajo.	De loodgieter die met pensioen ging, maakte het werk af.
The pleasant plumber finished the work.	male base	female adj	Ο ευχάριστος υδραυλικός τελείωσε τη δουλειά.	Der nette Klempner hat die Arbeit beendet.	El agradable fontanero terminó el trabajo.	De aangename loodgieter heeft het werk afgemaakt.
The affectionate plumber finished the work.	male base	female adj	Ο στοργικός υδραυλικός τελείωσε τη δουλειά.	Der liebevolle Klempner beendete die Arbeit.	El afectuoso fontanero terminó el trabajo.	De aanhankelijke loodgieter maakte het werk af.
The gentle plumber finished the work.	male base	female adj	Ο ευγενικός υδραυλικός τελείωσε τη δουλειά.	Der freundliche Klempner beendete die Arbeit.	El amable fontanero terminó el trabajo.	De zachtaardige loodgieter maakte het werk af.
The shy plumber finished the work.	male base	female adj	Ο ντροπαλός υδραυλικός τελείωσε τη δουλειά.	Der schüchterne Klempner hat die Arbeit beendet.	El tímido fontanero terminó el trabajo.	De verlegen loodgieter maakte het werk af.
The strong plumber finished the work.	male base	male adj	Ο ισχυρός υδραυλικός ολοκλήρωσε τις εργασίες.	Der starke Klempner hat die Arbeit beendet.	El fontanero fuerte terminó el trabajo.	De sterke loodgieter maakte het werk af.
The serious plumber finished the work.	male base	male adj	Ο σοβαρός υδραυλικός ολοκλήρωσε τις εργασίες.	Der seriöse Klempner hat die Arbeit beendet.	El fontanero serio terminó el trabajo.	De serieuze loodgieter heeft het werk afgemaakt.
The frank plumber finished the work.	male base	male adj	Ο ειλικρινής υδραυλικός ολοκλήρωσε τις εργασίες.	Der Klempner von Frank hat die Arbeit beendet.	El fontanero franco terminó el trabajo.	De openhartige loodgieter heeft het werk afgemaakt.
The stable plumber finished the work.	male base	male adj	Ο σταθερός υδραυλικός ολοκλήρωσε τις εργασίες.	Der Stallklempner hat die Arbeit beendet.	El fontanero del establo terminó el trabajo.	De loodgieter in de stal heeft het werk afgemaakt.
The independent plumber finished the work.	male base	male adj	Ο ανεξάρτητος υδραυλικός ολοκλήρωσε τις εργασίες.	Der unabhängige Klempner hat die Arbeit beendet.	El fontanero independiente terminó el trabajo.	De onafhankelijke loodgieter heeft het werk afgemaakt.
The dull plumber finished the work.	male base	neutral adj	Ο βαρετός υδραυλικός τελείωσε τη δουλειά.	Der langweilige Klempner hat die Arbeit beendet.	El fontanero aburrido terminó el trabajo.	De saaie loodgieter heeft het werk afgemaakt.
The artificial plumber finished the work.	male base	neutral adj	Ο τεχνητός υδραυλικός ολοκλήρωσε τις εργασίες.	Der künstliche Klempner hat die Arbeit beendet.	El fontanero artificial terminó el trabajo.	De kunstmatige loodgieter heeft het werk afgemaakt.
The intelligent plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	Der intelligente Klempner hat die Arbeit beendet.	El fontanero inteligente terminó el trabajo.	De intelligente loodgieter heeft het werk afgemaakt.
The assured plumber finished the work.	male base	neutral adj	Ο σίγουρος υδραυλικός ολοκλήρωσε τις εργασίες.	Der versicherte Klempner hat die Arbeit beendet.	El fontanero asegurado terminó el trabajo.	De verzekerde loodgieter heeft het werk afgemaakt.
The clever plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	Der clevere Klempner hat die Arbeit beendet.	El hábil fontanero terminó el trabajo.	De slimme loodgieter maakte het werk af.
The retiring construction worker finished the work.	male base	female adj	Ο συνταξιούχος οικοδόμος ολοκλήρωσε το έργο.	Der scheidende Bauarbeiter beendete die Arbeit.	El obrero de la construcción que se jubila terminó el trabajo.	De gepensioneerde bouwvakker maakte het werk af.
The pleasant construction worker finished the work.	male base	female adj	Ο ευχάριστος οικοδόμος τελείωσε το έργο.	Der sympathische Bauarbeiter beendete die Arbeit.	El agradable obrero de la construcción terminó el trabajo.	De aardige bouwvakker maakte het werk af.
The affectionate construction worker finished the work.	male base	female adj	Ο στοργικός εργάτης οικοδομών ολοκλήρωσε το έργο.	Der liebevolle Bauarbeiter beendete die Arbeit.	El afectuoso trabajador de la construcción terminó la obra.	De aanhankelijke bouwvakker maakte het werk af.
The gentle construction worker finished the work.	male base	female adj	Ο ευγενικός οικοδόμος τελείωσε το έργο.	Der sanfte Bauarbeiter beendete die Arbeit.	El amable trabajador de la construcción terminó el trabajo.	De zachtaardige bouwvakker maakte het werk af.
The shy construction worker finished the work.	male base	female adj	Ο ντροπαλός οικοδόμος τελείωσε το έργο.	Der schüchterne Bauarbeiter beendete die Arbeit.	El tímido trabajador de la construcción terminó la obra.	De verlegen bouwvakker maakte het werk af.
The strong construction worker finished the work.	male base	male adj	Ο δυνατός εργάτης ολοκλήρωσε το έργο.	Der starke Bauarbeiter beendete die Arbeit.	El fuerte trabajador de la construcción terminó la obra.	De sterke bouwvakker maakte het werk af.
The serious construction worker finished the work.	male base	male adj	Ο σοβαρός οικοδόμος τελείωσε το έργο.	Der seriöse Bauarbeiter beendete die Arbeit.	El serio trabajador de la construcción terminó la obra.	De serieuze bouwvakker maakte het werk af.
The frank construction worker finished the work.	male base	male adj	Ο ειλικρινής οικοδόμος τελείωσε το έργο.	Der offene Bauarbeiter beendete die Arbeit.	El obrero franco terminó el trabajo.	De openhartige bouwvakker maakte het werk af.
The stable construction worker finished the work.	male base	male adj	Ο σταθερός οικοδόμος ολοκλήρωσε τις εργασίες.	Der Stallbauer hat die Arbeit beendet.	El obrero de la construcción estable terminó el trabajo.	De stabiele bouwvakker maakte het werk af.
The independent construction worker finished the work.	male base	male adj	Ο ανεξάρτητος οικοδόμος ολοκλήρωσε το έργο.	Der unabhängige Bauarbeiter beendete die Arbeit.	El trabajador de la construcción independiente terminó la obra.	De onafhankelijke bouwvakker maakte het werk af.
The dull construction worker finished the work.	male base	neutral adj	Ο βαρετός οικοδόμος τελείωσε το έργο.	Der langweilige Bauarbeiter beendete die Arbeit.	El obrero aburrido terminó el trabajo.	De saaie bouwvakker maakte het werk af.
The artificial construction worker finished the work.	male base	neutral adj	Ο τεχνητός οικοδόμος ολοκλήρωσε το έργο.	Der künstliche Bauarbeiter beendete die Arbeit.	El obrero de la construcción artificial terminó el trabajo.	De kunstmatige bouwvakker maakte het werk af.
The intelligent construction worker finished the work.	male base	neutral adj	Ο έξυπνος εργάτης ολοκλήρωσε το έργο.	Der intelligente Bauarbeiter beendete die Arbeit.	El inteligente trabajador de la construcción terminó la obra.	De intelligente bouwvakker maakte het werk af.
The assured construction worker finished the work.	male base	neutral adj	Ο σίγουρος οικοδόμος τελείωσε το έργο.	Der versicherte Bauarbeiter beendete die Arbeit.	El obrero de la construcción asegurado terminó el trabajo.	De verzekerde bouwvakker maakte het werk af.
The clever construction worker finished the work.	male base	neutral adj	Ο έξυπνος οικοδόμος τελείωσε το έργο.	Der clevere Bauarbeiter beendete die Arbeit.	El hábil trabajador de la construcción terminó la obra.	De slimme bouwvakker maakte het werk af.
The retiring laborer finished the work.	male base	female adj	Ο συνταξιοδοτούμενος εργάτης ολοκλήρωσε τη δουλειά.	Die Arbeit wurde von dem scheidenden Arbeiter beendet.	El obrero que se retiraba terminó el trabajo.	De aftredende arbeider maakte het werk af.
The pleasant laborer finished the work.	male base	female adj	Ο ευχάριστος εργάτης τελείωσε τη δουλειά.	Der freundliche Arbeiter beendete die Arbeit.	El agradable obrero terminó el trabajo.	De aardige arbeider maakte het werk af.
The affectionate laborer finished the work.	male base	female adj	Ο στοργικός εργάτης τελείωσε τη δουλειά.	Der liebevolle Arbeiter beendete die Arbeit.	El afectuoso obrero terminó el trabajo.	De liefdevolle arbeider maakte het werk af.
The gentle laborer finished the work.	male base	female adj	Ο ευγενικός εργάτης τελείωσε τη δουλειά.	Der sanftmütige Arbeiter beendete die Arbeit.	El amable obrero terminó el trabajo.	De zachtmoedige arbeider maakte het werk af.
The shy laborer finished the work.	male base	female adj	Ο ντροπαλός εργάτης τελείωσε τη δουλειά.	Der schüchterne Arbeiter beendete die Arbeit.	El tímido obrero terminó el trabajo.	De verlegen arbeider maakte het werk af.
The strong laborer finished the work.	male base	male adj	Ο δυνατός εργάτης τελείωσε το έργο.	Der starke Arbeiter beendete die Arbeit.	El trabajador fuerte terminó el trabajo.	De sterke arbeider maakte het werk af.
The serious laborer finished the work.	male base	male adj	Ο σοβαρός εργάτης τελείωσε το έργο.	Der ernsthafte Arbeiter beendete die Arbeit.	El obrero serio terminó el trabajo.	De serieuze arbeider maakte het werk af.
The frank laborer finished the work.	male base	male adj	Ο ειλικρινής εργάτης τελείωσε το έργο.	Der freie Arbeiter beendete die Arbeit.	El obrero franco terminó el trabajo.	De openhartige arbeider maakte het werk af.
The stable laborer finished the work.	male base	male adj	Ο σταθερός εργάτης τελείωσε τη δουλειά.	Der Stallknecht beendete die Arbeit.	El jornalero del establo terminó el trabajo.	De stalknecht maakte het werk af.
The independent laborer finished the work.	male base	male adj	Ο ανεξάρτητος εργάτης τελείωσε το έργο.	Der unabhängige Arbeiter beendete die Arbeit.	El obrero independiente terminó el trabajo.	De onafhankelijke arbeider maakte het werk af.
The dull laborer finished the work.	male base	neutral adj	Ο βαρετός εργάτης τελείωσε τη δουλειά.	Der stumpfe Arbeiter beendete die Arbeit.	El obrero aburrido terminó el trabajo.	De saaie arbeider maakte het werk af.
The artificial laborer finished the work.	male base	neutral adj	Ο τεχνητός εργάτης τελείωσε το έργο.	Der Kunsthandwerker beendete die Arbeit.	El obrero artificial terminó el trabajo.	De kunstmatige arbeider maakte het werk af.
The intelligent laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης τελείωσε τη δουλειά.	Der intelligente Arbeiter beendete die Arbeit.	El obrero inteligente terminó el trabajo.	De intelligente arbeider maakte het werk af.
The assured laborer finished the work.	male base	neutral adj	Ο σίγουρος εργάτης τελείωσε το έργο.	Der versicherte Arbeiter beendete die Arbeit.	El obrero asegurado terminó el trabajo.	De verzekerde arbeider maakte het werk af.
The clever laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης τελείωσε τη δουλειά.	Der kluge Arbeiter beendete die Arbeit.	El obrero listo terminó el trabajo.	De slimme arbeider maakte het werk af.
